epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755023629,2022-11-06T19.17.03.629,3.290,0.274,0.701,-0.274
1667755023670,2022-11-06T19.17.03.670,3.331,-0.549,1.128,-0.335
1667755023711,2022-11-06T19.17.03.711,3.372,-0.274,1.250,-0.335
1667755023750,2022-11-06T19.17.03.750,3.411,-0.427,-0.305,0.183
1667755023791,2022-11-06T19.17.03.791,3.452,-0.152,1.433,-0.183
1667755023832,2022-11-06T19.17.03.832,3.493,-0.061,2.287,-0.335
1667755023873,2022-11-06T19.17.03.873,3.534,-0.244,0.274,0.610
1667755023913,2022-11-06T19.17.03.913,3.574,0.335,1.341,0.152
1667755023954,2022-11-06T19.17.03.954,3.615,0.579,2.378,-0.183
1667755023995,2022-11-06T19.17.03.995,3.656,-0.152,2.073,-0.183
1667755024034,2022-11-06T19.17.04.034,3.695,0.152,1.890,0.183
1667755024075,2022-11-06T19.17.04.075,3.736,-0.061,1.037,0.152
1667755024116,2022-11-06T19.17.04.116,3.777,0.091,1.311,0.488
1667755024157,2022-11-06T19.17.04.157,3.818,0.000,1.707,0.274
1667755024197,2022-11-06T19.17.04.197,3.858,-1.037,1.037,0.457
1667755024238,2022-11-06T19.17.04.238,3.899,-0.457,1.159,0.640
1667755024279,2022-11-06T19.17.04.279,3.940,0.152,1.250,0.274
1667755024320,2022-11-06T19.17.04.320,3.981,-0.488,0.244,0.518
1667755024360,2022-11-06T19.17.04.360,4.021,-1.098,0.854,0.640
1667755024401,2022-11-06T19.17.04.401,4.062,-1.189,-0.488,0.945
1667755024442,2022-11-06T19.17.04.442,4.103,-1.463,-0.152,0.671
1667755024483,2022-11-06T19.17.04.483,4.144,-1.402,0.732,1.250
1667755024522,2022-11-06T19.17.04.522,4.183,-1.829,-0.488,0.701
1667755024563,2022-11-06T19.17.04.563,4.224,-0.793,-0.030,1.159
1667755024604,2022-11-06T19.17.04.604,4.265,-0.640,0.152,0.549
1667755024644,2022-11-06T19.17.04.644,4.305,-1.037,-0.061,0.122
1667755024685,2022-11-06T19.17.04.685,4.346,-1.463,-1.341,0.671
1667755024726,2022-11-06T19.17.04.726,4.387,-3.384,-5.457,1.250
1667755024767,2022-11-06T19.17.04.767,4.428,-6.280,-12.409,1.189
1667755024806,2022-11-06T19.17.04.806,4.467,-1.677,-10.396,0.823
1667755024847,2022-11-06T19.17.04.847,4.508,1.524,9.024,2.104
