epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667892571968,2022-11-08T09:29:31.968,3.251,-0.115,0.304,-0.953
1667892572008,2022-11-08T09:29:32.008,3.291,-0.105,0.303,-0.957
1667892572049,2022-11-08T09:29:32.049,3.332,-0.115,0.315,-0.946
1667892572090,2022-11-08T09:29:32.090,3.373,-0.112,0.298,-0.953
1667892572131,2022-11-08T09:29:32.131,3.414,-0.110,0.302,-0.953
1667892572170,2022-11-08T09:29:32.170,3.453,-0.103,0.311,-0.956
1667892572211,2022-11-08T09:29:32.211,3.494,-0.109,0.306,-0.952
1667892572252,2022-11-08T09:29:32.252,3.535,-0.115,0.296,-0.953
1667892572293,2022-11-08T09:29:32.293,3.576,-0.104,0.304,-0.956
1667892572333,2022-11-08T09:29:32.333,3.616,-0.105,0.312,-0.951
1667892572374,2022-11-08T09:29:32.374,3.657,-0.106,0.294,-0.957
1667892572415,2022-11-08T09:29:32.415,3.698,-0.112,0.308,-0.951
1667892572454,2022-11-08T09:29:32.454,3.737,-0.105,0.295,-0.958
1667892572495,2022-11-08T09:29:32.495,3.778,-0.104,0.304,-0.956
1667892572536,2022-11-08T09:29:32.536,3.819,-0.105,0.311,-0.954
1667892572577,2022-11-08T09:29:32.577,3.860,-0.103,0.292,-0.958
1667892572617,2022-11-08T09:29:32.617,3.900,-0.110,0.295,-0.954
1667892572658,2022-11-08T09:29:32.658,3.941,-0.103,0.309,-0.954
1667892572699,2022-11-08T09:29:32.699,3.982,-0.101,0.297,-0.957
1667892572740,2022-11-08T09:29:32.740,4.023,-0.112,0.296,-0.952
1667892572779,2022-11-08T09:29:32.779,4.062,-0.102,0.297,-0.959
1667892572821,2022-11-08T09:29:32.821,4.104,-0.101,0.307,-0.956
1667892572862,2022-11-08T09:29:32.862,4.145,-0.104,0.298,-0.954
1667892572903,2022-11-08T09:29:32.903,4.186,-0.108,0.289,-0.958
1667892572942,2022-11-08T09:29:32.942,4.225,-0.102,0.303,-0.957
1667892572983,2022-11-08T09:29:32.983,4.266,-0.099,0.303,-0.957
1667892573024,2022-11-08T09:29:33.024,4.307,-0.108,0.297,-0.953
1667892573064,2022-11-08T09:29:33.064,4.347,-0.104,0.294,-0.958
1667892573105,2022-11-08T09:29:33.105,4.388,-0.101,0.295,-0.961
1667892573146,2022-11-08T09:29:33.146,4.429,-0.108,0.304,-0.952
1667892573187,2022-11-08T09:29:33.187,4.470,-0.101,0.288,-0.959
1667892573226,2022-11-08T09:29:33.226,4.509,-0.105,0.298,-0.954
1667892573267,2022-11-08T09:29:33.267,4.550,-0.102,0.298,-0.958
1667892573308,2022-11-08T09:29:33.308,4.591,-0.098,0.293,-0.961
1667892573349,2022-11-08T09:29:33.349,4.632,-0.109,0.296,-0.955
1667892573389,2022-11-08T09:29:33.389,4.672,-0.101,0.292,-0.959
