epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668365977636,2022-11-13T20:59:37.636,0.000,0.316,-0.318,-0.980
1668365977677,2022-11-13T20:59:37.677,0.041,0.279,-0.354,-0.976
1668365977718,2022-11-13T20:59:37.718,0.082,0.238,-0.332,-0.966
1668365977759,2022-11-13T20:59:37.759,0.123,0.310,-0.288,-0.976
1668365977798,2022-11-13T20:59:37.798,0.162,0.341,-0.167,-0.825
1668365977839,2022-11-13T20:59:37.839,0.203,0.236,-0.144,-0.726
1668365977880,2022-11-13T20:59:37.880,0.244,0.244,-0.244,-0.814
1668365977921,2022-11-13T20:59:37.921,0.285,0.337,-0.151,-0.812
1668365977961,2022-11-13T20:59:37.961,0.325,0.293,-0.171,-0.839
1668365978002,2022-11-13T20:59:38.002,0.366,0.201,-0.265,-0.937
1668365978043,2022-11-13T20:59:38.043,0.407,0.082,-0.340,-1.049
1668365978083,2022-11-13T20:59:38.083,0.447,-0.016,-0.349,-1.135
1668365978124,2022-11-13T20:59:38.124,0.488,-0.101,-0.219,-1.073
1668365978165,2022-11-13T20:59:38.165,0.529,-0.200,-0.214,-1.104
1668365978206,2022-11-13T20:59:38.206,0.570,-0.316,-0.360,-1.138
1668365978245,2022-11-13T20:59:38.245,0.609,-0.166,-0.265,-0.995
1668365978286,2022-11-13T20:59:38.286,0.650,-0.162,-0.244,-0.986
1668365978327,2022-11-13T20:59:38.327,0.691,-0.221,-0.259,-0.996
1668365978368,2022-11-13T20:59:38.368,0.732,-0.196,-0.239,-0.956
1668365978408,2022-11-13T20:59:38.408,0.772,-0.187,-0.232,-0.990
1668365978449,2022-11-13T20:59:38.449,0.813,-0.180,-0.244,-0.978
1668365978490,2022-11-13T20:59:38.490,0.854,-0.178,-0.254,-0.981
1668365978529,2022-11-13T20:59:38.529,0.893,-0.172,-0.244,-0.989
1668365978570,2022-11-13T20:59:38.570,0.934,-0.170,-0.245,-0.988
1668365978611,2022-11-13T20:59:38.611,0.975,-0.173,-0.248,-0.981
1668365978652,2022-11-13T20:59:38.652,1.016,-0.164,-0.247,-0.990
1668365978692,2022-11-13T20:59:38.692,1.056,-0.165,-0.263,-0.981
1668365978733,2022-11-13T20:59:38.733,1.097,-0.168,-0.246,-0.975
1668365978774,2022-11-13T20:59:38.774,1.138,-0.166,-0.255,-0.982
1668365978815,2022-11-13T20:59:38.815,1.179,-0.165,-0.265,-0.979
1668365978855,2022-11-13T20:59:38.855,1.219,-0.161,-0.266,-0.982
1668365978896,2022-11-13T20:59:38.896,1.260,-0.154,-0.267,-0.984
1668365978937,2022-11-13T20:59:38.937,1.301,-0.157,-0.278,-0.980
1668365978976,2022-11-13T20:59:38.976,1.340,-0.154,-0.276,-0.979
1668365979017,2022-11-13T20:59:39.017,1.381,-0.150,-0.276,-0.980
1668365979058,2022-11-13T20:59:39.058,1.422,-0.145,-0.273,-0.986
1668365979099,2022-11-13T20:59:39.099,1.463,-0.150,-0.289,-0.970
1668365979139,2022-11-13T20:59:39.139,1.503,-0.147,-0.317,-0.967
1668365979180,2022-11-13T20:59:39.180,1.544,-0.142,-0.304,-0.977
1668365979221,2022-11-13T20:59:39.221,1.585,-0.142,-0.305,-0.974
1668365979262,2022-11-13T20:59:39.262,1.626,-0.147,-0.313,-0.970
1668365979301,2022-11-13T20:59:39.301,1.665,-0.140,-0.305,-0.977
1668365979342,2022-11-13T20:59:39.342,1.706,-0.137,-0.292,-0.983
1668365979383,2022-11-13T20:59:39.383,1.747,-0.146,-0.309,-0.970
1668365979424,2022-11-13T20:59:39.424,1.788,-0.147,-0.346,-0.957
1668365979464,2022-11-13T20:59:39.464,1.828,-0.148,-0.333,-0.960
1668365979505,2022-11-13T20:59:39.505,1.869,-0.148,-0.319,-0.967
1668365979546,2022-11-13T20:59:39.546,1.910,-0.148,-0.324,-0.969
1668365979586,2022-11-13T20:59:39.586,1.950,-0.152,-0.312,-0.969
1668365979627,2022-11-13T20:59:39.627,1.991,-0.150,-0.327,-0.968
1668365979668,2022-11-13T20:59:39.668,2.032,-0.153,-0.315,-0.965
1668365979709,2022-11-13T20:59:39.709,2.073,-0.160,-0.298,-0.964
1668365979748,2022-11-13T20:59:39.748,2.112,-0.158,-0.309,-0.964
1668365979789,2022-11-13T20:59:39.789,2.153,-0.146,-0.301,-0.976
1668365979830,2022-11-13T20:59:39.830,2.194,-0.143,-0.302,-0.976
