epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667859379667,2022-11-08T00:16:19.667,0.000,2.835,1.951,-1.494
1667859379708,2022-11-08T00:16:19.708,0.041,2.622,1.494,-1.311
1667859379749,2022-11-08T00:16:19.749,0.082,2.348,1.585,-1.402
1667859379790,2022-11-08T00:16:19.790,0.123,0.244,1.372,-0.610
1667859379830,2022-11-08T00:16:19.830,0.163,1.402,0.122,-0.305
1667859379871,2022-11-08T00:16:19.871,0.204,3.079,0.183,-0.884
1667859379912,2022-11-08T00:16:19.912,0.245,1.250,1.006,-1.768
1667859379953,2022-11-08T00:16:19.953,0.286,0.945,0.762,-2.561
1667859379993,2022-11-08T00:16:19.993,0.326,0.274,-0.579,-2.713
1667859380034,2022-11-08T00:16:20.034,0.367,0.274,-0.579,-2.348
1667859380075,2022-11-08T00:16:20.075,0.408,0.823,-0.549,-1.585
1667859380114,2022-11-08T00:16:20.114,0.447,0.488,0.976,-0.366
1667859380155,2022-11-08T00:16:20.155,0.488,0.091,2.713,-0.366
1667859380196,2022-11-08T00:16:20.196,0.529,-1.159,2.409,-0.274
1667859380237,2022-11-08T00:16:20.237,0.570,-0.945,1.189,0.274
1667859380277,2022-11-08T00:16:20.277,0.610,0.091,-0.274,0.518
1667859380318,2022-11-08T00:16:20.318,0.651,0.274,-0.061,0.274
1667859380359,2022-11-08T00:16:20.359,0.692,-0.610,0.732,0.122
1667859380400,2022-11-08T00:16:20.400,0.733,0.030,0.488,0.122
1667859380439,2022-11-08T00:16:20.439,0.772,0.152,0.579,0.335
1667859380480,2022-11-08T00:16:20.480,0.813,-0.732,0.061,0.579
1667859380521,2022-11-08T00:16:20.521,0.854,-0.701,-0.122,0.640
1667859380562,2022-11-08T00:16:20.562,0.895,-0.793,-0.305,0.457
1667859380602,2022-11-08T00:16:20.602,0.935,-0.671,0.091,0.183
1667859380643,2022-11-08T00:16:20.643,0.976,-0.091,0.366,-0.061
1667859380684,2022-11-08T00:16:20.684,1.017,-0.274,0.518,-0.122
1667859380724,2022-11-08T00:16:20.724,1.057,-0.579,0.549,-0.122
1667859380765,2022-11-08T00:16:20.765,1.098,-0.305,0.579,-0.061
1667859380806,2022-11-08T00:16:20.806,1.139,-1.037,1.220,0.244
1667859380847,2022-11-08T00:16:20.847,1.180,-1.372,1.341,0.457
1667859380886,2022-11-08T00:16:20.886,1.219,-1.037,0.945,0.366
1667859380927,2022-11-08T00:16:20.927,1.260,-0.884,0.305,0.366
1667859380968,2022-11-08T00:16:20.968,1.301,-0.915,0.396,0.457
1667859381009,2022-11-08T00:16:21.009,1.342,-1.006,0.549,0.549
1667859381049,2022-11-08T00:16:21.049,1.382,-0.762,0.518,0.366
1667859381090,2022-11-08T00:16:21.090,1.423,-0.945,0.427,0.244
1667859381131,2022-11-08T00:16:21.131,1.464,-0.518,0.122,0.030
1667859381172,2022-11-08T00:16:21.172,1.505,-0.854,0.884,0.122
1667859381211,2022-11-08T00:16:21.211,1.544,-1.128,0.884,0.335
1667859381252,2022-11-08T00:16:21.252,1.585,-0.366,-0.061,0.091
1667859381293,2022-11-08T00:16:21.293,1.626,-0.579,-0.488,0.030
1667859381333,2022-11-08T00:16:21.333,1.666,-0.579,-0.396,0.183
1667859381374,2022-11-08T00:16:21.374,1.707,-0.488,0.457,0.335
1667859381415,2022-11-08T00:16:21.415,1.748,-0.793,0.976,0.122
1667859381456,2022-11-08T00:16:21.456,1.789,-0.762,1.494,-0.061
1667859381496,2022-11-08T00:16:21.496,1.829,-0.366,1.524,-0.396
1667859381537,2022-11-08T00:16:21.537,1.870,-0.732,1.067,-0.518
1667859381578,2022-11-08T00:16:21.578,1.911,-0.823,0.366,-0.122
