epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737122100,2022-11-06T14.18.42.100,3.249,0.430,-0.105,-0.922
1667737122141,2022-11-06T14.18.42.141,3.290,0.430,-0.101,-0.923
1667737122182,2022-11-06T14.18.42.182,3.331,0.428,-0.105,-0.924
1667737122221,2022-11-06T14.18.42.221,3.370,0.430,-0.104,-0.922
1667737122262,2022-11-06T14.18.42.262,3.411,0.427,-0.102,-0.925
1667737122303,2022-11-06T14.18.42.303,3.452,0.428,-0.105,-0.921
1667737122344,2022-11-06T14.18.42.344,3.493,0.429,-0.101,-0.923
1667737122384,2022-11-06T14.18.42.384,3.533,0.428,-0.103,-0.923
1667737122425,2022-11-06T14.18.42.425,3.574,0.429,-0.106,-0.924
1667737122466,2022-11-06T14.18.42.466,3.615,0.428,-0.102,-0.921
1667737122507,2022-11-06T14.18.42.507,3.656,0.428,-0.102,-0.924
1667737122546,2022-11-06T14.18.42.546,3.695,0.431,-0.100,-0.921
1667737122587,2022-11-06T14.18.42.587,3.736,0.427,-0.105,-0.923
1667737122629,2022-11-06T14.18.42.629,3.778,0.428,-0.102,-0.923
1667737122670,2022-11-06T14.18.42.670,3.819,0.429,-0.103,-0.921
1667737122709,2022-11-06T14.18.42.709,3.858,0.429,-0.103,-0.923
1667737122750,2022-11-06T14.18.42.750,3.899,0.429,-0.104,-0.922
1667737122791,2022-11-06T14.18.42.791,3.940,0.427,-0.101,-0.924
1667737122831,2022-11-06T14.18.42.831,3.980,0.428,-0.102,-0.924
1667737122872,2022-11-06T14.18.42.872,4.021,0.429,-0.102,-0.922
1667737122913,2022-11-06T14.18.42.913,4.062,0.427,-0.103,-0.923
1667737122954,2022-11-06T14.18.42.954,4.103,0.429,-0.102,-0.923
1667737122993,2022-11-06T14.18.42.993,4.142,0.429,-0.102,-0.923
1667737123034,2022-11-06T14.18.43.034,4.183,0.430,-0.105,-0.923
1667737123075,2022-11-06T14.18.43.075,4.224,0.427,-0.102,-0.927
1667737123116,2022-11-06T14.18.43.116,4.265,0.430,-0.106,-0.922
1667737123156,2022-11-06T14.18.43.156,4.305,0.438,-0.099,-0.923
1667737123197,2022-11-06T14.18.43.197,4.346,0.449,-0.089,-0.902
1667737123238,2022-11-06T14.18.43.238,4.387,0.387,-0.091,-0.956
1667737123279,2022-11-06T14.18.43.279,4.428,0.393,-0.130,-0.923
1667737123318,2022-11-06T14.18.43.318,4.467,0.385,-0.107,-0.947
1667737123359,2022-11-06T14.18.43.359,4.508,0.446,-0.045,-0.923
1667737123400,2022-11-06T14.18.43.400,4.549,0.483,-0.089,-0.896
1667737123440,2022-11-06T14.18.43.440,4.589,0.437,-0.199,-0.902
1667737123481,2022-11-06T14.18.43.481,4.630,0.422,-0.078,-0.935
1667737123522,2022-11-06T14.18.43.522,4.671,0.444,-0.092,-0.918
1667737123563,2022-11-06T14.18.43.563,4.712,0.435,-0.117,-0.918
1667737123603,2022-11-06T14.18.43.603,4.752,0.436,-0.097,-0.919
1667737123644,2022-11-06T14.18.43.644,4.793,0.438,-0.106,-0.919
1667737123685,2022-11-06T14.18.43.685,4.834,0.435,-0.099,-0.921
1667737123726,2022-11-06T14.18.43.726,4.875,0.440,-0.104,-0.917
1667737123765,2022-11-06T14.18.43.765,4.914,0.434,-0.103,-0.923
1667737123806,2022-11-06T14.18.43.806,4.955,0.438,-0.101,-0.919
1667737123847,2022-11-06T14.18.43.847,4.996,0.436,-0.104,-0.920
1667737123888,2022-11-06T14.18.43.888,5.037,0.435,-0.105,-0.919
1667737123928,2022-11-06T14.18.43.928,5.077,0.436,-0.100,-0.920
1667737123969,2022-11-06T14.18.43.969,5.118,0.435,-0.103,-0.922
1667737124010,2022-11-06T14.18.44.010,5.159,0.438,-0.097,-0.918
1667737124051,2022-11-06T14.18.44.051,5.200,0.434,-0.104,-0.921
1667737124090,2022-11-06T14.18.44.090,5.239,0.434,-0.101,-0.921
1667737124131,2022-11-06T14.18.44.131,5.280,0.435,-0.103,-0.922
1667737124172,2022-11-06T14.18.44.172,5.321,0.435,-0.099,-0.919
1667737124212,2022-11-06T14.18.44.212,5.361,0.434,-0.102,-0.921
1667737124253,2022-11-06T14.18.44.253,5.402,0.432,-0.105,-0.921
1667737124294,2022-11-06T14.18.44.294,5.443,0.434,-0.101,-0.921
1667737124335,2022-11-06T14.18.44.335,5.484,0.434,-0.103,-0.921
1667737124375,2022-11-06T14.18.44.375,5.524,0.433,-0.100,-0.922
1667737124416,2022-11-06T14.18.44.416,5.565,0.433,-0.103,-0.921
1667737124457,2022-11-06T14.18.44.457,5.606,0.432,-0.105,-0.921
1667737124498,2022-11-06T14.18.44.498,5.647,0.434,-0.100,-0.921
1667737124537,2022-11-06T14.18.44.537,5.686,0.434,-0.103,-0.920
1667737124578,2022-11-06T14.18.44.578,5.727,0.434,-0.101,-0.920
1667737124619,2022-11-06T14.18.44.619,5.768,0.432,-0.103,-0.922
1667737124659,2022-11-06T14.18.44.659,5.808,0.437,-0.099,-0.917
1667737124700,2022-11-06T14.18.44.700,5.849,0.432,-0.100,-0.925
1667737124741,2022-11-06T14.18.44.741,5.890,0.432,-0.103,-0.923
1667737124782,2022-11-06T14.18.44.782,5.931,0.433,-0.100,-0.922
1667737124821,2022-11-06T14.18.44.821,5.970,0.435,-0.102,-0.920
1667737124862,2022-11-06T14.18.44.862,6.011,0.435,-0.101,-0.920
