epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668341432633,2022-11-13T14:10:32.633,0.000,12.043,3.171,-8.750
1668341432674,2022-11-13T14:10:32.674,0.041,9.939,1.951,-8.750
1668341432715,2022-11-13T14:10:32.715,0.082,-0.213,-4.482,-9.512
1668341432756,2022-11-13T14:10:32.756,0.123,-5.152,-7.317,-7.134
1668341432795,2022-11-13T14:10:32.795,0.162,0.274,-0.701,-4.421
1668341432836,2022-11-13T14:10:32.836,0.203,4.329,3.232,-8.506
1668341432878,2022-11-13T14:10:32.878,0.245,-0.061,-1.341,-13.232
1668341432919,2022-11-13T14:10:32.919,0.286,-1.372,-7.348,-17.805
1668341432958,2022-11-13T14:10:32.958,0.325,-2.287,-5.183,-37.500
1668341432999,2022-11-13T14:10:32.999,0.366,-3.872,2.774,-59.726
1668341433040,2022-11-13T14:10:33.040,0.407,23.110,8.598,-99.177
1668341433081,2022-11-13T14:10:33.081,0.448,33.567,19.360,-116.768
1668341433121,2022-11-13T14:10:33.121,0.488,20.457,22.104,-87.409
1668341433162,2022-11-13T14:10:33.162,0.529,20.762,0.549,-79.512
1668341433203,2022-11-13T14:10:33.203,0.570,0.000,-21.616,-60.488
1668341433242,2022-11-13T14:10:33.242,0.609,-11.159,-29.573,-26.433
1668341433283,2022-11-13T14:10:33.283,0.650,1.951,-29.390,-8.049
1668341433324,2022-11-13T14:10:33.324,0.691,-1.463,-30.061,4.360
1668341433365,2022-11-13T14:10:33.365,0.732,-6.646,-24.543,21.982
1668341433405,2022-11-13T14:10:33.405,0.772,6.799,4.970,16.707
1668341433446,2022-11-13T14:10:33.446,0.813,4.939,5.884,0.854
1668341433487,2022-11-13T14:10:33.487,0.854,-2.134,4.634,-0.122
1668341433528,2022-11-13T14:10:33.528,0.895,-0.457,3.445,2.805
1668341433567,2022-11-13T14:10:33.567,0.934,0.213,1.006,1.616
1668341433608,2022-11-13T14:10:33.608,0.975,0.213,0.183,0.518
1668341433649,2022-11-13T14:10:33.649,1.016,0.213,0.091,0.427
1668341433690,2022-11-13T14:10:33.690,1.057,1.006,0.244,0.183
1668341433730,2022-11-13T14:10:33.730,1.097,3.354,0.579,-0.335
1668341433771,2022-11-13T14:10:33.771,1.138,1.799,0.457,-0.915
1668341433812,2022-11-13T14:10:33.812,1.179,1.951,0.427,-0.305
1668341433853,2022-11-13T14:10:33.853,1.220,4.604,0.610,-1.067
1668341433893,2022-11-13T14:10:33.893,1.260,7.530,1.250,-1.402
1668341433934,2022-11-13T14:10:33.934,1.301,5.762,1.037,-1.159
1668341433975,2022-11-13T14:10:33.975,1.342,1.463,0.823,-2.744
1668341434014,2022-11-13T14:10:34.014,1.381,0.274,0.305,-2.104
1668341434055,2022-11-13T14:10:34.055,1.422,-2.744,-0.701,-1.220
1668341434096,2022-11-13T14:10:34.096,1.463,4.055,0.701,-1.982
1668341434137,2022-11-13T14:10:34.137,1.504,11.220,1.220,-1.494
1668341434177,2022-11-13T14:10:34.177,1.544,9.024,1.494,-2.195
1668341434218,2022-11-13T14:10:34.218,1.585,10.945,1.341,-2.012
1668341434259,2022-11-13T14:10:34.259,1.626,12.165,-1.463,0.793
1668341434300,2022-11-13T14:10:34.300,1.667,10.945,-8.720,2.622
1668341434339,2022-11-13T14:10:34.339,1.706,7.104,-2.287,2.957
1668341434380,2022-11-13T14:10:34.380,1.747,-0.213,0.335,3.689
1668341434421,2022-11-13T14:10:34.421,1.788,-1.128,0.427,4.360
1668341434462,2022-11-13T14:10:34.462,1.829,0.213,1.585,3.720
1668341434502,2022-11-13T14:10:34.502,1.869,0.091,1.128,2.561
1668341434543,2022-11-13T14:10:34.543,1.910,-2.896,-0.091,1.494
1668341434584,2022-11-13T14:10:34.584,1.951,-3.476,-0.061,0.823
1668341434624,2022-11-13T14:10:34.624,1.991,0.274,1.006,0.518
1668341434665,2022-11-13T14:10:34.665,2.032,1.341,1.524,-0.915
1668341434706,2022-11-13T14:10:34.706,2.073,0.091,1.037,-2.073
1668341434747,2022-11-13T14:10:34.747,2.114,-2.317,0.579,-2.256
1668341434786,2022-11-13T14:10:34.786,2.153,-5.640,0.915,-2.652
1668341434827,2022-11-13T14:10:34.827,2.194,-6.372,1.738,-2.652
1668341434868,2022-11-13T14:10:34.868,2.235,-5.396,2.012,-2.835
1668341434909,2022-11-13T14:10:34.909,2.276,-3.476,2.744,-3.293
1668341434949,2022-11-13T14:10:34.949,2.316,-4.329,2.957,-2.957
1668341434990,2022-11-13T14:10:34.990,2.357,-5.091,1.494,-1.768
1668341435031,2022-11-13T14:10:35.031,2.398,-3.628,1.098,-0.488
1668341435072,2022-11-13T14:10:35.072,2.439,-6.646,1.921,-0.488
1668341435111,2022-11-13T14:10:35.111,2.478,-6.372,1.463,0.274
1668341435152,2022-11-13T14:10:35.152,2.519,-3.293,1.372,0.152
1668341435193,2022-11-13T14:10:35.193,2.560,-0.427,0.366,-0.213
1668341435233,2022-11-13T14:10:35.233,2.600,-0.579,0.274,-0.030
1668341435274,2022-11-13T14:10:35.274,2.641,1.494,0.793,-0.884
1668341435315,2022-11-13T14:10:35.315,2.682,4.939,0.976,-1.189
1668341435356,2022-11-13T14:10:35.356,2.723,3.232,0.945,-1.829
1668341435396,2022-11-13T14:10:35.396,2.763,0.366,0.915,-1.463
1668341435437,2022-11-13T14:10:35.437,2.804,-0.244,1.006,-0.823
1668341435478,2022-11-13T14:10:35.478,2.845,1.220,1.463,-0.579
1668341435519,2022-11-13T14:10:35.519,2.886,2.012,1.768,0.213
1668341435558,2022-11-13T14:10:35.558,2.925,-0.579,0.945,0.457
1668341435599,2022-11-13T14:10:35.599,2.966,-1.463,0.305,0.976
1668341435640,2022-11-13T14:10:35.640,3.007,-3.171,0.213,0.884
1668341435681,2022-11-13T14:10:35.681,3.048,-3.567,0.152,0.457
1668341435721,2022-11-13T14:10:35.721,3.088,-0.793,0.030,0.701
1668341435762,2022-11-13T14:10:35.762,3.129,0.793,0.305,0.549
1668341435803,2022-11-13T14:10:35.803,3.170,-0.274,0.915,0.610
1668341435844,2022-11-13T14:10:35.844,3.211,-1.890,1.250,0.030
1668341435883,2022-11-13T14:10:35.883,3.250,1.067,1.128,-0.518
1668341435924,2022-11-13T14:10:35.924,3.291,2.530,1.159,-1.037
1668341435965,2022-11-13T14:10:35.965,3.332,1.829,0.945,-0.366
1668341436005,2022-11-13T14:10:36.005,3.372,-1.006,0.518,-0.030
1668341436046,2022-11-13T14:10:36.046,3.413,-4.299,0.183,0.793
1668341436087,2022-11-13T14:10:36.087,3.454,-6.646,-0.122,0.610
1668341436128,2022-11-13T14:10:36.128,3.495,-3.323,0.366,0.762
1668341436168,2022-11-13T14:10:36.168,3.535,-2.988,0.549,0.610
1668341436209,2022-11-13T14:10:36.209,3.576,-2.348,0.488,1.616
1668341436250,2022-11-13T14:10:36.250,3.617,-1.951,0.671,1.006
1668341436291,2022-11-13T14:10:36.291,3.658,-0.366,0.396,1.951
1668341436330,2022-11-13T14:10:36.330,3.697,-2.348,0.732,0.884
1668341436371,2022-11-13T14:10:36.371,3.738,-1.738,0.488,0.854
1668341436412,2022-11-13T14:10:36.412,3.779,-1.372,0.518,0.457
1668341436453,2022-11-13T14:10:36.453,3.820,-2.012,0.488,0.396
1668341436493,2022-11-13T14:10:36.493,3.860,-2.134,0.122,1.646
1668341436534,2022-11-13T14:10:36.534,3.901,-0.671,0.488,1.646
1668341436575,2022-11-13T14:10:36.575,3.942,-1.098,0.762,0.274
1668341436614,2022-11-13T14:10:36.614,3.981,-0.976,0.427,0.335
1668341436655,2022-11-13T14:10:36.655,4.022,-0.854,0.366,-0.244
1668341436696,2022-11-13T14:10:36.696,4.063,-0.305,0.335,0.091
1668341436737,2022-11-13T14:10:36.737,4.104,-1.677,0.396,-0.122
1668341436777,2022-11-13T14:10:36.777,4.144,-0.823,0.518,-0.244
1668341436818,2022-11-13T14:10:36.818,4.185,-0.854,0.488,-0.091
1668341436859,2022-11-13T14:10:36.859,4.226,-1.677,0.396,-0.152
1668341436900,2022-11-13T14:10:36.900,4.267,-0.640,0.488,0.061
1668341436940,2022-11-13T14:10:36.940,4.307,0.488,0.640,0.549
1668341436981,2022-11-13T14:10:36.981,4.348,-0.274,0.579,0.091
1668341437022,2022-11-13T14:10:37.022,4.389,0.061,0.671,-0.213
1668341437063,2022-11-13T14:10:37.063,4.430,0.274,0.518,-0.427
1668341437102,2022-11-13T14:10:37.102,4.469,-0.396,0.488,-0.366
1668341437143,2022-11-13T14:10:37.143,4.510,0.030,0.640,-0.518
1668341437184,2022-11-13T14:10:37.184,4.551,1.433,0.610,-0.366
1668341437224,2022-11-13T14:10:37.224,4.591,1.037,0.518,-0.335
1668341437265,2022-11-13T14:10:37.265,4.632,-0.122,0.457,-0.183
1668341437306,2022-11-13T14:10:37.306,4.673,-0.701,0.518,-0.427
1668341437347,2022-11-13T14:10:37.347,4.714,0.152,0.396,-0.213
1668341437386,2022-11-13T14:10:37.386,4.753,-0.091,0.518,-0.549
1668341437427,2022-11-13T14:10:37.427,4.794,1.098,0.518,-0.366
1668341437468,2022-11-13T14:10:37.468,4.835,0.854,0.457,-0.335
1668341437509,2022-11-13T14:10:37.509,4.876,0.488,0.488,-0.610
1668341437549,2022-11-13T14:10:37.549,4.916,1.037,0.579,-0.732
1668341437590,2022-11-13T14:10:37.590,4.957,1.159,0.610,-0.884
1668341437631,2022-11-13T14:10:37.631,4.998,0.793,0.640,-0.945
1668341437672,2022-11-13T14:10:37.672,5.039,0.518,0.610,-0.640
1668341437711,2022-11-13T14:10:37.711,5.078,0.274,0.610,-0.366
1668341437753,2022-11-13T14:10:37.753,5.120,0.000,0.518,-0.061
1668341437794,2022-11-13T14:10:37.794,5.161,-0.305,0.518,0.091
1668341437833,2022-11-13T14:10:37.833,5.200,-0.213,0.457,0.091
