epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667907625235,2022-11-08T13:40:25.235,0.000,0.305,0.976,-0.884
1667907625276,2022-11-08T13:40:25.276,0.041,0.122,0.610,-0.854
1667907625317,2022-11-08T13:40:25.317,0.082,0.030,0.884,-0.732
1667907625357,2022-11-08T13:40:25.357,0.122,-0.457,0.854,-0.732
1667907625398,2022-11-08T13:40:25.398,0.163,-1.128,0.701,-0.152
1667907625439,2022-11-08T13:40:25.439,0.204,-1.189,0.854,0.061
1667907625478,2022-11-08T13:40:25.478,0.243,-0.640,0.579,-0.366
1667907625519,2022-11-08T13:40:25.519,0.284,-0.366,0.366,0.152
1667907625560,2022-11-08T13:40:25.560,0.325,-0.549,0.488,0.488
1667907625601,2022-11-08T13:40:25.601,0.366,-0.457,0.701,0.305
1667907625641,2022-11-08T13:40:25.641,0.406,-0.091,0.823,-0.183
1667907625682,2022-11-08T13:40:25.682,0.447,-0.030,0.701,-0.213
1667907625723,2022-11-08T13:40:25.723,0.488,-0.244,0.823,-0.183
1667907625764,2022-11-08T13:40:25.764,0.529,-0.305,0.793,-0.183
1667907625803,2022-11-08T13:40:25.803,0.568,-0.122,0.732,-0.427
1667907625844,2022-11-08T13:40:25.844,0.609,0.152,0.823,-0.305
1667907625885,2022-11-08T13:40:25.885,0.650,-0.061,0.945,-0.579
1667907625926,2022-11-08T13:40:25.926,0.691,0.061,0.701,-0.305
1667907625966,2022-11-08T13:40:25.966,0.731,-0.579,0.396,-0.091
1667907626007,2022-11-08T13:40:26.007,0.772,-0.762,0.427,0.122
1667907626048,2022-11-08T13:40:26.048,0.813,-0.701,0.640,-0.305
1667907626088,2022-11-08T13:40:26.088,0.853,0.274,1.006,-0.366
1667907626129,2022-11-08T13:40:26.129,0.894,-0.183,0.854,-0.579
1667907626170,2022-11-08T13:40:26.170,0.935,-0.305,0.640,-0.457
1667907626211,2022-11-08T13:40:26.211,0.976,-0.213,0.518,0.366
1667907626250,2022-11-08T13:40:26.250,1.015,-0.610,0.518,-0.213
1667907626291,2022-11-08T13:40:26.291,1.056,-0.274,0.762,-0.061
1667907626332,2022-11-08T13:40:26.332,1.097,-0.518,0.793,-0.457
1667907626373,2022-11-08T13:40:26.373,1.138,-0.122,0.823,-0.549
1667907626413,2022-11-08T13:40:26.413,1.178,0.122,0.793,-0.701
1667907626454,2022-11-08T13:40:26.454,1.219,-0.030,0.671,-0.640
1667907626495,2022-11-08T13:40:26.495,1.260,-0.122,0.701,-0.152
1667907626534,2022-11-08T13:40:26.534,1.299,-0.640,0.732,0.000
1667907626575,2022-11-08T13:40:26.575,1.340,-0.762,0.640,-0.244
1667907626616,2022-11-08T13:40:26.616,1.381,-0.366,0.610,-0.305
1667907626657,2022-11-08T13:40:26.657,1.422,-0.427,0.640,-0.122
1667907626697,2022-11-08T13:40:26.697,1.462,-0.854,0.549,-0.213
1667907626738,2022-11-08T13:40:26.738,1.503,-0.640,0.518,-0.030
1667907626779,2022-11-08T13:40:26.779,1.544,-0.945,0.579,0.000
1667907626820,2022-11-08T13:40:26.820,1.585,-1.006,0.610,0.091
1667907626860,2022-11-08T13:40:26.860,1.625,-0.701,0.579,-0.091
1667907626901,2022-11-08T13:40:26.901,1.666,-0.488,0.610,-0.305
1667907626942,2022-11-08T13:40:26.942,1.707,-0.274,0.610,-0.152
1667907626981,2022-11-08T13:40:26.981,1.746,-0.671,0.549,-0.122
1667907627022,2022-11-08T13:40:27.022,1.787,-0.488,0.427,0.152
1667907627063,2022-11-08T13:40:27.063,1.828,-0.244,0.457,0.061
1667907627104,2022-11-08T13:40:27.104,1.869,-0.091,0.579,-0.366
1667907627144,2022-11-08T13:40:27.144,1.909,0.122,0.701,-0.366
1667907627185,2022-11-08T13:40:27.185,1.950,0.183,0.701,-0.396
1667907627226,2022-11-08T13:40:27.226,1.991,-0.030,0.671,-0.305
1667907627267,2022-11-08T13:40:27.267,2.032,-0.274,0.610,-0.274
1667907627306,2022-11-08T13:40:27.306,2.071,0.000,0.671,0.030
1667907627347,2022-11-08T13:40:27.347,2.112,-0.183,0.701,-0.244
1667907627388,2022-11-08T13:40:27.388,2.153,-0.366,0.701,-0.213
1667907627428,2022-11-08T13:40:27.428,2.193,-0.488,0.671,-0.305
1667907627469,2022-11-08T13:40:27.469,2.234,-0.457,0.549,-0.305
1667907627510,2022-11-08T13:40:27.510,2.275,-0.335,0.518,-0.274
1667907627551,2022-11-08T13:40:27.551,2.316,-0.366,0.579,-0.305
1667907627591,2022-11-08T13:40:27.591,2.356,-0.305,0.701,-0.183
1667907627632,2022-11-08T13:40:27.632,2.397,-0.274,0.701,-0.152
1667907627673,2022-11-08T13:40:27.673,2.438,-0.396,0.701,-0.305
1667907627714,2022-11-08T13:40:27.714,2.479,-0.396,0.732,-0.305
1667907627753,2022-11-08T13:40:27.753,2.518,-0.518,0.732,-0.366
1667907627794,2022-11-08T13:40:27.794,2.559,-0.427,0.671,-0.152
1667907627835,2022-11-08T13:40:27.835,2.600,-0.457,0.640,-0.061
1667907627876,2022-11-08T13:40:27.876,2.641,-0.549,0.640,0.091
1667907627916,2022-11-08T13:40:27.916,2.681,-0.701,0.579,0.000
1667907627957,2022-11-08T13:40:27.957,2.722,-0.518,0.610,-0.061
1667907627998,2022-11-08T13:40:27.998,2.763,-0.518,0.640,-0.122
1667907628037,2022-11-08T13:40:28.037,2.802,-0.396,0.732,-0.122
1667907628078,2022-11-08T13:40:28.078,2.843,-0.488,0.732,-0.183
1667907628119,2022-11-08T13:40:28.119,2.884,-0.549,0.549,-0.061
1667907628160,2022-11-08T13:40:28.160,2.925,-0.640,0.488,-0.274
1667907628200,2022-11-08T13:40:28.200,2.965,-0.701,0.579,0.122
1667907628241,2022-11-08T13:40:28.241,3.006,-0.762,0.549,0.091
1667907628282,2022-11-08T13:40:28.282,3.047,-0.732,0.610,-0.030
1667907628323,2022-11-08T13:40:28.323,3.088,-0.701,0.579,-0.152
1667907628362,2022-11-08T13:40:28.362,3.127,-0.488,0.518,-0.061
1667907628404,2022-11-08T13:40:28.404,3.169,-0.610,0.610,-0.183
1667907628445,2022-11-08T13:40:28.445,3.210,-0.640,0.793,0.122
1667907628484,2022-11-08T13:40:28.484,3.249,-0.579,0.610,0.152
1667907628525,2022-11-08T13:40:28.525,3.290,-0.274,0.488,-0.183
1667907628566,2022-11-08T13:40:28.566,3.331,-0.335,0.579,-0.122
1667907628607,2022-11-08T13:40:28.607,3.372,-0.701,0.579,-0.183
1667907628647,2022-11-08T13:40:28.647,3.412,-0.579,0.518,0.091
1667907628688,2022-11-08T13:40:28.688,3.453,-0.457,0.396,-0.091
1667907628729,2022-11-08T13:40:28.729,3.494,-0.274,0.488,0.122
1667907628770,2022-11-08T13:40:28.770,3.535,-0.396,0.610,0.091
1667907628809,2022-11-08T13:40:28.809,3.574,-0.305,0.549,0.030
1667907628850,2022-11-08T13:40:28.850,3.615,-0.213,0.549,0.091
1667907628891,2022-11-08T13:40:28.891,3.656,-0.305,0.457,0.000
1667907628931,2022-11-08T13:40:28.931,3.696,-0.396,0.457,0.061
1667907628972,2022-11-08T13:40:28.972,3.737,-0.396,0.396,0.000
1667907629013,2022-11-08T13:40:29.013,3.778,-0.549,0.427,-0.061
1667907629054,2022-11-08T13:40:29.054,3.819,-0.579,0.457,-0.335
1667907629093,2022-11-08T13:40:29.093,3.858,-0.335,0.701,0.030
1667907629134,2022-11-08T13:40:29.134,3.899,-0.610,0.549,-0.061
1667907629175,2022-11-08T13:40:29.175,3.940,-0.305,0.396,-0.030
1667907629216,2022-11-08T13:40:29.216,3.981,-0.427,0.427,-0.061
1667907629256,2022-11-08T13:40:29.256,4.021,-0.793,0.579,0.030
1667907629297,2022-11-08T13:40:29.297,4.062,-0.579,0.671,0.213
1667907629338,2022-11-08T13:40:29.338,4.103,-0.427,0.579,0.030
1667907629379,2022-11-08T13:40:29.379,4.144,-0.457,0.549,-0.244
1667907629419,2022-11-08T13:40:29.419,4.184,-0.671,0.701,-0.061
1667907629460,2022-11-08T13:40:29.460,4.225,-0.732,0.610,-0.030
1667907629501,2022-11-08T13:40:29.501,4.266,-0.610,0.488,-0.030
1667907629540,2022-11-08T13:40:29.540,4.305,-0.640,0.488,-0.030
1667907629581,2022-11-08T13:40:29.581,4.346,-0.579,0.549,0.244
1667907629622,2022-11-08T13:40:29.622,4.387,-0.518,0.457,0.152
1667907629663,2022-11-08T13:40:29.663,4.428,-0.549,0.518,-0.030
1667907629703,2022-11-08T13:40:29.703,4.468,-0.488,0.610,-0.061
1667907629744,2022-11-08T13:40:29.744,4.509,-0.701,0.549,-0.152
1667907629785,2022-11-08T13:40:29.785,4.550,-0.579,0.549,-0.213
1667907629826,2022-11-08T13:40:29.826,4.591,-0.488,0.610,-0.244
1667907629865,2022-11-08T13:40:29.865,4.630,-0.579,0.579,-0.183
1667907629906,2022-11-08T13:40:29.906,4.671,-0.427,0.549,-0.030
1667907629947,2022-11-08T13:40:29.947,4.712,-0.274,0.427,-0.061
