epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667755020419,2022-11-06T19.17.00.419,0.000,0.378,-0.183,-0.925
1667755020460,2022-11-06T19.17.00.460,0.041,0.394,-0.192,-0.943
1667755020501,2022-11-06T19.17.00.501,0.082,0.393,-0.195,-0.933
1667755020541,2022-11-06T19.17.00.541,0.122,0.376,-0.182,-0.931
1667755020582,2022-11-06T19.17.00.582,0.163,0.385,-0.190,-0.936
1667755020623,2022-11-06T19.17.00.623,0.204,0.387,-0.190,-0.936
1667755020664,2022-11-06T19.17.00.664,0.245,0.380,-0.183,-0.932
1667755020703,2022-11-06T19.17.00.703,0.284,0.385,-0.192,-0.931
1667755020744,2022-11-06T19.17.00.744,0.325,0.388,-0.193,-0.939
1667755020785,2022-11-06T19.17.00.785,0.366,0.382,-0.182,-0.938
1667755020826,2022-11-06T19.17.00.826,0.407,0.386,-0.190,-0.938
1667755020866,2022-11-06T19.17.00.866,0.447,0.381,-0.191,-0.933
1667755020907,2022-11-06T19.17.00.907,0.488,0.385,-0.179,-0.933
1667755020948,2022-11-06T19.17.00.948,0.529,0.385,-0.197,-0.934
1667755020989,2022-11-06T19.17.00.989,0.570,0.385,-0.196,-0.931
1667755021028,2022-11-06T19.17.01.028,0.609,0.381,-0.187,-0.928
1667755021070,2022-11-06T19.17.01.070,0.651,0.383,-0.191,-0.933
1667755021111,2022-11-06T19.17.01.111,0.692,0.388,-0.192,-0.937
1667755021150,2022-11-06T19.17.01.150,0.731,0.384,-0.189,-0.939
1667755021191,2022-11-06T19.17.01.191,0.772,0.382,-0.190,-0.929
1667755021232,2022-11-06T19.17.01.232,0.813,0.383,-0.195,-0.932
1667755021273,2022-11-06T19.17.01.273,0.854,0.386,-0.187,-0.935
1667755021313,2022-11-06T19.17.01.313,0.894,0.383,-0.187,-0.931
1667755021354,2022-11-06T19.17.01.354,0.935,0.386,-0.193,-0.933
1667755021395,2022-11-06T19.17.01.395,0.976,0.384,-0.191,-0.937
1667755021436,2022-11-06T19.17.01.436,1.017,0.378,-0.193,-0.933
1667755021475,2022-11-06T19.17.01.475,1.056,0.385,-0.186,-0.932
1667755021516,2022-11-06T19.17.01.516,1.097,0.384,-0.189,-0.936
1667755021557,2022-11-06T19.17.01.557,1.138,0.383,-0.188,-0.938
1667755021598,2022-11-06T19.17.01.598,1.179,0.385,-0.189,-0.932
1667755021638,2022-11-06T19.17.01.638,1.219,0.380,-0.189,-0.933
1667755021679,2022-11-06T19.17.01.679,1.260,0.383,-0.187,-0.935
1667755021720,2022-11-06T19.17.01.720,1.301,0.381,-0.189,-0.934
1667755021759,2022-11-06T19.17.01.759,1.340,0.384,-0.190,-0.932
1667755021800,2022-11-06T19.17.01.800,1.381,0.383,-0.194,-0.938
1667755021841,2022-11-06T19.17.01.841,1.422,0.377,-0.190,-0.941
1667755021882,2022-11-06T19.17.01.882,1.463,0.382,-0.190,-0.928
1667755021922,2022-11-06T19.17.01.922,1.503,0.375,-0.189,-0.928
1667755021963,2022-11-06T19.17.01.963,1.544,0.378,-0.182,-0.930
1667755022004,2022-11-06T19.17.02.004,1.585,0.384,-0.197,-0.940
1667755022045,2022-11-06T19.17.02.045,1.626,0.386,-0.191,-0.947
1667755022085,2022-11-06T19.17.02.085,1.666,0.389,-0.187,-0.934
1667755022126,2022-11-06T19.17.02.126,1.707,0.376,-0.190,-0.931
1667755022167,2022-11-06T19.17.02.167,1.748,0.383,-0.190,-0.931
1667755022206,2022-11-06T19.17.02.206,1.787,0.384,-0.190,-0.936
1667755022247,2022-11-06T19.17.02.247,1.828,0.384,-0.188,-0.939
1667755022288,2022-11-06T19.17.02.288,1.869,0.385,-0.191,-0.933
