epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667857863540,2022-11-07T23:51:03.540,0.000,0.457,0.884,-0.152
1667857863581,2022-11-07T23:51:03.581,0.041,0.488,0.793,0.030
1667857863621,2022-11-07T23:51:03.621,0.081,-0.579,1.280,-0.152
1667857863662,2022-11-07T23:51:03.662,0.122,-0.762,1.067,-0.244
1667857863703,2022-11-07T23:51:03.703,0.163,0.701,0.213,-0.335
1667857863744,2022-11-07T23:51:03.744,0.204,0.244,0.244,-0.274
1667857863784,2022-11-07T23:51:03.784,0.244,0.213,0.579,-0.152
1667857863825,2022-11-07T23:51:03.825,0.285,0.122,1.037,0.000
1667857863866,2022-11-07T23:51:03.866,0.326,0.152,1.311,0.305
1667857863907,2022-11-07T23:51:03.907,0.367,-0.122,1.372,0.213
1667857863946,2022-11-07T23:51:03.946,0.406,0.152,1.768,-0.396
1667857863987,2022-11-07T23:51:03.987,0.447,0.183,2.927,-1.128
1667857864028,2022-11-07T23:51:04.028,0.488,0.244,2.348,-1.098
1667857864069,2022-11-07T23:51:04.069,0.529,0.640,1.311,-0.701
1667857864109,2022-11-07T23:51:04.109,0.569,-0.244,0.640,-0.244
1667857864150,2022-11-07T23:51:04.150,0.610,-0.091,-0.213,-0.274
1667857864191,2022-11-07T23:51:04.191,0.651,-0.457,-0.488,-0.122
1667857864232,2022-11-07T23:51:04.232,0.692,-0.762,-0.335,0.000
1667857864271,2022-11-07T23:51:04.271,0.731,-1.037,0.000,0.335
1667857864312,2022-11-07T23:51:04.312,0.772,-1.098,0.183,0.183
1667857864353,2022-11-07T23:51:04.353,0.813,-1.463,0.549,0.152
1667857864394,2022-11-07T23:51:04.394,0.854,-0.732,-0.122,0.213
1667857864434,2022-11-07T23:51:04.434,0.894,-1.159,0.396,0.091
1667857864475,2022-11-07T23:51:04.475,0.935,-1.951,0.793,0.305
1667857864516,2022-11-07T23:51:04.516,0.976,-0.762,0.274,0.152
1667857864556,2022-11-07T23:51:04.556,1.016,-0.335,0.457,0.000
