epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668341432795,2022-11-13T14:10:32.795,0.000,0.237,0.058,-0.982
1668341432836,2022-11-13T14:10:32.836,0.041,0.252,0.034,-0.990
1668341432878,2022-11-13T14:10:32.878,0.083,0.260,0.044,-0.988
1668341432919,2022-11-13T14:10:32.919,0.124,0.243,0.055,-0.983
1668341432958,2022-11-13T14:10:32.958,0.163,0.228,0.039,-0.988
1668341432999,2022-11-13T14:10:32.999,0.204,0.232,0.099,-0.994
1668341433040,2022-11-13T14:10:33.040,0.245,0.219,0.077,-0.999
1668341433081,2022-11-13T14:10:33.081,0.286,0.230,-0.004,-1.004
1668341433121,2022-11-13T14:10:33.121,0.326,0.247,0.108,-0.979
1668341433162,2022-11-13T14:10:33.162,0.367,0.256,0.055,-0.984
1668341433203,2022-11-13T14:10:33.203,0.408,0.242,0.049,-0.997
1668341433242,2022-11-13T14:10:33.242,0.447,0.195,0.140,-0.998
1668341433283,2022-11-13T14:10:33.283,0.488,0.190,0.090,-1.000
1668341433324,2022-11-13T14:10:33.324,0.529,0.171,0.044,-1.005
1668341433365,2022-11-13T14:10:33.365,0.570,0.074,0.130,-1.026
1668341433405,2022-11-13T14:10:33.405,0.610,0.126,0.089,-1.006
1668341433446,2022-11-13T14:10:33.446,0.651,0.148,0.035,-1.009
1668341433487,2022-11-13T14:10:33.487,0.692,0.144,0.082,-1.006
1668341433528,2022-11-13T14:10:33.528,0.733,0.155,0.079,-1.006
1668341433567,2022-11-13T14:10:33.567,0.772,0.156,0.072,-1.006
1668341433608,2022-11-13T14:10:33.608,0.813,0.151,0.074,-1.007
1668341433649,2022-11-13T14:10:33.649,0.854,0.154,0.072,-1.006
1668341433690,2022-11-13T14:10:33.690,0.895,0.155,0.080,-1.006
1668341433730,2022-11-13T14:10:33.730,0.935,0.149,0.063,-1.006
1668341433771,2022-11-13T14:10:33.771,0.976,0.140,0.067,-1.007
1668341433812,2022-11-13T14:10:33.812,1.017,0.160,0.072,-1.008
1668341433852,2022-11-13T14:10:33.852,1.057,0.159,0.071,-1.006
1668341433893,2022-11-13T14:10:33.893,1.098,0.155,0.052,-1.006
1668341433934,2022-11-13T14:10:33.934,1.139,0.148,0.041,-1.010
1668341433975,2022-11-13T14:10:33.975,1.180,0.138,0.054,-1.007
1668341434014,2022-11-13T14:10:34.014,1.219,0.138,0.040,-1.004
1668341434055,2022-11-13T14:10:34.055,1.260,0.158,0.065,-1.011
