epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667859379830,2022-11-08T00:16:19.830,0.000,-0.208,-0.110,-0.986
1667859379871,2022-11-08T00:16:19.871,0.041,-0.231,-0.127,-0.992
1667859379912,2022-11-08T00:16:19.912,0.082,-0.219,-0.127,-0.996
1667859379953,2022-11-08T00:16:19.953,0.123,-0.198,-0.126,-0.995
1667859379993,2022-11-08T00:16:19.993,0.163,-0.198,-0.128,-0.994
1667859380034,2022-11-08T00:16:20.034,0.204,-0.209,-0.132,-0.987
1667859380075,2022-11-08T00:16:20.075,0.245,-0.206,-0.146,-0.978
1667859380114,2022-11-08T00:16:20.114,0.284,-0.216,-0.134,-1.010
1667859380155,2022-11-08T00:16:20.155,0.325,-0.220,-0.134,-0.994
1667859380196,2022-11-08T00:16:20.196,0.366,-0.193,-0.136,-0.987
1667859380237,2022-11-08T00:16:20.237,0.407,-0.194,-0.134,-1.001
1667859380277,2022-11-08T00:16:20.277,0.447,-0.213,-0.129,-0.994
1667859380318,2022-11-08T00:16:20.318,0.488,-0.214,-0.132,-0.986
1667859380359,2022-11-08T00:16:20.359,0.529,-0.203,-0.130,-0.990
1667859380400,2022-11-08T00:16:20.400,0.570,-0.203,-0.130,-0.992
1667859380439,2022-11-08T00:16:20.439,0.609,-0.206,-0.139,-0.997
1667859380480,2022-11-08T00:16:20.480,0.650,-0.204,-0.136,-0.992
1667859380521,2022-11-08T00:16:20.521,0.691,-0.207,-0.132,-0.993
1667859380561,2022-11-08T00:16:20.561,0.731,-0.210,-0.129,-0.990
1667859380602,2022-11-08T00:16:20.602,0.772,-0.208,-0.127,-0.988
1667859380643,2022-11-08T00:16:20.643,0.813,-0.207,-0.132,-0.994
1667859380684,2022-11-08T00:16:20.684,0.854,-0.207,-0.136,-0.988
1667859380724,2022-11-08T00:16:20.724,0.894,-0.206,-0.131,-0.992
1667859380765,2022-11-08T00:16:20.765,0.935,-0.208,-0.134,-0.992
1667859380806,2022-11-08T00:16:20.806,0.976,-0.206,-0.135,-0.988
1667859380847,2022-11-08T00:16:20.847,1.017,-0.204,-0.133,-0.994
1667859380886,2022-11-08T00:16:20.886,1.056,-0.205,-0.132,-0.996
1667859380927,2022-11-08T00:16:20.927,1.097,-0.208,-0.130,-0.990
1667859380968,2022-11-08T00:16:20.968,1.138,-0.209,-0.132,-0.993
1667859381009,2022-11-08T00:16:21.009,1.179,-0.206,-0.129,-0.990
1667859381049,2022-11-08T00:16:21.049,1.219,-0.207,-0.130,-0.989
1667859381090,2022-11-08T00:16:21.090,1.260,-0.205,-0.127,-0.995
1667859381131,2022-11-08T00:16:21.131,1.301,-0.207,-0.130,-0.990
1667859381170,2022-11-08T00:16:21.170,1.340,-0.207,-0.132,-0.989
1667859381211,2022-11-08T00:16:21.211,1.381,-0.200,-0.125,-0.994
1667859381252,2022-11-08T00:16:21.252,1.422,-0.203,-0.131,-0.991
1667859381293,2022-11-08T00:16:21.293,1.463,-0.208,-0.130,-0.995
1667859381333,2022-11-08T00:16:21.333,1.503,-0.214,-0.129,-0.990
1667859381374,2022-11-08T00:16:21.374,1.544,-0.215,-0.129,-0.992
1667859381415,2022-11-08T00:16:21.415,1.585,-0.211,-0.128,-0.991
1667859381456,2022-11-08T00:16:21.456,1.626,-0.209,-0.123,-0.990
1667859381496,2022-11-08T00:16:21.496,1.666,-0.201,-0.130,-0.990
1667859381537,2022-11-08T00:16:21.537,1.707,-0.199,-0.133,-0.996
1667859381578,2022-11-08T00:16:21.578,1.748,-0.207,-0.130,-0.995
1667859381619,2022-11-08T00:16:21.619,1.789,-0.207,-0.126,-0.987
1667859381658,2022-11-08T00:16:21.658,1.828,-0.208,-0.132,-0.993
1667859381699,2022-11-08T00:16:21.699,1.869,-0.206,-0.128,-0.993
1667859381740,2022-11-08T00:16:21.740,1.910,-0.208,-0.125,-0.988
1667859381780,2022-11-08T00:16:21.780,1.950,-0.210,-0.127,-0.991
1667859381821,2022-11-08T00:16:21.821,1.991,-0.205,-0.126,-0.996
1667859381862,2022-11-08T00:16:21.862,2.032,-0.203,-0.131,-0.992
1667859381903,2022-11-08T00:16:21.903,2.073,-0.203,-0.126,-0.990
1667859381942,2022-11-08T00:16:21.942,2.112,-0.205,-0.131,-0.993
1667859381983,2022-11-08T00:16:21.983,2.153,-0.204,-0.130,-0.991
1667859382024,2022-11-08T00:16:22.024,2.194,-0.201,-0.127,-0.990
1667859382065,2022-11-08T00:16:22.065,2.235,-0.206,-0.130,-0.990
1667859382105,2022-11-08T00:16:22.105,2.275,-0.208,-0.129,-0.991
1667859382146,2022-11-08T00:16:22.146,2.316,-0.202,-0.128,-0.995
1667859382187,2022-11-08T00:16:22.187,2.357,-0.201,-0.131,-0.992
1667859382228,2022-11-08T00:16:22.228,2.398,-0.205,-0.130,-0.992
1667859382267,2022-11-08T00:16:22.267,2.437,-0.206,-0.134,-0.992
1667859382309,2022-11-08T00:16:22.309,2.479,-0.200,-0.132,-0.992
1667859382350,2022-11-08T00:16:22.350,2.520,-0.202,-0.134,-0.993
1667859382389,2022-11-08T00:16:22.389,2.559,-0.202,-0.132,-0.994
1667859382430,2022-11-08T00:16:22.430,2.600,-0.201,-0.130,-0.992
1667859382471,2022-11-08T00:16:22.471,2.641,-0.205,-0.127,-0.993
1667859382512,2022-11-08T00:16:22.512,2.682,-0.204,-0.131,-0.991
1667859382552,2022-11-08T00:16:22.552,2.722,-0.202,-0.134,-0.991
1667859382593,2022-11-08T00:16:22.593,2.763,-0.205,-0.133,-0.992
1667859382634,2022-11-08T00:16:22.634,2.804,-0.202,-0.132,-0.993
1667859382675,2022-11-08T00:16:22.675,2.845,-0.204,-0.135,-0.992
