epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668028283269,2022-11-09T23.11.23.269,0.000,0.207,0.029,-0.961
1668028283308,2022-11-09T23.11.23.308,0.039,0.205,0.034,-0.979
1668028283348,2022-11-09T23.11.23.348,0.079,0.191,0.042,-0.994
1668028283387,2022-11-09T23.11.23.387,0.118,0.176,0.041,-1.013
1668028283427,2022-11-09T23.11.23.427,0.158,0.175,0.045,-1.011
1668028283466,2022-11-09T23.11.23.466,0.197,0.194,0.034,-0.995
1668028283506,2022-11-09T23.11.23.506,0.237,0.206,0.005,-0.983
1668028283546,2022-11-09T23.11.23.546,0.277,0.205,0.006,-0.985
1668028283585,2022-11-09T23.11.23.585,0.316,0.200,0.009,-0.998
1668028283625,2022-11-09T23.11.23.625,0.356,0.179,0.054,-0.958
1668028283664,2022-11-09T23.11.23.664,0.395,0.191,0.046,-0.954
1668028283704,2022-11-09T23.11.23.704,0.435,0.194,0.011,-1.012
1668028283743,2022-11-09T23.11.23.743,0.474,0.174,0.029,-1.010
1668028283783,2022-11-09T23.11.23.783,0.514,0.161,0.055,-0.992
1668028283822,2022-11-09T23.11.23.822,0.553,0.158,0.044,-1.004
1668028283862,2022-11-09T23.11.23.862,0.593,0.167,0.029,-1.022
1668028283901,2022-11-09T23.11.23.901,0.632,0.168,0.046,-1.008
1668028283941,2022-11-09T23.11.23.941,0.672,0.167,0.064,-0.971
1668028283981,2022-11-09T23.11.23.981,0.712,0.150,0.062,-0.998
1668028284020,2022-11-09T23.11.24.020,0.751,0.148,0.063,-1.014
1668028284060,2022-11-09T23.11.24.060,0.791,0.164,0.072,-0.978
1668028284101,2022-11-09T23.11.24.101,0.832,0.161,0.061,-0.994
1668028284140,2022-11-09T23.11.24.140,0.871,0.157,0.070,-1.005
1668028284180,2022-11-09T23.11.24.180,0.911,0.151,0.105,-1.002
1668028284219,2022-11-09T23.11.24.219,0.950,0.147,0.117,-0.980
1668028284259,2022-11-09T23.11.24.259,0.990,0.158,0.088,-0.972
1668028284298,2022-11-09T23.11.24.298,1.029,0.179,0.064,-0.982
1668028284338,2022-11-09T23.11.24.338,1.069,0.168,0.068,-0.984
1668028284378,2022-11-09T23.11.24.378,1.109,0.158,0.068,-1.018
1668028284417,2022-11-09T23.11.24.417,1.148,0.166,0.078,-1.012
1668028284457,2022-11-09T23.11.24.457,1.188,0.148,0.105,-0.983
1668028284496,2022-11-09T23.11.24.496,1.227,0.152,0.129,-0.962
1668028284536,2022-11-09T23.11.24.536,1.267,0.153,0.114,-1.008
1668028284575,2022-11-09T23.11.24.575,1.306,0.152,0.106,-0.990
1668028284615,2022-11-09T23.11.24.615,1.346,0.153,0.096,-0.960
1668028284654,2022-11-09T23.11.24.654,1.385,0.153,0.075,-1.019
1668028284694,2022-11-09T23.11.24.694,1.425,0.167,0.074,-1.052
1668028284734,2022-11-09T23.11.24.734,1.465,0.196,0.094,-0.987
1668028284773,2022-11-09T23.11.24.773,1.504,0.201,0.098,-0.943
1668028284813,2022-11-09T23.11.24.813,1.544,0.176,0.119,-0.952
1668028284852,2022-11-09T23.11.24.852,1.583,0.163,0.122,-0.961
1668028284892,2022-11-09T23.11.24.892,1.623,0.153,0.116,-0.988
1668028284931,2022-11-09T23.11.24.931,1.662,0.146,0.104,-1.022
1668028284972,2022-11-09T23.11.24.972,1.703,0.146,0.107,-1.023
1668028285012,2022-11-09T23.11.25.012,1.743,0.159,0.112,-0.984
1668028285051,2022-11-09T23.11.25.051,1.782,0.178,0.107,-0.961
1668028285091,2022-11-09T23.11.25.091,1.822,0.186,0.111,-0.977
1668028285130,2022-11-09T23.11.25.130,1.861,0.179,0.111,-0.995
1668028285170,2022-11-09T23.11.25.170,1.901,0.174,0.108,-0.989
1668028285210,2022-11-09T23.11.25.210,1.941,0.176,0.101,-0.979
1668028285249,2022-11-09T23.11.25.249,1.980,0.173,0.103,-0.972
1668028285289,2022-11-09T23.11.25.289,2.020,0.162,0.115,-0.970
1668028285328,2022-11-09T23.11.25.328,2.059,0.153,0.135,-1.006
