epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1669051522127,2022-11-21T19:25:22.127,0.000,-0.732,-0.274,0.061
1669051522167,2022-11-21T19:25:22.167,0.040,-0.488,-0.183,-0.152
1669051522207,2022-11-21T19:25:22.207,0.080,0.610,-0.610,-0.152
1669051522247,2022-11-21T19:25:22.247,0.120,0.457,-0.396,-0.091
1669051522287,2022-11-21T19:25:22.287,0.160,0.701,-0.335,-0.244
1669051522327,2022-11-21T19:25:22.327,0.200,1.738,-0.732,-0.335
1669051522367,2022-11-21T19:25:22.367,0.240,1.646,-0.396,-0.183
1669051522407,2022-11-21T19:25:22.407,0.280,1.494,-0.488,-0.091
1669051522447,2022-11-21T19:25:22.447,0.320,0.579,-0.335,-0.274
1669051522487,2022-11-21T19:25:22.487,0.360,0.000,-0.183,-0.183
1669051522527,2022-11-21T19:25:22.527,0.400,-0.274,-0.274,-0.213
1669051522567,2022-11-21T19:25:22.567,0.440,-0.610,-0.274,-0.122
1669051522607,2022-11-21T19:25:22.607,0.480,-0.274,-0.366,0.030
1669051522647,2022-11-21T19:25:22.647,0.520,-0.427,0.000,0.305
1669051522687,2022-11-21T19:25:22.687,0.560,-0.030,-0.061,0.823
1669051522727,2022-11-21T19:25:22.727,0.600,0.701,-0.244,0.823
1669051522767,2022-11-21T19:25:22.767,0.640,0.244,0.000,0.610
1669051522807,2022-11-21T19:25:22.807,0.680,0.213,-0.061,0.366
1669051522847,2022-11-21T19:25:22.847,0.720,0.396,-0.274,0.000
1669051522887,2022-11-21T19:25:22.887,0.760,0.091,-0.183,-0.305
1669051522927,2022-11-21T19:25:22.927,0.800,-0.213,-0.030,-0.274
1669051522967,2022-11-21T19:25:22.967,0.840,-0.244,0.000,0.091
1669051523007,2022-11-21T19:25:23.007,0.880,0.396,-0.274,0.366
1669051523047,2022-11-21T19:25:23.047,0.920,0.335,-0.091,0.579
1669051523087,2022-11-21T19:25:23.087,0.960,0.518,-0.061,0.549
1669051523127,2022-11-21T19:25:23.127,1.000,0.457,-0.061,0.183
1669051523167,2022-11-21T19:25:23.167,1.040,0.274,-0.030,0.000
1669051523207,2022-11-21T19:25:23.207,1.080,0.213,0.030,0.030
1669051523247,2022-11-21T19:25:23.247,1.120,0.000,-0.030,0.244
1669051523287,2022-11-21T19:25:23.287,1.160,-0.183,-0.061,0.030
1669051523327,2022-11-21T19:25:23.327,1.200,-0.061,-0.183,-0.183
1669051523367,2022-11-21T19:25:23.367,1.240,-0.396,0.030,-0.183
1669051523407,2022-11-21T19:25:23.407,1.280,-0.366,0.000,0.091
1669051523447,2022-11-21T19:25:23.447,1.320,-0.152,-0.030,0.091
1669051523487,2022-11-21T19:25:23.487,1.360,-0.091,-0.030,0.030
