epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668428287450,2022-11-14T14.18.07.450,0.000,-0.172,-0.232,0.974
1668428287489,2022-11-14T14.18.07.489,0.039,-0.180,-0.268,0.980
1668428287530,2022-11-14T14.18.07.530,0.080,-0.184,-0.255,0.979
1668428287570,2022-11-14T14.18.07.570,0.120,-0.186,-0.242,0.980
1668428287611,2022-11-14T14.18.07.611,0.161,-0.184,-0.248,0.979
1668428287651,2022-11-14T14.18.07.651,0.201,-0.189,-0.249,0.982
1668428287692,2022-11-14T14.18.07.692,0.242,-0.192,-0.265,0.975
1668428287731,2022-11-14T14.18.07.731,0.281,-0.194,-0.253,0.978
1668428287771,2022-11-14T14.18.07.771,0.321,-0.198,-0.252,0.977
1668428287812,2022-11-14T14.18.07.812,0.362,-0.214,-0.260,0.975
1668428287851,2022-11-14T14.18.07.851,0.401,-0.213,-0.260,0.971
1668428287892,2022-11-14T14.18.07.892,0.442,-0.189,-0.225,0.985
1668428287932,2022-11-14T14.18.07.932,0.482,-0.188,-0.233,0.979
1668428287973,2022-11-14T14.18.07.973,0.523,-0.206,-0.267,0.975
1668428288012,2022-11-14T14.18.08.012,0.562,-0.237,-0.266,0.970
1668428288053,2022-11-14T14.18.08.053,0.603,-0.219,-0.238,0.974
1668428288093,2022-11-14T14.18.08.093,0.643,-0.200,-0.264,0.978
1668428288134,2022-11-14T14.18.08.134,0.684,-0.212,-0.279,0.972
1668428288173,2022-11-14T14.18.08.173,0.723,-0.231,-0.278,0.966
1668428288214,2022-11-14T14.18.08.214,0.764,-0.222,-0.284,0.969
1668428288254,2022-11-14T14.18.08.254,0.804,-0.210,-0.284,0.971
1668428288294,2022-11-14T14.18.08.294,0.844,-0.216,-0.260,0.973
1668428288335,2022-11-14T14.18.08.335,0.885,-0.222,-0.266,0.968
1668428288374,2022-11-14T14.18.08.374,0.924,-0.224,-0.271,0.969
1668428288415,2022-11-14T14.18.08.415,0.965,-0.228,-0.280,0.967
1668428288455,2022-11-14T14.18.08.455,1.005,-0.219,-0.258,0.971
1668428288496,2022-11-14T14.18.08.496,1.046,-0.218,-0.297,0.963
