epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668452063306,2022-11-14T20.54.23.306,0.000,1.311,2.927,0.396
1668452063346,2022-11-14T20.54.23.346,0.040,-2.165,6.890,-0.823
1668452063386,2022-11-14T20.54.23.386,0.080,-15.213,23.079,-8.994
1668452063425,2022-11-14T20.54.23.425,0.119,-18.750,30.518,-12.287
1668452063465,2022-11-14T20.54.23.465,0.159,-28.018,32.012,-7.012
1668452063504,2022-11-14T20.54.23.504,0.198,-11.280,24.756,-5.701
1668452063544,2022-11-14T20.54.23.544,0.238,-4.482,28.445,-8.293
1668452063583,2022-11-14T20.54.23.583,0.277,-20.488,28.537,-10.762
1668452063623,2022-11-14T20.54.23.623,0.317,-43.872,24.726,-13.140
1668452063662,2022-11-14T20.54.23.662,0.356,-65.579,19.238,-13.963
1668452063702,2022-11-14T20.54.23.702,0.396,-50.488,28.689,-20.793
1668452063742,2022-11-14T20.54.23.742,0.436,-62.988,38.841,-30.671
1668452063781,2022-11-14T20.54.23.781,0.475,-129.512,36.524,-47.561
1668452063821,2022-11-14T20.54.23.821,0.515,-150.366,27.744,-48.628
1668452063860,2022-11-14T20.54.23.860,0.554,-102.134,6.220,-34.482
1668452063900,2022-11-14T20.54.23.900,0.594,-36.189,-38.476,-14.024
1668452063939,2022-11-14T20.54.23.939,0.633,-15.823,-31.128,-4.360
1668452063979,2022-11-14T20.54.23.979,0.673,-0.030,-32.104,12.012
1668452064020,2022-11-14T20.54.24.020,0.714,9.085,-39.604,16.555
1668452064059,2022-11-14T20.54.24.059,0.753,14.116,-37.561,8.811
1668452064099,2022-11-14T20.54.24.099,0.793,12.927,-39.299,6.616
1668452064139,2022-11-14T20.54.24.139,0.833,-8.079,-27.713,6.890
1668452064178,2022-11-14T20.54.24.178,0.872,-1.311,-12.378,5.884
1668452064218,2022-11-14T20.54.24.218,0.912,8.110,-6.250,4.177
1668452064257,2022-11-14T20.54.24.257,0.951,13.933,-9.055,2.470
1668452064297,2022-11-14T20.54.24.297,0.991,17.378,-14.421,2.470
1668452064336,2022-11-14T20.54.24.336,1.030,9.238,-13.232,2.896
1668452064376,2022-11-14T20.54.24.376,1.070,3.841,-15.244,4.116
1668452064415,2022-11-14T20.54.24.415,1.109,-12.866,-31.280,7.439
1668452064455,2022-11-14T20.54.24.455,1.149,-30.945,-39.116,13.902
1668452064494,2022-11-14T20.54.24.494,1.188,-49.512,-10.274,14.146
1668452064534,2022-11-14T20.54.24.534,1.228,-14.116,8.933,5.030
1668452064574,2022-11-14T20.54.24.574,1.268,33.262,11.311,-8.201
1668452064613,2022-11-14T20.54.24.613,1.307,21.616,17.866,-9.543
1668452064653,2022-11-14T20.54.24.653,1.347,3.140,19.146,-3.963
1668452064692,2022-11-14T20.54.24.692,1.386,3.811,26.585,-3.933
1668452064732,2022-11-14T20.54.24.732,1.426,8.354,31.951,-3.720
1668452064771,2022-11-14T20.54.24.771,1.465,2.043,41.037,-1.707
1668452064811,2022-11-14T20.54.24.811,1.505,18.262,45.335,0.213
1668452064850,2022-11-14T20.54.24.850,1.544,31.646,53.567,-4.634
1668452064890,2022-11-14T20.54.24.890,1.584,15.000,77.652,-14.634
1668452064931,2022-11-14T20.54.24.931,1.625,26.372,85.610,-19.573
1668452064971,2022-11-14T20.54.24.971,1.665,41.829,47.744,-8.506
1668452065010,2022-11-14T20.54.25.010,1.704,15.000,25.091,-3.506
1668452065050,2022-11-14T20.54.25.050,1.744,-0.945,13.018,-2.317
1668452065089,2022-11-14T20.54.25.089,1.783,14.421,6.982,1.372
1668452065129,2022-11-14T20.54.25.129,1.823,29.238,3.994,1.799
1668452065168,2022-11-14T20.54.25.168,1.862,15.549,-4.451,3.963
1668452065208,2022-11-14T20.54.25.208,1.902,25.884,-0.610,3.171
1668452065247,2022-11-14T20.54.25.247,1.941,28.476,5.244,0.030
1668452065287,2022-11-14T20.54.25.287,1.981,0.610,1.982,-3.750
1668452065326,2022-11-14T20.54.25.326,2.020,6.707,-3.506,1.189
1668452065366,2022-11-14T20.54.25.366,2.060,25.030,-5.122,8.720
