epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668323636013,2022-11-13T09.13.56.013,0.000,-0.135,-0.271,0.970
1668323636052,2022-11-13T09.13.56.052,0.039,-0.116,-0.229,0.993
1668323636093,2022-11-13T09.13.56.093,0.080,-0.132,-0.249,0.985
1668323636133,2022-11-13T09.13.56.133,0.120,-0.140,-0.265,0.979
1668323636174,2022-11-13T09.13.56.174,0.161,-0.127,-0.251,0.985
1668323636213,2022-11-13T09.13.56.213,0.200,-0.121,-0.254,0.986
1668323636254,2022-11-13T09.13.56.254,0.241,-0.133,-0.266,0.980
1668323636294,2022-11-13T09.13.56.294,0.281,-0.133,-0.253,0.983
1668323636335,2022-11-13T09.13.56.335,0.322,-0.135,-0.256,0.982
1668323636375,2022-11-13T09.13.56.375,0.362,-0.138,-0.246,0.985
1668323636416,2022-11-13T09.13.56.416,0.403,-0.112,-0.244,0.988
1668323636455,2022-11-13T09.13.56.455,0.442,-0.106,-0.258,0.987
1668323636495,2022-11-13T09.13.56.495,0.482,-0.129,-0.247,0.988
1668323636536,2022-11-13T09.13.56.536,0.523,-0.134,-0.256,0.982
1668323636575,2022-11-13T09.13.56.575,0.562,-0.136,-0.255,0.980
1668323636616,2022-11-13T09.13.56.616,0.603,-0.123,-0.241,0.987
1668323636656,2022-11-13T09.13.56.656,0.643,-0.123,-0.243,0.988
1668323636697,2022-11-13T09.13.56.697,0.684,-0.124,-0.246,0.987
1668323636736,2022-11-13T09.13.56.736,0.723,-0.129,-0.244,0.985
1668323636777,2022-11-13T09.13.56.777,0.764,-0.127,-0.241,0.986
1668323636817,2022-11-13T09.13.56.817,0.804,-0.126,-0.250,0.986
1668323636858,2022-11-13T09.13.56.858,0.845,-0.129,-0.256,0.984
1668323636898,2022-11-13T09.13.56.898,0.885,-0.124,-0.249,0.987
1668323636939,2022-11-13T09.13.56.939,0.926,-0.127,-0.254,0.984
1668323636978,2022-11-13T09.13.56.978,0.965,-0.127,-0.252,0.984
1668323637019,2022-11-13T09.13.57.019,1.006,-0.127,-0.249,0.985
1668323637059,2022-11-13T09.13.57.059,1.046,-0.126,-0.251,0.984
1668323637098,2022-11-13T09.13.57.098,1.085,-0.126,-0.251,0.987
1668323637139,2022-11-13T09.13.57.139,1.126,-0.128,-0.251,0.985
1668323637179,2022-11-13T09.13.57.179,1.166,-0.127,-0.247,0.985
1668323637220,2022-11-13T09.13.57.220,1.207,-0.126,-0.249,0.986
1668323637259,2022-11-13T09.13.57.259,1.246,-0.126,-0.249,0.985
1668323637300,2022-11-13T09.13.57.300,1.287,-0.125,-0.247,0.987
1668323637340,2022-11-13T09.13.57.340,1.327,-0.125,-0.250,0.985
1668323637381,2022-11-13T09.13.57.381,1.368,-0.124,-0.250,0.987
1668323637421,2022-11-13T09.13.57.421,1.408,-0.129,-0.252,0.986
1668323637462,2022-11-13T09.13.57.462,1.449,-0.129,-0.246,0.986
1668323637501,2022-11-13T09.13.57.501,1.488,-0.126,-0.247,0.985
1668323637542,2022-11-13T09.13.57.542,1.529,-0.126,-0.249,0.986
1668323637582,2022-11-13T09.13.57.582,1.569,-0.128,-0.247,0.986
1668323637621,2022-11-13T09.13.57.621,1.608,-0.126,-0.249,0.986
1668323637662,2022-11-13T09.13.57.662,1.649,-0.125,-0.251,0.987
1668323637702,2022-11-13T09.13.57.702,1.689,-0.127,-0.250,0.986
1668323637743,2022-11-13T09.13.57.743,1.730,-0.126,-0.250,0.986
1668323637782,2022-11-13T09.13.57.782,1.769,-0.127,-0.251,0.986
1668323637823,2022-11-13T09.13.57.823,1.810,-0.126,-0.247,0.985
1668323637863,2022-11-13T09.13.57.863,1.850,-0.125,-0.249,0.986
1668323637904,2022-11-13T09.13.57.904,1.891,-0.127,-0.250,0.987
1668323637943,2022-11-13T09.13.57.943,1.930,-0.127,-0.247,0.986
1668323637984,2022-11-13T09.13.57.984,1.971,-0.127,-0.246,0.988
1668323638024,2022-11-13T09.13.58.024,2.011,-0.127,-0.250,0.987
1668323638065,2022-11-13T09.13.58.065,2.052,-0.127,-0.249,0.988
1668323638105,2022-11-13T09.13.58.105,2.092,-0.128,-0.251,0.985
1668323638144,2022-11-13T09.13.58.144,2.131,-0.127,-0.251,0.985
1668323638185,2022-11-13T09.13.58.185,2.172,-0.124,-0.249,0.986
1668323638225,2022-11-13T09.13.58.225,2.212,-0.128,-0.253,0.985
1668323638266,2022-11-13T09.13.58.266,2.253,-0.128,-0.248,0.986
1668323638305,2022-11-13T09.13.58.305,2.292,-0.125,-0.249,0.986
1668323638346,2022-11-13T09.13.58.346,2.333,-0.126,-0.250,0.986
1668323638386,2022-11-13T09.13.58.386,2.373,-0.128,-0.248,0.985
1668323638427,2022-11-13T09.13.58.427,2.414,-0.126,-0.251,0.986
1668323638466,2022-11-13T09.13.58.466,2.453,-0.126,-0.251,0.986
1668323638507,2022-11-13T09.13.58.507,2.494,-0.127,-0.251,0.985
1668323638547,2022-11-13T09.13.58.547,2.534,-0.126,-0.250,0.986
1668323638588,2022-11-13T09.13.58.588,2.575,-0.125,-0.252,0.986
1668323638628,2022-11-13T09.13.58.628,2.615,-0.127,-0.255,0.986
1668323638669,2022-11-13T09.13.58.669,2.656,-0.126,-0.252,0.986
1668323638708,2022-11-13T09.13.58.708,2.695,-0.125,-0.252,0.986
1668323638748,2022-11-13T09.13.58.748,2.735,-0.125,-0.251,0.986
1668323638789,2022-11-13T09.13.58.789,2.776,-0.127,-0.251,0.985
1668323638828,2022-11-13T09.13.58.828,2.815,-0.126,-0.252,0.986
1668323638869,2022-11-13T09.13.58.869,2.856,-0.125,-0.251,0.986
1668323638909,2022-11-13T09.13.58.909,2.896,-0.126,-0.252,0.987
1668323638950,2022-11-13T09.13.58.950,2.937,-0.127,-0.253,0.986
1668323638989,2022-11-13T09.13.58.989,2.976,-0.128,-0.254,0.984
1668323639030,2022-11-13T09.13.59.030,3.017,-0.126,-0.254,0.984
1668323639070,2022-11-13T09.13.59.070,3.057,-0.127,-0.253,0.985
1668323639111,2022-11-13T09.13.59.111,3.098,-0.127,-0.252,0.986
1668323639150,2022-11-13T09.13.59.150,3.137,-0.127,-0.252,0.985
1668323639192,2022-11-13T09.13.59.192,3.179,-0.126,-0.252,0.985
1668323639231,2022-11-13T09.13.59.231,3.218,-0.126,-0.252,0.986
1668323639271,2022-11-13T09.13.59.271,3.258,-0.126,-0.251,0.986
1668323639312,2022-11-13T09.13.59.312,3.299,-0.126,-0.252,0.985
1668323639351,2022-11-13T09.13.59.351,3.338,-0.127,-0.251,0.985
1668323639392,2022-11-13T09.13.59.392,3.379,-0.126,-0.253,0.986
1668323639432,2022-11-13T09.13.59.432,3.419,-0.126,-0.252,0.987
1668323639473,2022-11-13T09.13.59.473,3.460,-0.126,-0.253,0.987
1668323639512,2022-11-13T09.13.59.512,3.499,-0.127,-0.251,0.985
1668323639553,2022-11-13T09.13.59.553,3.540,-0.127,-0.250,0.986
1668323639593,2022-11-13T09.13.59.593,3.580,-0.125,-0.250,0.986
1668323639634,2022-11-13T09.13.59.634,3.621,-0.125,-0.249,0.988
1668323639673,2022-11-13T09.13.59.673,3.660,-0.126,-0.250,0.986
1668323639714,2022-11-13T09.13.59.714,3.701,-0.127,-0.250,0.987
1668323639754,2022-11-13T09.13.59.754,3.741,-0.127,-0.250,0.988
1668323639794,2022-11-13T09.13.59.794,3.781,-0.126,-0.250,0.986
1668323639835,2022-11-13T09.13.59.835,3.822,-0.127,-0.250,0.986
1668323639874,2022-11-13T09.13.59.874,3.861,-0.126,-0.250,0.986
1668323639915,2022-11-13T09.13.59.915,3.902,-0.127,-0.250,0.986
1668323639955,2022-11-13T09.13.59.955,3.942,-0.127,-0.250,0.986
1668323639996,2022-11-13T09.13.59.996,3.983,-0.125,-0.249,0.986
1668323640035,2022-11-13T09.14.00.035,4.022,-0.129,-0.251,0.986
1668323640076,2022-11-13T09.14.00.076,4.063,-0.131,-0.252,0.985
1668323640116,2022-11-13T09.14.00.116,4.103,-0.129,-0.250,0.985
1668323640157,2022-11-13T09.14.00.157,4.144,-0.128,-0.248,0.987
1668323640196,2022-11-13T09.14.00.196,4.183,-0.125,-0.249,0.988
1668323640237,2022-11-13T09.14.00.237,4.224,-0.127,-0.253,0.986
1668323640277,2022-11-13T09.14.00.277,4.264,-0.127,-0.250,0.985
1668323640317,2022-11-13T09.14.00.317,4.304,-0.125,-0.245,0.986
1668323640358,2022-11-13T09.14.00.358,4.345,-0.129,-0.250,0.987
1668323640397,2022-11-13T09.14.00.397,4.384,-0.126,-0.250,0.986
1668323640438,2022-11-13T09.14.00.438,4.425,-0.125,-0.252,0.986
1668323640478,2022-11-13T09.14.00.478,4.465,-0.128,-0.254,0.986
1668323640519,2022-11-13T09.14.00.519,4.506,-0.126,-0.251,0.987
1668323640558,2022-11-13T09.14.00.558,4.545,-0.126,-0.252,0.987
1668323640599,2022-11-13T09.14.00.599,4.586,-0.129,-0.254,0.985
1668323640639,2022-11-13T09.14.00.639,4.626,-0.128,-0.249,0.985
1668323640680,2022-11-13T09.14.00.680,4.667,-0.126,-0.250,0.986
1668323640719,2022-11-13T09.14.00.719,4.706,-0.125,-0.250,0.986
1668323640760,2022-11-13T09.14.00.760,4.747,-0.128,-0.250,0.986
1668323640800,2022-11-13T09.14.00.800,4.787,-0.129,-0.252,0.985
1668323640839,2022-11-13T09.14.00.839,4.826,-0.127,-0.252,0.987
1668323640880,2022-11-13T09.14.00.880,4.867,-0.128,-0.251,0.987
