epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668458704636,2022-11-14T22.45.04.636,0.000,-34.238,-45.610,-6.006
1668458704675,2022-11-14T22.45.04.675,0.039,-34.177,-48.445,-4.299
1668458704715,2022-11-14T22.45.04.715,0.079,-18.384,-56.189,3.841
1668458704754,2022-11-14T22.45.04.754,0.118,4.543,-42.988,9.665
1668458704794,2022-11-14T22.45.04.794,0.158,2.073,-23.384,15.152
1668458704833,2022-11-14T22.45.04.833,0.197,2.713,-12.988,16.372
1668458704873,2022-11-14T22.45.04.873,0.237,-6.707,-14.299,5.854
1668458704912,2022-11-14T22.45.04.912,0.276,-22.896,-20.915,-10.488
1668458704952,2022-11-14T22.45.04.952,0.316,-34.421,-19.939,-15.701
1668458704991,2022-11-14T22.45.04.991,0.355,-36.585,-1.524,-8.780
1668458705031,2022-11-14T22.45.05.031,0.395,-18.354,7.043,-9.055
1668458705072,2022-11-14T22.45.05.072,0.436,1.646,2.226,-2.652
1668458705112,2022-11-14T22.45.05.112,0.476,4.848,-9.543,6.921
1668458705151,2022-11-14T22.45.05.151,0.515,6.829,-11.433,4.116
1668458705191,2022-11-14T22.45.05.191,0.555,4.543,-6.524,0.518
1668458705230,2022-11-14T22.45.05.230,0.594,0.030,-3.811,0.945
1668458705270,2022-11-14T22.45.05.270,0.634,-1.280,-1.250,1.128
1668458705309,2022-11-14T22.45.05.309,0.673,-3.598,-1.372,0.122
1668458705349,2022-11-14T22.45.05.349,0.713,-1.555,-1.616,0.122
1668458705388,2022-11-14T22.45.05.388,0.752,-0.457,-1.860,0.213
1668458705428,2022-11-14T22.45.05.428,0.792,-0.549,-2.470,-0.549
1668458705468,2022-11-14T22.45.05.468,0.832,-4.238,-4.146,-2.957
1668458705507,2022-11-14T22.45.05.507,0.871,-3.872,-4.482,-5.701
1668458705547,2022-11-14T22.45.05.547,0.911,0.701,-0.366,-4.360
1668458705586,2022-11-14T22.45.05.586,0.950,-4.329,0.061,-1.006
1668458705626,2022-11-14T22.45.05.626,0.990,-4.390,-1.402,-0.274
1668458705665,2022-11-14T22.45.05.665,1.029,2.622,-0.671,0.671
1668458705705,2022-11-14T22.45.05.705,1.069,0.000,-1.006,2.073
1668458705744,2022-11-14T22.45.05.744,1.108,-0.518,-1.524,1.677
1668458705784,2022-11-14T22.45.05.784,1.148,-0.549,-1.707,1.250
1668458705824,2022-11-14T22.45.05.824,1.188,-0.915,-1.585,-0.030
1668458705863,2022-11-14T22.45.05.863,1.227,0.427,-1.646,-1.585
1668458705904,2022-11-14T22.45.05.904,1.268,-0.396,-1.311,-0.457
1668458705944,2022-11-14T22.45.05.944,1.308,-2.043,-1.677,0.854
1668458705983,2022-11-14T22.45.05.983,1.347,-1.037,-1.402,0.122
1668458706023,2022-11-14T22.45.06.023,1.387,-0.762,-0.549,0.030
1668458706062,2022-11-14T22.45.06.062,1.426,-1.220,-0.945,-0.518
1668458706102,2022-11-14T22.45.06.102,1.466,-2.073,-1.280,-0.488
1668458706141,2022-11-14T22.45.06.141,1.505,-3.841,-2.530,0.305
1668458706181,2022-11-14T22.45.06.181,1.545,-2.652,-2.561,0.457
1668458706220,2022-11-14T22.45.06.220,1.584,-7.226,-4.207,1.006
1668458706260,2022-11-14T22.45.06.260,1.624,-6.006,-1.616,0.335
1668458706300,2022-11-14T22.45.06.300,1.664,-1.585,-0.823,0.061
1668458706339,2022-11-14T22.45.06.339,1.703,-2.774,0.671,1.006
1668458706379,2022-11-14T22.45.06.379,1.743,-2.744,9.390,4.756
1668458706418,2022-11-14T22.45.06.418,1.782,-11.524,9.024,3.902
1668458706458,2022-11-14T22.45.06.458,1.822,-18.659,-1.341,2.591
1668458706497,2022-11-14T22.45.06.497,1.861,-29.726,-3.902,6.646
1668458706537,2022-11-14T22.45.06.537,1.901,-32.134,15.610,11.250
1668458706576,2022-11-14T22.45.06.576,1.940,-5.030,22.470,3.628
1668458706616,2022-11-14T22.45.06.616,1.980,16.494,19.817,3.963
1668458706656,2022-11-14T22.45.06.656,2.020,14.909,14.909,7.561
1668458706695,2022-11-14T22.45.06.695,2.059,5.061,17.866,6.250
1668458706736,2022-11-14T22.45.06.736,2.100,2.165,15.976,0.030
