epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667722430166,2022-11-06T10.13.50.166,0.000,-0.793,1.494,-0.762
1667722430207,2022-11-06T10.13.50.207,0.041,0.244,1.524,-0.732
1667722430248,2022-11-06T10.13.50.248,0.082,6.372,1.646,-0.915
1667722430287,2022-11-06T10.13.50.287,0.121,7.927,2.561,0.366
1667722430328,2022-11-06T10.13.50.328,0.162,3.537,3.018,1.402
1667722430369,2022-11-06T10.13.50.369,0.203,9.756,1.372,0.396
1667722430411,2022-11-06T10.13.50.411,0.245,1.616,0.549,-0.183
1667722430450,2022-11-06T10.13.50.450,0.284,-2.317,0.457,-0.671
1667722430491,2022-11-06T10.13.50.491,0.325,0.152,0.030,0.945
1667722430532,2022-11-06T10.13.50.532,0.366,2.500,-0.305,2.226
1667722430573,2022-11-06T10.13.50.573,0.407,-0.457,-0.732,0.640
1667722430613,2022-11-06T10.13.50.613,0.447,-2.470,0.396,-0.427
1667722430654,2022-11-06T10.13.50.654,0.488,-4.604,0.366,0.244
1667722430695,2022-11-06T10.13.50.695,0.529,-1.768,0.305,0.457
1667722430736,2022-11-06T10.13.50.736,0.570,-0.793,0.335,-0.030
1667722430775,2022-11-06T10.13.50.775,0.609,0.213,0.823,0.091
1667722430816,2022-11-06T10.13.50.816,0.650,1.890,0.793,-0.213
1667722430857,2022-11-06T10.13.50.857,0.691,1.463,1.829,-0.366
1667722430897,2022-11-06T10.13.50.897,0.731,5.488,2.500,1.220
1667722430938,2022-11-06T10.13.50.938,0.772,15.884,1.402,2.561
1667722430979,2022-11-06T10.13.50.979,0.813,11.220,-0.762,1.250
1667722431020,2022-11-06T10.13.51.020,0.854,0.976,-1.098,0.457
1667722431059,2022-11-06T10.13.51.059,0.893,2.287,0.183,0.061
1667722431100,2022-11-06T10.13.51.100,0.934,-2.195,-0.976,0.152
1667722431141,2022-11-06T10.13.51.141,0.975,-1.707,0.610,0.732
1667722431182,2022-11-06T10.13.51.182,1.016,-1.037,0.640,0.152
1667722431222,2022-11-06T10.13.51.222,1.056,-3.171,0.701,-0.671
1667722431263,2022-11-06T10.13.51.263,1.097,-0.671,0.427,0.671
1667722431304,2022-11-06T10.13.51.304,1.138,1.128,0.457,0.884
1667722431345,2022-11-06T10.13.51.345,1.179,-1.220,0.366,-0.152
1667722431385,2022-11-06T10.13.51.385,1.219,-4.634,0.366,-0.091
1667722431426,2022-11-06T10.13.51.426,1.260,1.128,-0.030,0.549
1667722431467,2022-11-06T10.13.51.467,1.301,1.463,0.701,-0.579
1667722431506,2022-11-06T10.13.51.506,1.340,8.750,1.463,-0.213
1667722431547,2022-11-06T10.13.51.547,1.381,7.195,1.677,0.305
1667722431588,2022-11-06T10.13.51.588,1.422,3.933,0.762,0.061
1667722431629,2022-11-06T10.13.51.629,1.463,1.006,0.671,-0.762
1667722431669,2022-11-06T10.13.51.669,1.503,-6.341,-0.335,0.030
1667722431710,2022-11-06T10.13.51.710,1.544,-3.506,0.305,-0.244
1667722431751,2022-11-06T10.13.51.751,1.585,-2.073,0.518,-0.579
1667722431792,2022-11-06T10.13.51.792,1.626,-4.024,2.012,-1.280
1667722431831,2022-11-06T10.13.51.831,1.665,-0.488,5.091,-4.116
1667722431872,2022-11-06T10.13.51.872,1.706,-4.756,1.006,-2.622
1667722431913,2022-11-06T10.13.51.913,1.747,-0.030,-0.793,1.433
1667722431954,2022-11-06T10.13.51.954,1.788,2.530,-0.518,1.372
1667722431994,2022-11-06T10.13.51.994,1.828,-3.201,-0.701,0.427
1667722432035,2022-11-06T10.13.52.035,1.869,-1.250,-0.945,1.189
1667722432076,2022-11-06T10.13.52.076,1.910,0.701,0.518,0.701
1667722432116,2022-11-06T10.13.52.116,1.950,-2.530,0.579,-0.976
1667722432157,2022-11-06T10.13.52.157,1.991,-2.927,0.793,-0.793
1667722432198,2022-11-06T10.13.52.198,2.032,-0.244,1.189,0.152
1667722432239,2022-11-06T10.13.52.239,2.073,-0.274,0.732,-0.183
1667722432278,2022-11-06T10.13.52.278,2.112,-1.555,0.000,-0.366
1667722432319,2022-11-06T10.13.52.319,2.153,-2.012,0.671,-0.091
1667722432360,2022-11-06T10.13.52.360,2.194,-0.244,-0.030,0.274
1667722432401,2022-11-06T10.13.52.401,2.235,-1.250,-0.640,0.274
1667722432441,2022-11-06T10.13.52.441,2.275,-3.567,0.549,-0.427
1667722432482,2022-11-06T10.13.52.482,2.316,-2.652,0.732,-0.183
1667722432523,2022-11-06T10.13.52.523,2.357,0.244,-0.061,0.518
1667722432564,2022-11-06T10.13.52.564,2.398,-1.982,0.244,-0.549
1667722432603,2022-11-06T10.13.52.603,2.437,-3.963,0.488,0.030
1667722432644,2022-11-06T10.13.52.644,2.478,-2.774,-0.213,0.427
1667722432685,2022-11-06T10.13.52.685,2.519,-2.226,0.305,-0.671
1667722432725,2022-11-06T10.13.52.725,2.559,1.951,0.152,0.305
1667722432766,2022-11-06T10.13.52.766,2.600,-1.799,0.671,0.030
1667722432807,2022-11-06T10.13.52.807,2.641,-0.610,0.091,0.122
1667722432848,2022-11-06T10.13.52.848,2.682,-0.030,0.183,-0.061
1667722432888,2022-11-06T10.13.52.888,2.722,-0.671,0.244,0.274
1667722432929,2022-11-06T10.13.52.929,2.763,-0.915,0.518,-0.213
1667722432970,2022-11-06T10.13.52.970,2.804,-0.976,0.274,0.091
1667722433011,2022-11-06T10.13.53.011,2.845,-1.982,0.183,0.457
1667722433050,2022-11-06T10.13.53.050,2.884,-0.030,0.732,-0.274
1667722433091,2022-11-06T10.13.53.091,2.925,-2.256,0.549,-0.427
1667722433132,2022-11-06T10.13.53.132,2.966,0.884,0.671,0.244
1667722433173,2022-11-06T10.13.53.173,3.007,0.244,0.457,0.152
1667722433213,2022-11-06T10.13.53.213,3.047,-2.104,-0.091,-0.244
1667722433254,2022-11-06T10.13.53.254,3.088,-1.341,0.396,0.030
1667722433295,2022-11-06T10.13.53.295,3.129,-2.470,0.549,0.000
1667722433334,2022-11-06T10.13.53.334,3.168,-0.884,0.488,-0.183
1667722433375,2022-11-06T10.13.53.375,3.209,-0.671,0.305,0.000
1667722433416,2022-11-06T10.13.53.416,3.250,-1.098,0.244,0.244
1667722433457,2022-11-06T10.13.53.457,3.291,1.372,0.213,0.274
1667722433497,2022-11-06T10.13.53.497,3.331,-2.012,0.488,0.335
1667722433538,2022-11-06T10.13.53.538,3.372,1.250,0.335,0.152
1667722433579,2022-11-06T10.13.53.579,3.413,-3.262,0.671,-0.152
1667722433620,2022-11-06T10.13.53.620,3.454,0.427,0.091,0.183
1667722433660,2022-11-06T10.13.53.660,3.494,-1.860,0.518,-0.122
1667722433701,2022-11-06T10.13.53.701,3.535,0.122,0.427,0.274
1667722433742,2022-11-06T10.13.53.742,3.576,0.213,0.305,0.091
1667722433783,2022-11-06T10.13.53.783,3.617,-1.494,0.274,-0.244
1667722433822,2022-11-06T10.13.53.822,3.656,-2.256,0.213,-0.183
1667722433863,2022-11-06T10.13.53.863,3.697,-0.640,-0.152,0.335
1667722433904,2022-11-06T10.13.53.904,3.738,-4.360,-0.244,0.000
1667722433944,2022-11-06T10.13.53.944,3.778,-2.652,-0.427,0.884
1667722433985,2022-11-06T10.13.53.985,3.819,-7.287,-1.341,1.128
1667722434026,2022-11-06T10.13.54.026,3.860,-7.287,-0.671,0.030
1667722434067,2022-11-06T10.13.54.067,3.901,-3.293,-0.061,0.122
1667722434106,2022-11-06T10.13.54.106,3.940,1.189,0.030,0.579
1667722434147,2022-11-06T10.13.54.147,3.981,0.549,0.457,0.427
1667722434188,2022-11-06T10.13.54.188,4.022,-1.524,-0.122,0.274
1667722434229,2022-11-06T10.13.54.229,4.063,-0.366,-0.091,0.518
1667722434269,2022-11-06T10.13.54.269,4.103,3.780,0.274,-0.030
1667722434310,2022-11-06T10.13.54.310,4.144,-2.378,0.701,-0.640
1667722434351,2022-11-06T10.13.54.351,4.185,-0.122,0.457,0.091
1667722434392,2022-11-06T10.13.54.392,4.226,-0.762,0.701,-0.579
1667722434432,2022-11-06T10.13.54.432,4.266,1.220,0.579,-0.396
1667722434473,2022-11-06T10.13.54.473,4.307,-1.250,0.549,0.152
1667722434514,2022-11-06T10.13.54.514,4.348,-4.543,-0.671,0.030
1667722434553,2022-11-06T10.13.54.553,4.387,-6.159,-3.232,0.305
1667722434594,2022-11-06T10.13.54.594,4.428,1.006,-3.689,-0.335
1667722434635,2022-11-06T10.13.54.635,4.469,-5.762,-2.622,-5.335
1667722434676,2022-11-06T10.13.54.676,4.510,3.079,-7.744,-3.902
1667722434716,2022-11-06T10.13.54.716,4.550,-23.476,-9.573,1.738
1667722434757,2022-11-06T10.13.54.757,4.591,9.634,-5.122,-0.152
1667722434798,2022-11-06T10.13.54.798,4.632,-23.140,9.909,-1.159
1667722434839,2022-11-06T10.13.54.839,4.673,-9.146,18.201,-3.720
1667722434878,2022-11-06T10.13.54.878,4.712,16.250,24.329,-6.921
1667722434919,2022-11-06T10.13.54.919,4.753,1.402,46.555,-6.768
1667722434960,2022-11-06T10.13.54.960,4.794,-3.598,40.823,8.963
1667722435001,2022-11-06T10.13.55.001,4.835,0.183,0.732,11.921
1667722435041,2022-11-06T10.13.55.041,4.875,-4.024,-12.317,-1.616
1667722435082,2022-11-06T10.13.55.082,4.916,-16.067,9.116,-11.037
1667722435123,2022-11-06T10.13.55.123,4.957,-6.433,4.756,-1.098
1667722435164,2022-11-06T10.13.55.164,4.998,-6.372,-15.793,4.451
1667722435203,2022-11-06T10.13.55.203,5.037,-6.067,-14.848,11.982
1667722435244,2022-11-06T10.13.55.244,5.078,9.848,-6.311,20.579
1667722435286,2022-11-06T10.13.55.286,5.120,19.451,-6.189,33.902
1667722435325,2022-11-06T10.13.55.325,5.159,5.793,-16.128,51.067
