epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667722430248,2022-11-06T10.13.50.248,0.000,0.538,-0.099,-0.855
1667722430287,2022-11-06T10.13.50.287,0.039,0.545,-0.096,-0.864
1667722430328,2022-11-06T10.13.50.328,0.080,0.546,-0.107,-0.859
1667722430369,2022-11-06T10.13.50.369,0.121,0.544,-0.129,-0.856
1667722430411,2022-11-06T10.13.50.411,0.163,0.546,-0.118,-0.857
1667722430450,2022-11-06T10.13.50.450,0.202,0.544,-0.109,-0.859
1667722430491,2022-11-06T10.13.50.491,0.243,0.544,-0.109,-0.855
1667722430532,2022-11-06T10.13.50.532,0.284,0.545,-0.124,-0.856
1667722430573,2022-11-06T10.13.50.573,0.325,0.544,-0.125,-0.859
1667722430613,2022-11-06T10.13.50.613,0.365,0.542,-0.116,-0.857
1667722430654,2022-11-06T10.13.50.654,0.406,0.539,-0.111,-0.859
1667722430695,2022-11-06T10.13.50.695,0.447,0.545,-0.114,-0.858
1667722430734,2022-11-06T10.13.50.734,0.486,0.543,-0.116,-0.857
1667722430775,2022-11-06T10.13.50.775,0.527,0.543,-0.115,-0.859
1667722430816,2022-11-06T10.13.50.816,0.568,0.542,-0.118,-0.858
1667722430857,2022-11-06T10.13.50.857,0.609,0.541,-0.113,-0.855
1667722430897,2022-11-06T10.13.50.897,0.649,0.546,-0.112,-0.857
1667722430938,2022-11-06T10.13.50.938,0.690,0.552,-0.138,-0.857
1667722430979,2022-11-06T10.13.50.979,0.731,0.543,-0.153,-0.852
1667722431020,2022-11-06T10.13.51.020,0.772,0.544,-0.140,-0.861
1667722431059,2022-11-06T10.13.51.059,0.811,0.535,-0.138,-0.850
1667722431100,2022-11-06T10.13.51.100,0.852,0.549,-0.143,-0.862
1667722431141,2022-11-06T10.13.51.141,0.893,0.538,-0.149,-0.852
1667722431182,2022-11-06T10.13.51.182,0.934,0.541,-0.143,-0.860
1667722431222,2022-11-06T10.13.51.222,0.974,0.543,-0.134,-0.850
