epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668423462115,2022-11-14T12.57.42.115,0.000,-0.194,-0.285,0.962
1668423462156,2022-11-14T12.57.42.156,0.041,-0.198,-0.289,0.971
1668423462196,2022-11-14T12.57.42.196,0.081,-0.193,-0.298,0.969
1668423462237,2022-11-14T12.57.42.237,0.122,-0.194,-0.294,0.968
1668423462276,2022-11-14T12.57.42.276,0.161,-0.195,-0.288,0.969
1668423462317,2022-11-14T12.57.42.317,0.202,-0.198,-0.293,0.967
1668423462357,2022-11-14T12.57.42.357,0.242,-0.198,-0.293,0.966
1668423462397,2022-11-14T12.57.42.397,0.282,-0.198,-0.291,0.966
1668423462438,2022-11-14T12.57.42.438,0.323,-0.200,-0.287,0.967
1668423462477,2022-11-14T12.57.42.477,0.362,-0.198,-0.291,0.968
1668423462518,2022-11-14T12.57.42.518,0.403,-0.198,-0.291,0.969
1668423462558,2022-11-14T12.57.42.558,0.443,-0.196,-0.290,0.969
1668423462599,2022-11-14T12.57.42.599,0.484,-0.197,-0.291,0.966
1668423462638,2022-11-14T12.57.42.638,0.523,-0.197,-0.292,0.968
1668423462679,2022-11-14T12.57.42.679,0.564,-0.197,-0.291,0.968
1668423462719,2022-11-14T12.57.42.719,0.604,-0.197,-0.290,0.967
1668423462760,2022-11-14T12.57.42.760,0.645,-0.199,-0.292,0.967
1668423462799,2022-11-14T12.57.42.799,0.684,-0.198,-0.292,0.969
1668423462840,2022-11-14T12.57.42.840,0.725,-0.198,-0.290,0.968
1668423462880,2022-11-14T12.57.42.880,0.765,-0.198,-0.294,0.966
1668423462921,2022-11-14T12.57.42.921,0.806,-0.198,-0.292,0.966
1668423462961,2022-11-14T12.57.42.961,0.846,-0.198,-0.291,0.968
1668423463000,2022-11-14T12.57.43.000,0.885,-0.198,-0.292,0.968
1668423463041,2022-11-14T12.57.43.041,0.926,-0.200,-0.291,0.967
1668423463081,2022-11-14T12.57.43.081,0.966,-0.199,-0.293,0.966
1668423463122,2022-11-14T12.57.43.122,1.007,-0.199,-0.293,0.968
1668423463161,2022-11-14T12.57.43.161,1.046,-0.199,-0.294,0.968
1668423463202,2022-11-14T12.57.43.202,1.087,-0.199,-0.292,0.968
1668423463242,2022-11-14T12.57.43.242,1.127,-0.199,-0.295,0.967
1668423463283,2022-11-14T12.57.43.283,1.168,-0.199,-0.292,0.967
1668423463322,2022-11-14T12.57.43.322,1.207,-0.200,-0.294,0.966
1668423463363,2022-11-14T12.57.43.363,1.248,-0.198,-0.291,0.970
1668423463403,2022-11-14T12.57.43.403,1.288,-0.199,-0.297,0.967
1668423463444,2022-11-14T12.57.43.444,1.329,-0.201,-0.294,0.967
1668423463483,2022-11-14T12.57.43.483,1.368,-0.201,-0.293,0.964
1668423463524,2022-11-14T12.57.43.524,1.409,-0.203,-0.287,0.966
1668423463564,2022-11-14T12.57.43.564,1.449,-0.201,-0.289,0.970
1668423463604,2022-11-14T12.57.43.604,1.489,-0.199,-0.292,0.969
1668423463645,2022-11-14T12.57.43.645,1.530,-0.202,-0.293,0.966
1668423463684,2022-11-14T12.57.43.684,1.569,-0.202,-0.287,0.967
1668423463725,2022-11-14T12.57.43.725,1.610,-0.199,-0.298,0.965
1668423463765,2022-11-14T12.57.43.765,1.650,-0.201,-0.283,0.969
1668423463806,2022-11-14T12.57.43.806,1.691,-0.200,-0.283,0.968
1668423463845,2022-11-14T12.57.43.845,1.730,-0.201,-0.296,0.967
1668423463886,2022-11-14T12.57.43.886,1.771,-0.200,-0.288,0.969
1668423463926,2022-11-14T12.57.43.926,1.811,-0.200,-0.288,0.969
1668423463967,2022-11-14T12.57.43.967,1.852,-0.202,-0.293,0.967
1668423464006,2022-11-14T12.57.44.006,1.891,-0.200,-0.287,0.968
1668423464047,2022-11-14T12.57.44.047,1.932,-0.199,-0.291,0.967
1668423464087,2022-11-14T12.57.44.087,1.972,-0.200,-0.290,0.969
1668423464128,2022-11-14T12.57.44.128,2.013,-0.200,-0.293,0.967
1668423464168,2022-11-14T12.57.44.168,2.053,-0.200,-0.290,0.967
1668423464207,2022-11-14T12.57.44.207,2.092,-0.201,-0.294,0.967
1668423464248,2022-11-14T12.57.44.248,2.133,-0.201,-0.291,0.968
1668423464288,2022-11-14T12.57.44.288,2.173,-0.201,-0.295,0.966
1668423464329,2022-11-14T12.57.44.329,2.214,-0.200,-0.291,0.968
1668423464368,2022-11-14T12.57.44.368,2.253,-0.199,-0.293,0.967
1668423464409,2022-11-14T12.57.44.409,2.294,-0.201,-0.292,0.967
1668423464449,2022-11-14T12.57.44.449,2.334,-0.200,-0.297,0.965
1668423464490,2022-11-14T12.57.44.490,2.375,-0.200,-0.292,0.968
1668423464529,2022-11-14T12.57.44.529,2.414,-0.200,-0.292,0.969
1668423464570,2022-11-14T12.57.44.570,2.455,-0.199,-0.289,0.970
1668423464610,2022-11-14T12.57.44.610,2.495,-0.198,-0.294,0.969
1668423464651,2022-11-14T12.57.44.651,2.536,-0.200,-0.293,0.965
1668423464690,2022-11-14T12.57.44.690,2.575,-0.200,-0.296,0.966
1668423464732,2022-11-14T12.57.44.732,2.617,-0.199,-0.294,0.969
1668423464771,2022-11-14T12.57.44.771,2.656,-0.200,-0.290,0.969
1668423464811,2022-11-14T12.57.44.811,2.696,-0.198,-0.295,0.967
1668423464852,2022-11-14T12.57.44.852,2.737,-0.198,-0.292,0.967
1668423464891,2022-11-14T12.57.44.891,2.776,-0.199,-0.293,0.967
1668423464932,2022-11-14T12.57.44.932,2.817,-0.198,-0.292,0.970
