epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667144663289,2022-10-30T17.44.23.289,0.000,0.073,-0.366,-0.944
1667144663329,2022-10-30T17.44.23.329,0.040,0.083,-0.384,-0.939
1667144663368,2022-10-30T17.44.23.368,0.079,0.074,-0.385,-0.939
1667144663409,2022-10-30T17.44.23.409,0.120,0.073,-0.368,-0.948
1667144663449,2022-10-30T17.44.23.449,0.160,0.085,-0.376,-0.939
1667144663488,2022-10-30T17.44.23.488,0.199,0.078,-0.381,-0.940
1667144663528,2022-10-30T17.44.23.528,0.239,0.069,-0.373,-0.948
1667144663568,2022-10-30T17.44.23.568,0.279,0.080,-0.375,-0.941
1667144663607,2022-10-30T17.44.23.607,0.318,0.077,-0.378,-0.938
1667144663647,2022-10-30T17.44.23.647,0.358,0.071,-0.380,-0.946
1667144663686,2022-10-30T17.44.23.686,0.397,0.072,-0.383,-0.940
1667144663726,2022-10-30T17.44.23.726,0.437,0.071,-0.383,-0.938
1667144663765,2022-10-30T17.44.23.765,0.476,0.074,-0.375,-0.944
1667144663805,2022-10-30T17.44.23.805,0.516,0.075,-0.374,-0.941
1667144663844,2022-10-30T17.44.23.844,0.555,0.073,-0.380,-0.941
1667144663884,2022-10-30T17.44.23.884,0.595,0.070,-0.380,-0.946
1667144663923,2022-10-30T17.44.23.923,0.634,0.071,-0.377,-0.942
1667144663963,2022-10-30T17.44.23.963,0.674,0.075,-0.378,-0.938
1667144664003,2022-10-30T17.44.24.003,0.714,0.070,-0.377,-0.943
1667144664042,2022-10-30T17.44.24.042,0.753,0.068,-0.372,-0.944
1667144664082,2022-10-30T17.44.24.082,0.793,0.075,-0.371,-0.945
1667144664121,2022-10-30T17.44.24.121,0.832,0.074,-0.376,-0.940
1667144664161,2022-10-30T17.44.24.161,0.872,0.086,-0.376,-0.949
1667144664200,2022-10-30T17.44.24.200,0.911,0.073,-0.380,-0.939
1667144664240,2022-10-30T17.44.24.240,0.951,0.081,-0.380,-0.939
1667144664281,2022-10-30T17.44.24.281,0.992,0.110,-0.373,-0.950
1667144664320,2022-10-30T17.44.24.320,1.031,0.122,-0.369,-0.936
1667144664360,2022-10-30T17.44.24.360,1.071,0.120,-0.359,-0.938
1667144664400,2022-10-30T17.44.24.400,1.111,0.083,-0.343,-0.944
1667144664439,2022-10-30T17.44.24.439,1.150,0.087,-0.410,-0.932
1667144664479,2022-10-30T17.44.24.479,1.190,0.102,-0.477,-0.892
1667144664518,2022-10-30T17.44.24.518,1.229,0.090,-0.494,-0.878
1667144664558,2022-10-30T17.44.24.558,1.269,0.124,-0.492,-0.898
1667144664597,2022-10-30T17.44.24.597,1.308,0.171,-0.439,-0.908
1667144664637,2022-10-30T17.44.24.637,1.348,0.155,-0.401,-0.915
1667144664676,2022-10-30T17.44.24.676,1.387,0.126,-0.423,-0.923
1667144664716,2022-10-30T17.44.24.716,1.427,0.148,-0.439,-0.906
1667144664756,2022-10-30T17.44.24.756,1.467,0.190,-0.411,-0.902
1667144664795,2022-10-30T17.44.24.795,1.506,0.176,-0.393,-0.911
1667144664835,2022-10-30T17.44.24.835,1.546,0.153,-0.401,-0.922
1667144664874,2022-10-30T17.44.24.874,1.585,0.134,-0.411,-0.916
1667144664914,2022-10-30T17.44.24.914,1.625,0.139,-0.422,-0.912
1667144664953,2022-10-30T17.44.24.953,1.664,0.132,-0.415,-0.921
1667144664993,2022-10-30T17.44.24.993,1.704,0.133,-0.402,-0.928
1667144665032,2022-10-30T17.44.25.032,1.743,0.135,-0.396,-0.922
1667144665072,2022-10-30T17.44.25.072,1.783,0.128,-0.403,-0.922
1667144665111,2022-10-30T17.44.25.111,1.822,0.135,-0.404,-0.924
1667144665152,2022-10-30T17.44.25.152,1.863,0.135,-0.399,-0.922
1667144665192,2022-10-30T17.44.25.192,1.903,0.138,-0.399,-0.918
1667144665232,2022-10-30T17.44.25.232,1.943,0.135,-0.395,-0.921
1667144665271,2022-10-30T17.44.25.271,1.982,0.118,-0.412,-0.926
1667144665311,2022-10-30T17.44.25.311,2.022,0.124,-0.428,-0.925
1667144665350,2022-10-30T17.44.25.350,2.061,0.141,-0.400,-0.917
1667144665390,2022-10-30T17.44.25.390,2.101,0.135,-0.397,-0.923
1667144665429,2022-10-30T17.44.25.429,2.140,0.129,-0.414,-0.924
1667144665469,2022-10-30T17.44.25.469,2.180,0.124,-0.397,-0.923
1667144665508,2022-10-30T17.44.25.508,2.219,0.113,-0.371,-0.936
1667144665548,2022-10-30T17.44.25.548,2.259,0.122,-0.397,-0.936
1667144665588,2022-10-30T17.44.25.588,2.299,0.159,-0.437,-0.901
1667144665627,2022-10-30T17.44.25.627,2.338,0.172,-0.461,-0.877
1667144665667,2022-10-30T17.44.25.667,2.378,0.164,-0.474,-0.885
1667144665706,2022-10-30T17.44.25.706,2.417,0.131,-0.439,-0.904
1667144665746,2022-10-30T17.44.25.746,2.457,0.130,-0.422,-0.920
1667144665785,2022-10-30T17.44.25.785,2.496,0.128,-0.414,-0.918
1667144665825,2022-10-30T17.44.25.825,2.536,0.123,-0.400,-0.935
1667144665864,2022-10-30T17.44.25.864,2.575,0.120,-0.383,-0.941
1667144665904,2022-10-30T17.44.25.904,2.615,0.165,-0.449,-0.899
1667144665943,2022-10-30T17.44.25.943,2.654,0.195,-0.479,-0.865
1667144665983,2022-10-30T17.44.25.983,2.694,0.178,-0.459,-0.858
1667144666024,2022-10-30T17.44.26.024,2.735,0.130,-0.429,-0.928
1667144666064,2022-10-30T17.44.26.064,2.775,0.129,-0.393,-0.952
1667144666103,2022-10-30T17.44.26.103,2.814,0.140,-0.398,-0.895
1667144666143,2022-10-30T17.44.26.143,2.854,0.152,-0.422,-0.917
1667144666182,2022-10-30T17.44.26.182,2.893,0.141,-0.418,-0.917
