epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667832005003,2022-11-07T16.40.05.003,0.000,0.366,0.152,-0.244
1667832005042,2022-11-07T16.40.05.042,0.039,0.335,-0.518,-0.396
1667832005083,2022-11-07T16.40.05.083,0.080,0.030,0.396,0.244
1667832005123,2022-11-07T16.40.05.123,0.120,0.305,0.579,-0.061
1667832005164,2022-11-07T16.40.05.164,0.161,0.274,0.549,-0.091
1667832005203,2022-11-07T16.40.05.203,0.200,0.061,0.244,0.000
1667832005245,2022-11-07T16.40.05.245,0.242,0.000,0.091,0.061
1667832005284,2022-11-07T16.40.05.284,0.281,0.000,0.335,0.030
1667832005324,2022-11-07T16.40.05.324,0.321,-0.030,0.274,-0.183
1667832005365,2022-11-07T16.40.05.365,0.362,-0.061,0.213,-0.122
1667832005404,2022-11-07T16.40.05.404,0.401,-0.152,0.274,0.091
1667832005445,2022-11-07T16.40.05.445,0.442,-0.061,0.091,0.244
1667832005485,2022-11-07T16.40.05.485,0.482,0.518,0.396,0.640
1667832005526,2022-11-07T16.40.05.526,0.523,0.884,0.762,0.610
1667832005565,2022-11-07T16.40.05.565,0.562,0.396,0.701,0.213
1667832005606,2022-11-07T16.40.05.606,0.603,-0.030,0.305,-0.122
1667832005646,2022-11-07T16.40.05.646,0.643,-0.366,-0.213,-0.518
1667832005687,2022-11-07T16.40.05.687,0.684,-0.915,-0.183,-0.213
1667832005726,2022-11-07T16.40.05.726,0.723,-1.128,-0.152,0.152
1667832005767,2022-11-07T16.40.05.767,0.764,-0.762,-0.091,0.335
1667832005807,2022-11-07T16.40.05.807,0.804,0.457,1.098,0.488
1667832005848,2022-11-07T16.40.05.848,0.845,0.945,0.610,-0.091
1667832005888,2022-11-07T16.40.05.888,0.885,0.945,0.396,-0.549
1667832005929,2022-11-07T16.40.05.929,0.926,-0.030,0.030,-0.427
1667832005968,2022-11-07T16.40.05.968,0.965,-0.488,-0.030,-0.061
1667832006008,2022-11-07T16.40.06.008,1.005,-0.976,0.091,0.549
1667832006049,2022-11-07T16.40.06.049,1.046,-0.457,-0.305,0.488
1667832006088,2022-11-07T16.40.06.088,1.085,0.183,-0.244,-0.122
1667832006129,2022-11-07T16.40.06.129,1.126,0.518,0.396,-0.213
1667832006169,2022-11-07T16.40.06.169,1.166,0.091,0.518,0.213
1667832006210,2022-11-07T16.40.06.210,1.207,-0.366,0.061,0.305
