epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668524059617,2022-11-15T16.54.19.617,0.000,-0.191,0.045,-0.991
1668524059656,2022-11-15T16.54.19.656,0.039,-0.193,0.047,-0.999
1668524059696,2022-11-15T16.54.19.696,0.079,-0.190,0.043,-0.999
1668524059735,2022-11-15T16.54.19.735,0.118,-0.193,0.050,-0.997
1668524059775,2022-11-15T16.54.19.775,0.158,-0.193,0.044,-0.997
1668524059814,2022-11-15T16.54.19.814,0.197,-0.194,0.047,-0.996
1668524059854,2022-11-15T16.54.19.854,0.237,-0.192,0.046,-0.998
1668524059893,2022-11-15T16.54.19.893,0.276,-0.193,0.047,-0.996
1668524059933,2022-11-15T16.54.19.933,0.316,-0.192,0.042,-0.999
1668524059973,2022-11-15T16.54.19.973,0.356,-0.193,0.048,-0.997
1668524060012,2022-11-15T16.54.20.012,0.395,-0.193,0.046,-0.997
1668524060052,2022-11-15T16.54.20.052,0.435,-0.194,0.047,-0.997
1668524060091,2022-11-15T16.54.20.091,0.474,-0.193,0.046,-0.996
1668524060132,2022-11-15T16.54.20.132,0.515,-0.193,0.046,-0.997
1668524060172,2022-11-15T16.54.20.172,0.555,-0.193,0.047,-0.997
1668524060211,2022-11-15T16.54.20.211,0.594,-0.192,0.045,-0.997
1668524060251,2022-11-15T16.54.20.251,0.634,-0.194,0.047,-0.996
1668524060290,2022-11-15T16.54.20.290,0.673,-0.193,0.045,-0.998
1668524060330,2022-11-15T16.54.20.330,0.713,-0.194,0.047,-0.997
1668524060370,2022-11-15T16.54.20.370,0.753,-0.192,0.045,-0.997
1668524060409,2022-11-15T16.54.20.409,0.792,-0.194,0.048,-0.996
1668524060449,2022-11-15T16.54.20.449,0.832,-0.193,0.047,-0.998
1668524060488,2022-11-15T16.54.20.488,0.871,-0.195,0.043,-0.996
1668524060528,2022-11-15T16.54.20.528,0.911,-0.192,0.048,-0.996
1668524060567,2022-11-15T16.54.20.567,0.950,-0.192,0.046,-0.996
1668524060607,2022-11-15T16.54.20.607,0.990,-0.192,0.043,-0.997
1668524060646,2022-11-15T16.54.20.646,1.029,-0.193,0.047,-0.997
1668524060686,2022-11-15T16.54.20.686,1.069,-0.193,0.046,-0.997
1668524060726,2022-11-15T16.54.20.726,1.109,-0.193,0.045,-0.995
1668524060765,2022-11-15T16.54.20.765,1.148,-0.191,0.047,-0.997
1668524060805,2022-11-15T16.54.20.805,1.188,-0.193,0.046,-0.996
1668524060844,2022-11-15T16.54.20.844,1.227,-0.192,0.042,-0.995
1668524060884,2022-11-15T16.54.20.884,1.267,-0.193,0.049,-0.996
