epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668254823978,2022-11-12T14.07.03.978,0.000,-0.122,0.274,-0.122
1668254824017,2022-11-12T14.07.04.017,0.039,-0.030,0.274,-0.366
1668254824058,2022-11-12T14.07.04.058,0.080,-0.335,0.183,0.030
1668254824098,2022-11-12T14.07.04.098,0.120,-0.549,0.030,0.091
1668254824138,2022-11-12T14.07.04.138,0.160,-0.061,0.030,0.091
1668254824179,2022-11-12T14.07.04.179,0.201,0.762,0.427,-0.030
1668254824218,2022-11-12T14.07.04.218,0.240,0.152,0.457,-0.213
1668254824259,2022-11-12T14.07.04.259,0.281,-0.823,0.122,-0.091
1668254824299,2022-11-12T14.07.04.299,0.321,-0.549,-0.549,0.274
1668254824340,2022-11-12T14.07.04.340,0.362,0.579,-0.579,0.366
1668254824379,2022-11-12T14.07.04.379,0.401,0.610,0.213,-0.030
1668254824420,2022-11-12T14.07.04.420,0.442,0.884,0.274,0.030
1668254824460,2022-11-12T14.07.04.460,0.482,0.366,0.122,0.061
1668254824501,2022-11-12T14.07.04.501,0.523,0.061,-0.091,0.244
1668254824540,2022-11-12T14.07.04.540,0.562,0.701,0.457,0.305
1668254824581,2022-11-12T14.07.04.581,0.603,1.372,0.671,0.183
1668254824621,2022-11-12T14.07.04.621,0.643,1.372,0.549,-0.030
1668254824662,2022-11-12T14.07.04.662,0.684,0.945,0.244,-0.091
1668254824701,2022-11-12T14.07.04.701,0.723,0.610,0.213,-0.183
1668254824741,2022-11-12T14.07.04.741,0.763,0.152,0.335,-0.305
1668254824782,2022-11-12T14.07.04.782,0.804,0.457,0.122,-0.061
1668254824822,2022-11-12T14.07.04.822,0.844,-0.366,0.335,-0.244
1668254824863,2022-11-12T14.07.04.863,0.885,-0.823,0.091,-0.335
1668254824902,2022-11-12T14.07.04.902,0.924,-0.457,-0.305,-0.091
1668254824943,2022-11-12T14.07.04.943,0.965,-0.244,0.000,0.244
1668254824983,2022-11-12T14.07.04.983,1.005,-0.061,0.213,0.518
1668254825024,2022-11-12T14.07.05.024,1.046,-0.091,0.488,0.488
1668254825063,2022-11-12T14.07.05.063,1.085,0.518,0.244,0.396
1668254825104,2022-11-12T14.07.05.104,1.126,0.884,0.030,0.213
1668254825144,2022-11-12T14.07.05.144,1.166,-0.061,0.396,0.183
1668254825185,2022-11-12T14.07.05.185,1.207,0.305,0.244,0.427
1668254825224,2022-11-12T14.07.05.224,1.246,0.640,-0.427,0.549
1668254825264,2022-11-12T14.07.05.264,1.286,1.372,-0.457,0.823
1668254825305,2022-11-12T14.07.05.305,1.327,1.220,-0.213,0.854
1668254825345,2022-11-12T14.07.05.345,1.367,0.091,-0.122,0.671
1668254825386,2022-11-12T14.07.05.386,1.408,0.396,-0.122,0.640
1668254825425,2022-11-12T14.07.05.425,1.447,0.884,-0.061,0.488
1668254825466,2022-11-12T14.07.05.466,1.488,0.091,-0.152,0.274
1668254825506,2022-11-12T14.07.05.506,1.528,-1.433,0.152,-0.183
