epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668283803217,2022-11-12T22.10.03.217,0.000,-0.264,-0.149,0.974
1668283803258,2022-11-12T22.10.03.258,0.041,-0.266,-0.146,0.981
1668283803297,2022-11-12T22.10.03.297,0.080,-0.266,-0.149,0.980
1668283803338,2022-11-12T22.10.03.338,0.121,-0.264,-0.156,0.980
1668283803378,2022-11-12T22.10.03.378,0.161,-0.265,-0.157,0.979
1668283803419,2022-11-12T22.10.03.419,0.202,-0.265,-0.152,0.980
1668283803459,2022-11-12T22.10.03.459,0.242,-0.264,-0.155,0.980
1668283803500,2022-11-12T22.10.03.500,0.283,-0.264,-0.156,0.980
1668283803539,2022-11-12T22.10.03.539,0.322,-0.266,-0.154,0.980
1668283803580,2022-11-12T22.10.03.580,0.363,-0.266,-0.156,0.980
1668283803620,2022-11-12T22.10.03.620,0.403,-0.265,-0.158,0.980
1668283803661,2022-11-12T22.10.03.661,0.444,-0.265,-0.153,0.980
1668283803700,2022-11-12T22.10.03.700,0.483,-0.263,-0.158,0.981
1668283803740,2022-11-12T22.10.03.740,0.523,-0.264,-0.159,0.980
1668283803781,2022-11-12T22.10.03.781,0.564,-0.265,-0.157,0.980
1668283803820,2022-11-12T22.10.03.820,0.603,-0.266,-0.155,0.979
1668283803861,2022-11-12T22.10.03.861,0.644,-0.264,-0.156,0.980
1668283803901,2022-11-12T22.10.03.901,0.684,-0.266,-0.158,0.981
1668283803942,2022-11-12T22.10.03.942,0.725,-0.266,-0.163,0.979
1668283803982,2022-11-12T22.10.03.982,0.765,-0.267,-0.155,0.981
1668283804023,2022-11-12T22.10.04.023,0.806,-0.265,-0.160,0.979
1668283804062,2022-11-12T22.10.04.062,0.845,-0.266,-0.160,0.979
1668283804103,2022-11-12T22.10.04.103,0.886,-0.265,-0.158,0.981
1668283804143,2022-11-12T22.10.04.143,0.926,-0.264,-0.160,0.979
1668283804184,2022-11-12T22.10.04.184,0.967,-0.265,-0.159,0.979
1668283804223,2022-11-12T22.10.04.223,1.006,-0.264,-0.159,0.978
1668283804264,2022-11-12T22.10.04.264,1.047,-0.264,-0.162,0.979
1668283804304,2022-11-12T22.10.04.304,1.087,-0.266,-0.159,0.980
1668283804343,2022-11-12T22.10.04.343,1.126,-0.265,-0.156,0.980
1668283804384,2022-11-12T22.10.04.384,1.167,-0.268,-0.159,0.978
1668283804424,2022-11-12T22.10.04.424,1.207,-0.262,-0.166,0.980
1668283804465,2022-11-12T22.10.04.465,1.248,-0.263,-0.158,0.980
