epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667720602681,2022-11-06T09.43.22.681,0.000,3.232,98.628,4.390
1667720602721,2022-11-06T09.43.22.721,0.040,11.646,95.671,4.756
1667720602762,2022-11-06T09.43.22.762,0.081,38.079,58.598,14.512
1667720602803,2022-11-06T09.43.22.803,0.122,21.494,-18.049,4.665
1667720602844,2022-11-06T09.43.22.844,0.163,28.933,-66.890,-19.817
1667720602883,2022-11-06T09.43.22.883,0.202,25.762,-40.091,-8.537
1667720602924,2022-11-06T09.43.22.924,0.243,-4.207,-24.116,3.476
1667720602965,2022-11-06T09.43.22.965,0.284,-2.195,-32.195,-3.293
1667720603005,2022-11-06T09.43.23.005,0.324,-16.128,-25.030,-2.439
1667720603046,2022-11-06T09.43.23.046,0.365,-7.805,7.774,-6.616
1667720603087,2022-11-06T09.43.23.087,0.406,5.152,17.195,-8.354
1667720603128,2022-11-06T09.43.23.128,0.447,-18.323,-4.909,-22.012
1667720603168,2022-11-06T09.43.23.168,0.487,-13.872,-0.152,-27.927
1667720603209,2022-11-06T09.43.23.209,0.528,-3.720,10.366,-11.616
1667720603250,2022-11-06T09.43.23.250,0.569,9.146,12.226,-2.470
1667720603291,2022-11-06T09.43.23.291,0.610,14.116,21.738,-0.396
1667720603330,2022-11-06T09.43.23.330,0.649,10.274,27.500,-7.835
1667720603371,2022-11-06T09.43.23.371,0.690,-5.335,24.909,-18.598
1667720603412,2022-11-06T09.43.23.412,0.731,-3.780,28.415,-25.701
1667720603453,2022-11-06T09.43.23.453,0.772,2.744,24.573,-20.427
1667720603493,2022-11-06T09.43.23.493,0.812,6.799,14.177,-12.713
1667720603534,2022-11-06T09.43.23.534,0.853,1.829,8.171,-8.872
1667720603575,2022-11-06T09.43.23.575,0.894,0.030,-1.677,-6.890
1667720603614,2022-11-06T09.43.23.614,0.933,-0.213,-8.963,-6.220
1667720603655,2022-11-06T09.43.23.655,0.974,-1.189,-8.110,-2.561
1667720603696,2022-11-06T09.43.23.696,1.015,-1.159,-6.585,1.738
1667720603737,2022-11-06T09.43.23.737,1.056,0.671,-4.085,0.457
1667720603777,2022-11-06T09.43.23.777,1.096,-1.677,-3.171,0.091
1667720603818,2022-11-06T09.43.23.818,1.137,-0.579,-3.567,-0.762
1667720603859,2022-11-06T09.43.23.859,1.178,-2.652,-0.457,-1.098
1667720603900,2022-11-06T09.43.23.900,1.219,-1.951,0.213,-0.579
1667720603940,2022-11-06T09.43.23.940,1.259,-0.915,0.884,0.213
1667720603981,2022-11-06T09.43.23.981,1.300,-2.927,1.921,0.244
1667720604022,2022-11-06T09.43.24.022,1.341,-2.530,0.335,0.549
1667720604063,2022-11-06T09.43.24.063,1.382,-0.335,3.537,0.549
1667720604102,2022-11-06T09.43.24.102,1.421,-3.659,3.750,0.457
1667720604143,2022-11-06T09.43.24.143,1.462,-2.774,2.774,1.128
1667720604184,2022-11-06T09.43.24.184,1.503,-1.189,5.976,0.976
1667720604224,2022-11-06T09.43.24.224,1.543,-4.024,4.634,0.762
1667720604265,2022-11-06T09.43.24.265,1.584,-4.573,4.055,2.713
1667720604306,2022-11-06T09.43.24.306,1.625,-6.829,8.018,7.195
1667720604347,2022-11-06T09.43.24.347,1.666,-6.646,7.470,10.030
