epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667907625317,2022-11-08T13:40:25.317,0.000,0.089,0.105,-0.999
1667907625357,2022-11-08T13:40:25.357,0.040,0.091,0.104,-1.009
1667907625398,2022-11-08T13:40:25.398,0.081,0.096,0.111,-1.006
1667907625439,2022-11-08T13:40:25.439,0.122,0.101,0.112,-1.008
1667907625478,2022-11-08T13:40:25.478,0.161,0.092,0.111,-1.005
1667907625519,2022-11-08T13:40:25.519,0.202,0.093,0.108,-1.005
1667907625560,2022-11-08T13:40:25.560,0.243,0.097,0.112,-1.006
1667907625601,2022-11-08T13:40:25.601,0.284,0.099,0.115,-1.005
1667907625641,2022-11-08T13:40:25.641,0.324,0.094,0.109,-1.005
1667907625682,2022-11-08T13:40:25.682,0.365,0.092,0.108,-1.006
1667907625723,2022-11-08T13:40:25.723,0.406,0.096,0.111,-1.007
1667907625764,2022-11-08T13:40:25.764,0.447,0.098,0.113,-1.006
1667907625803,2022-11-08T13:40:25.803,0.486,0.094,0.110,-1.004
1667907625844,2022-11-08T13:40:25.844,0.527,0.096,0.106,-1.006
1667907625885,2022-11-08T13:40:25.885,0.568,0.094,0.111,-1.005
1667907625925,2022-11-08T13:40:25.925,0.608,0.099,0.105,-1.007
1667907625966,2022-11-08T13:40:25.966,0.649,0.094,0.109,-1.005
1667907626007,2022-11-08T13:40:26.007,0.690,0.098,0.107,-1.007
1667907626048,2022-11-08T13:40:26.048,0.731,0.092,0.119,-1.002
1667907626088,2022-11-08T13:40:26.088,0.771,0.099,0.102,-1.008
1667907626129,2022-11-08T13:40:26.129,0.812,0.098,0.106,-1.007
1667907626170,2022-11-08T13:40:26.170,0.853,0.092,0.113,-1.005
1667907626211,2022-11-08T13:40:26.211,0.894,0.102,0.101,-1.007
1667907626250,2022-11-08T13:40:26.250,0.933,0.087,0.111,-1.002
1667907626291,2022-11-08T13:40:26.291,0.974,0.099,0.104,-1.007
1667907626332,2022-11-08T13:40:26.332,1.015,0.097,0.113,-1.005
1667907626373,2022-11-08T13:40:26.373,1.056,0.098,0.109,-1.006
1667907626413,2022-11-08T13:40:26.413,1.096,0.096,0.105,-1.005
1667907626454,2022-11-08T13:40:26.454,1.137,0.091,0.105,-1.004
1667907626495,2022-11-08T13:40:26.495,1.178,0.097,0.104,-1.006
1667907626534,2022-11-08T13:40:26.534,1.217,0.099,0.107,-1.006
1667907626575,2022-11-08T13:40:26.575,1.258,0.096,0.110,-1.005
1667907626616,2022-11-08T13:40:26.616,1.299,0.096,0.106,-1.005
1667907626657,2022-11-08T13:40:26.657,1.340,0.101,0.104,-1.006
1667907626697,2022-11-08T13:40:26.697,1.380,0.094,0.111,-1.004
1667907626738,2022-11-08T13:40:26.738,1.421,0.096,0.102,-1.006
1667907626779,2022-11-08T13:40:26.779,1.462,0.099,0.107,-1.006
1667907626820,2022-11-08T13:40:26.820,1.503,0.099,0.112,-1.005
1667907626860,2022-11-08T13:40:26.860,1.543,0.097,0.109,-1.005
1667907626901,2022-11-08T13:40:26.901,1.584,0.094,0.109,-1.005
1667907626942,2022-11-08T13:40:26.942,1.625,0.096,0.103,-1.005
1667907626981,2022-11-08T13:40:26.981,1.664,0.097,0.109,-1.005
1667907627022,2022-11-08T13:40:27.022,1.705,0.098,0.113,-1.005
1667907627063,2022-11-08T13:40:27.063,1.746,0.099,0.108,-1.006
1667907627104,2022-11-08T13:40:27.104,1.787,0.096,0.107,-1.005
