epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668026190834,2022-11-09T22.36.30.834,0.000,-1.189,0.061,0.671
1668026190873,2022-11-09T22.36.30.873,0.039,-1.311,0.000,0.732
1668026190913,2022-11-09T22.36.30.913,0.079,-3.262,0.762,0.671
1668026190952,2022-11-09T22.36.30.952,0.118,-5.244,1.372,0.732
1668026190992,2022-11-09T22.36.30.992,0.158,-3.902,0.396,0.244
1668026191032,2022-11-09T22.36.31.032,0.198,-1.250,-0.610,-0.061
1668026191071,2022-11-09T22.36.31.071,0.237,-1.829,-1.037,-1.067
1668026191111,2022-11-09T22.36.31.111,0.277,-0.305,-0.762,-1.677
1668026191150,2022-11-09T22.36.31.150,0.316,2.774,0.518,-0.701
1668026191190,2022-11-09T22.36.31.190,0.356,0.762,0.457,0.884
1668026191229,2022-11-09T22.36.31.229,0.395,-0.427,-0.274,1.159
1668026191269,2022-11-09T22.36.31.269,0.435,2.104,-0.610,0.640
1668026191308,2022-11-09T22.36.31.308,0.474,1.921,-0.335,0.152
1668026191348,2022-11-09T22.36.31.348,0.514,2.439,-0.244,0.000
1668026191388,2022-11-09T22.36.31.388,0.554,1.616,-0.640,-0.701
1668026191427,2022-11-09T22.36.31.427,0.593,2.409,-0.457,-1.220
1668026191467,2022-11-09T22.36.31.467,0.633,2.561,-0.183,-1.799
1668026191506,2022-11-09T22.36.31.506,0.672,2.713,-0.274,-2.165
1668026191547,2022-11-09T22.36.31.547,0.713,3.110,-0.366,-1.860
1668026191587,2022-11-09T22.36.31.587,0.753,1.860,-0.213,-0.579
1668026191626,2022-11-09T22.36.31.626,0.792,0.762,-0.549,0.244
1668026191666,2022-11-09T22.36.31.666,0.832,0.366,-0.427,-0.091
1668026191705,2022-11-09T22.36.31.705,0.871,1.524,-0.701,-0.366
1668026191745,2022-11-09T22.36.31.745,0.911,1.128,-0.854,-0.396
1668026191785,2022-11-09T22.36.31.785,0.951,-0.518,-1.037,0.518
1668026191824,2022-11-09T22.36.31.824,0.990,-3.567,-1.067,0.701
1668026191864,2022-11-09T22.36.31.864,1.030,-3.720,-0.549,0.305
1668026191903,2022-11-09T22.36.31.903,1.069,-1.402,-0.152,-0.152
1668026191943,2022-11-09T22.36.31.943,1.109,-0.244,-0.122,-0.213
1668026191982,2022-11-09T22.36.31.982,1.148,-1.037,-0.244,0.183
1668026192022,2022-11-09T22.36.32.022,1.188,-0.549,-0.030,0.915
1668026192061,2022-11-09T22.36.32.061,1.227,0.305,0.335,1.311
1668026192101,2022-11-09T22.36.32.101,1.267,0.518,0.366,1.128
1668026192140,2022-11-09T22.36.32.140,1.306,1.159,-0.152,0.854
1668026192180,2022-11-09T22.36.32.180,1.346,0.457,-0.518,0.579
1668026192220,2022-11-09T22.36.32.220,1.386,-0.274,-0.976,0.091
1668026192259,2022-11-09T22.36.32.259,1.425,0.152,-0.945,-0.579
1668026192299,2022-11-09T22.36.32.299,1.465,1.128,-0.701,-0.793
1668026192338,2022-11-09T22.36.32.338,1.504,0.701,-0.915,-0.518
1668026192378,2022-11-09T22.36.32.378,1.544,0.335,-1.037,-0.701
1668026192419,2022-11-09T22.36.32.419,1.585,1.067,-0.427,-0.732
1668026192458,2022-11-09T22.36.32.458,1.624,-0.091,-0.061,-0.396
1668026192498,2022-11-09T22.36.32.498,1.664,-1.250,0.091,-0.183
1668026192537,2022-11-09T22.36.32.537,1.703,-0.762,0.183,-0.305
1668026192577,2022-11-09T22.36.32.577,1.743,-0.427,0.213,-0.244
1668026192617,2022-11-09T22.36.32.617,1.783,-0.793,0.213,0.030
1668026192656,2022-11-09T22.36.32.656,1.822,-0.640,0.274,0.152
1668026192696,2022-11-09T22.36.32.696,1.862,-0.244,0.274,0.610
1668026192735,2022-11-09T22.36.32.735,1.901,-1.098,0.213,0.732
1668026192775,2022-11-09T22.36.32.775,1.941,-1.402,0.122,0.579
1668026192814,2022-11-09T22.36.32.814,1.980,-0.488,-0.091,0.335
1668026192854,2022-11-09T22.36.32.854,2.020,0.061,-0.244,0.091
1668026192893,2022-11-09T22.36.32.893,2.059,0.396,-0.427,-0.061
1668026192933,2022-11-09T22.36.32.933,2.099,0.091,-0.457,-0.152
1668026192972,2022-11-09T22.36.32.972,2.138,0.152,-0.305,-0.610
1668026193012,2022-11-09T22.36.33.012,2.178,0.274,-0.213,-1.220
1668026193052,2022-11-09T22.36.33.052,2.218,0.762,0.396,-1.189
1668026193091,2022-11-09T22.36.33.091,2.257,0.976,1.006,-0.366
1668026193131,2022-11-09T22.36.33.131,2.297,0.152,0.915,1.037
1668026193170,2022-11-09T22.36.33.170,2.336,-1.372,-0.122,2.043
1668026193210,2022-11-09T22.36.33.210,2.376,-1.585,-0.884,2.378
1668026193249,2022-11-09T22.36.33.249,2.415,-1.189,-1.494,2.165
1668026193290,2022-11-09T22.36.33.290,2.456,-1.189,-1.951,1.280
1668026193330,2022-11-09T22.36.33.330,2.496,0.579,-1.341,0.152
1668026193369,2022-11-09T22.36.33.369,2.535,1.585,-0.457,-0.335
1668026193409,2022-11-09T22.36.33.409,2.575,0.000,-0.427,0.244
1668026193449,2022-11-09T22.36.33.449,2.615,-1.037,-0.427,1.098
1668026193488,2022-11-09T22.36.33.488,2.654,-1.646,0.061,0.427
1668026193528,2022-11-09T22.36.33.528,2.694,-1.189,0.701,-0.793
1668026193567,2022-11-09T22.36.33.567,2.733,-0.366,1.616,-2.500
1668026193607,2022-11-09T22.36.33.607,2.773,3.140,2.287,-2.866
1668026193646,2022-11-09T22.36.33.646,2.812,2.591,1.707,-2.409
1668026193686,2022-11-09T22.36.33.686,2.852,3.049,0.884,-2.317
1668026193725,2022-11-09T22.36.33.725,2.891,5.091,2.774,-2.683
1668026193765,2022-11-09T22.36.33.765,2.931,3.963,4.787,-2.744
1668026193805,2022-11-09T22.36.33.805,2.971,3.293,1.524,-1.341
1668026193844,2022-11-09T22.36.33.844,3.010,3.933,-0.549,-0.396
1668026193884,2022-11-09T22.36.33.884,3.050,4.482,-0.335,0.030
1668026193923,2022-11-09T22.36.33.923,3.089,2.317,-0.305,0.274
1668026193963,2022-11-09T22.36.33.963,3.129,1.799,0.122,0.762
1668026194002,2022-11-09T22.36.34.002,3.168,1.433,-0.183,0.579
1668026194042,2022-11-09T22.36.34.042,3.208,-0.701,-0.610,0.152
1668026194081,2022-11-09T22.36.34.081,3.247,-0.610,-1.067,-0.732
