epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668339579806,2022-11-13T13:39:39.806,0.000,-0.186,0.101,-0.989
1668339579846,2022-11-13T13:39:39.846,0.040,-0.187,0.094,-0.997
1668339579887,2022-11-13T13:39:39.887,0.081,-0.185,0.100,-0.997
1668339579928,2022-11-13T13:39:39.928,0.122,-0.186,0.101,-0.996
1668339579967,2022-11-13T13:39:39.967,0.161,-0.186,0.099,-0.995
1668339580008,2022-11-13T13:39:40.008,0.202,-0.189,0.097,-0.994
1668339580049,2022-11-13T13:39:40.049,0.243,-0.189,0.094,-0.995
1668339580090,2022-11-13T13:39:40.090,0.284,-0.185,0.100,-0.995
1668339580130,2022-11-13T13:39:40.130,0.324,-0.187,0.098,-0.993
1668339580171,2022-11-13T13:39:40.171,0.365,-0.190,0.095,-0.995
1668339580212,2022-11-13T13:39:40.212,0.406,-0.189,0.097,-0.994
1668339580253,2022-11-13T13:39:40.253,0.447,-0.194,0.090,-0.992
1668339580292,2022-11-13T13:39:40.292,0.486,-0.192,0.091,-0.993
1668339580333,2022-11-13T13:39:40.333,0.527,-0.185,0.097,-0.998
1668339580374,2022-11-13T13:39:40.374,0.568,-0.187,0.101,-0.993
1668339580415,2022-11-13T13:39:40.415,0.609,-0.188,0.098,-0.993
1668339580455,2022-11-13T13:39:40.455,0.649,-0.189,0.097,-0.994
1668339580496,2022-11-13T13:39:40.496,0.690,-0.191,0.094,-0.992
1668339580537,2022-11-13T13:39:40.537,0.731,-0.190,0.103,-0.992
1668339580576,2022-11-13T13:39:40.576,0.770,-0.187,0.102,-0.995
1668339580618,2022-11-13T13:39:40.618,0.812,-0.191,0.103,-0.991
1668339580659,2022-11-13T13:39:40.659,0.853,-0.186,0.101,-0.994
1668339580700,2022-11-13T13:39:40.700,0.894,-0.188,0.100,-0.993
1668339580739,2022-11-13T13:39:40.739,0.933,-0.191,0.097,-0.992
1668339580780,2022-11-13T13:39:40.780,0.974,-0.185,0.101,-0.996
1668339580821,2022-11-13T13:39:40.821,1.015,-0.191,0.104,-0.992
1668339580862,2022-11-13T13:39:40.862,1.056,-0.191,0.096,-0.993
1668339580902,2022-11-13T13:39:40.902,1.096,-0.190,0.095,-0.993
1668339580943,2022-11-13T13:39:40.943,1.137,-0.192,0.095,-0.993
1668339580984,2022-11-13T13:39:40.984,1.178,-0.189,0.092,-0.995
1668339581023,2022-11-13T13:39:41.023,1.217,-0.189,0.096,-0.992
