epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668254824058,2022-11-12T14.07.04.058,0.000,-0.236,-0.258,0.963
1668254824098,2022-11-12T14.07.04.098,0.040,-0.236,-0.262,0.971
1668254824138,2022-11-12T14.07.04.138,0.080,-0.235,-0.263,0.969
1668254824179,2022-11-12T14.07.04.179,0.121,-0.237,-0.261,0.970
1668254824218,2022-11-12T14.07.04.218,0.160,-0.237,-0.258,0.970
1668254824259,2022-11-12T14.07.04.259,0.201,-0.236,-0.260,0.969
1668254824299,2022-11-12T14.07.04.299,0.241,-0.237,-0.265,0.968
1668254824340,2022-11-12T14.07.04.340,0.282,-0.235,-0.259,0.973
1668254824379,2022-11-12T14.07.04.379,0.321,-0.237,-0.264,0.971
1668254824420,2022-11-12T14.07.04.420,0.362,-0.237,-0.259,0.969
1668254824460,2022-11-12T14.07.04.460,0.402,-0.235,-0.257,0.969
1668254824501,2022-11-12T14.07.04.501,0.443,-0.235,-0.261,0.971
1668254824540,2022-11-12T14.07.04.540,0.482,-0.236,-0.258,0.972
1668254824581,2022-11-12T14.07.04.581,0.523,-0.238,-0.259,0.971
1668254824621,2022-11-12T14.07.04.621,0.563,-0.238,-0.255,0.969
1668254824660,2022-11-12T14.07.04.660,0.602,-0.236,-0.256,0.970
1668254824701,2022-11-12T14.07.04.701,0.643,-0.234,-0.253,0.971
1668254824741,2022-11-12T14.07.04.741,0.683,-0.235,-0.258,0.970
1668254824782,2022-11-12T14.07.04.782,0.724,-0.236,-0.252,0.973
1668254824822,2022-11-12T14.07.04.822,0.764,-0.235,-0.254,0.970
1668254824863,2022-11-12T14.07.04.863,0.805,-0.239,-0.258,0.969
1668254824902,2022-11-12T14.07.04.902,0.844,-0.235,-0.256,0.972
1668254824943,2022-11-12T14.07.04.943,0.885,-0.236,-0.256,0.972
1668254824983,2022-11-12T14.07.04.983,0.925,-0.239,-0.257,0.972
1668254825024,2022-11-12T14.07.05.024,0.966,-0.237,-0.258,0.972
1668254825063,2022-11-12T14.07.05.063,1.005,-0.236,-0.257,0.969
1668254825104,2022-11-12T14.07.05.104,1.046,-0.237,-0.250,0.973
1668254825144,2022-11-12T14.07.05.144,1.086,-0.237,-0.258,0.972
1668254825185,2022-11-12T14.07.05.185,1.127,-0.239,-0.257,0.969
1668254825224,2022-11-12T14.07.05.224,1.166,-0.235,-0.258,0.971
1668254825264,2022-11-12T14.07.05.264,1.206,-0.236,-0.255,0.974
1668254825305,2022-11-12T14.07.05.305,1.247,-0.235,-0.247,0.973
1668254825345,2022-11-12T14.07.05.345,1.287,-0.235,-0.253,0.973
1668254825386,2022-11-12T14.07.05.386,1.328,-0.238,-0.254,0.972
1668254825425,2022-11-12T14.07.05.425,1.367,-0.235,-0.250,0.974
1668254825466,2022-11-12T14.07.05.466,1.408,-0.234,-0.244,0.973
1668254825506,2022-11-12T14.07.05.506,1.448,-0.235,-0.249,0.973
1668254825547,2022-11-12T14.07.05.547,1.489,-0.235,-0.251,0.970
1668254825586,2022-11-12T14.07.05.586,1.528,-0.235,-0.261,0.972
1668254825627,2022-11-12T14.07.05.627,1.569,-0.234,-0.255,0.973
1668254825667,2022-11-12T14.07.05.667,1.609,-0.235,-0.255,0.974
1668254825708,2022-11-12T14.07.05.708,1.650,-0.235,-0.262,0.971
1668254825747,2022-11-12T14.07.05.747,1.689,-0.234,-0.252,0.973
1668254825787,2022-11-12T14.07.05.787,1.729,-0.236,-0.256,0.972
1668254825828,2022-11-12T14.07.05.828,1.770,-0.237,-0.262,0.971
1668254825867,2022-11-12T14.07.05.867,1.809,-0.235,-0.259,0.971
1668254825909,2022-11-12T14.07.05.909,1.851,-0.233,-0.253,0.973
1668254825948,2022-11-12T14.07.05.948,1.890,-0.235,-0.260,0.973
1668254825989,2022-11-12T14.07.05.989,1.931,-0.236,-0.255,0.972
1668254826029,2022-11-12T14.07.06.029,1.971,-0.233,-0.254,0.970
1668254826070,2022-11-12T14.07.06.070,2.012,-0.235,-0.257,0.973
1668254826109,2022-11-12T14.07.06.109,2.051,-0.233,-0.255,0.973
1668254826150,2022-11-12T14.07.06.150,2.092,-0.236,-0.254,0.972
1668254826190,2022-11-12T14.07.06.190,2.132,-0.236,-0.257,0.970
1668254826231,2022-11-12T14.07.06.231,2.173,-0.233,-0.255,0.971
1668254826270,2022-11-12T14.07.06.270,2.212,-0.233,-0.258,0.974
1668254826311,2022-11-12T14.07.06.311,2.253,-0.236,-0.255,0.972
1668254826351,2022-11-12T14.07.06.351,2.293,-0.234,-0.253,0.972
1668254826390,2022-11-12T14.07.06.390,2.332,-0.233,-0.262,0.971
1668254826431,2022-11-12T14.07.06.431,2.373,-0.235,-0.264,0.971
1668254826471,2022-11-12T14.07.06.471,2.413,-0.234,-0.248,0.973
1668254826512,2022-11-12T14.07.06.512,2.454,-0.237,-0.258,0.970
1668254826552,2022-11-12T14.07.06.552,2.494,-0.236,-0.260,0.972
1668254826593,2022-11-12T14.07.06.593,2.535,-0.235,-0.257,0.972
1668254826632,2022-11-12T14.07.06.632,2.574,-0.235,-0.253,0.974
1668254826673,2022-11-12T14.07.06.673,2.615,-0.236,-0.261,0.971
1668254826713,2022-11-12T14.07.06.713,2.655,-0.236,-0.257,0.972
