epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668336145807,2022-11-13T12:42:25.807,0.000,-0.162,0.022,-1.002
1668336145848,2022-11-13T12:42:25.848,0.041,-0.165,0.034,-0.987
1668336145890,2022-11-13T12:42:25.890,0.083,-0.175,0.026,-1.025
1668336145929,2022-11-13T12:42:25.929,0.122,-0.115,0.033,-1.007
1668336145970,2022-11-13T12:42:25.970,0.163,-0.142,0.017,-1.009
1668336146011,2022-11-13T12:42:26.011,0.204,-0.148,0.028,-1.012
1668336146051,2022-11-13T12:42:26.051,0.244,-0.137,0.035,-1.011
1668336146092,2022-11-13T12:42:26.092,0.285,-0.145,0.037,-1.008
1668336146133,2022-11-13T12:42:26.133,0.326,-0.144,0.031,-1.009
1668336146174,2022-11-13T12:42:26.174,0.367,-0.148,0.038,-1.007
1668336146213,2022-11-13T12:42:26.213,0.406,-0.157,0.035,-1.007
1668336146254,2022-11-13T12:42:26.254,0.447,-0.150,0.036,-1.007
1668336146295,2022-11-13T12:42:26.295,0.488,-0.146,0.043,-1.007
1668336146336,2022-11-13T12:42:26.336,0.529,-0.146,0.038,-1.010
1668336146376,2022-11-13T12:42:26.376,0.569,-0.145,0.043,-1.010
1668336146417,2022-11-13T12:42:26.417,0.610,-0.147,0.038,-1.006
1668336146458,2022-11-13T12:42:26.458,0.651,-0.149,0.043,-1.003
1668336146497,2022-11-13T12:42:26.497,0.690,-0.144,0.043,-1.009
1668336146538,2022-11-13T12:42:26.538,0.731,-0.143,0.046,-1.009
1668336146579,2022-11-13T12:42:26.579,0.772,-0.142,0.047,-1.012
1668336146620,2022-11-13T12:42:26.620,0.813,-0.132,0.049,-1.007
1668336146660,2022-11-13T12:42:26.660,0.853,-0.145,0.053,-1.012
1668336146701,2022-11-13T12:42:26.701,0.894,-0.152,0.031,-1.005
1668336146742,2022-11-13T12:42:26.742,0.935,-0.146,0.051,-1.007
1668336146783,2022-11-13T12:42:26.783,0.976,-0.161,0.030,-1.010
1668336146823,2022-11-13T12:42:26.823,1.016,-0.163,0.016,-1.009
1668336146864,2022-11-13T12:42:26.864,1.057,-0.142,0.026,-1.009
1668336146905,2022-11-13T12:42:26.905,1.098,-0.168,0.010,-1.004
1668336146946,2022-11-13T12:42:26.946,1.139,-0.183,0.007,-1.003
1668336146985,2022-11-13T12:42:26.985,1.178,-0.187,-0.000,-1.003
