epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668336145645,2022-11-13T12:42:25.645,0.000,-1.829,-0.061,0.213
1668336145686,2022-11-13T12:42:25.686,0.041,-1.738,-0.213,-0.152
1668336145727,2022-11-13T12:42:25.727,0.082,-1.189,-0.488,0.549
1668336145766,2022-11-13T12:42:25.766,0.121,-0.366,-0.884,0.457
1668336145807,2022-11-13T12:42:25.807,0.162,-0.061,0.122,-0.274
1668336145848,2022-11-13T12:42:25.848,0.203,-0.976,3.110,1.067
1668336145890,2022-11-13T12:42:25.890,0.245,-5.793,13.445,1.555
1668336145929,2022-11-13T12:42:25.929,0.284,0.610,11.220,-1.616
1668336145970,2022-11-13T12:42:25.970,0.325,0.427,-5.305,-1.463
1668336146011,2022-11-13T12:42:26.011,0.366,-4.329,-0.884,-0.122
1668336146051,2022-11-13T12:42:26.051,0.406,-3.598,1.738,1.524
1668336146092,2022-11-13T12:42:26.092,0.447,-2.012,-0.457,0.610
1668336146133,2022-11-13T12:42:26.133,0.488,-1.402,-1.128,-0.091
1668336146174,2022-11-13T12:42:26.174,0.529,-1.646,-2.165,-0.244
1668336146213,2022-11-13T12:42:26.213,0.568,-1.677,-0.762,-1.098
1668336146254,2022-11-13T12:42:26.254,0.609,-2.134,2.500,-0.396
1668336146295,2022-11-13T12:42:26.295,0.650,-3.628,2.226,-0.671
1668336146336,2022-11-13T12:42:26.336,0.691,-3.018,0.152,-0.427
1668336146376,2022-11-13T12:42:26.376,0.731,-2.043,1.311,-0.762
1668336146417,2022-11-13T12:42:26.417,0.772,-1.433,0.976,-1.311
1668336146458,2022-11-13T12:42:26.458,0.813,-2.409,1.463,-1.646
1668336146497,2022-11-13T12:42:26.497,0.852,-3.659,2.165,-1.006
1668336146538,2022-11-13T12:42:26.538,0.893,-3.963,1.341,-0.244
1668336146579,2022-11-13T12:42:26.579,0.934,-1.585,2.744,-2.805
1668336146620,2022-11-13T12:42:26.620,0.975,0.945,1.250,-4.604
1668336146660,2022-11-13T12:42:26.660,1.015,0.244,-2.896,-7.439
1668336146701,2022-11-13T12:42:26.701,1.056,3.171,-1.402,-16.860
1668336146742,2022-11-13T12:42:26.742,1.097,4.695,-4.878,-17.683
1668336146783,2022-11-13T12:42:26.783,1.138,8.659,-4.512,-8.323
1668336146823,2022-11-13T12:42:26.823,1.178,7.439,0.640,-7.866
1668336146864,2022-11-13T12:42:26.864,1.219,4.390,-1.860,-3.750
1668336146905,2022-11-13T12:42:26.905,1.260,6.067,-14.360,-3.232
1668336146946,2022-11-13T12:42:26.946,1.301,3.293,-11.921,-1.707
1668336146985,2022-11-13T12:42:26.985,1.340,1.402,-10.305,0.396
1668336147026,2022-11-13T12:42:27.026,1.381,-1.951,-5.091,0.274
1668336147067,2022-11-13T12:42:27.067,1.422,-4.451,0.915,-0.122
1668336147107,2022-11-13T12:42:27.107,1.462,-5.854,2.165,0.396
1668336147148,2022-11-13T12:42:27.148,1.503,-4.817,1.921,0.427
1668336147189,2022-11-13T12:42:27.189,1.544,-3.628,1.280,0.518
1668336147230,2022-11-13T12:42:27.230,1.585,-3.537,0.518,0.488
1668336147269,2022-11-13T12:42:27.269,1.624,-2.805,0.061,0.274
1668336147310,2022-11-13T12:42:27.310,1.665,-3.079,0.427,0.091
1668336147351,2022-11-13T12:42:27.351,1.706,-3.963,0.701,-0.030
1668336147392,2022-11-13T12:42:27.392,1.747,-4.482,-0.183,0.122
1668336147432,2022-11-13T12:42:27.432,1.787,-3.780,-0.274,0.122
1668336147473,2022-11-13T12:42:27.473,1.828,-1.006,0.213,0.152
1668336147514,2022-11-13T12:42:27.514,1.869,-1.341,0.152,0.122
1668336147555,2022-11-13T12:42:27.555,1.910,-2.012,0.366,0.091
1668336147595,2022-11-13T12:42:27.595,1.950,-0.793,0.000,0.335
1668336147636,2022-11-13T12:42:27.636,1.991,-1.189,0.274,0.091
1668336147677,2022-11-13T12:42:27.677,2.032,-1.006,0.152,0.091
1668336147716,2022-11-13T12:42:27.716,2.071,-1.128,-0.122,0.213
1668336147757,2022-11-13T12:42:27.757,2.112,-1.098,0.152,0.061
1668336147798,2022-11-13T12:42:27.798,2.153,-1.433,0.427,0.061
1668336147839,2022-11-13T12:42:27.839,2.194,-0.793,-0.335,0.488
1668336147879,2022-11-13T12:42:27.879,2.234,-0.945,-0.030,0.213
1668336147920,2022-11-13T12:42:27.920,2.275,-1.159,0.610,-0.122
