epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667567406059,2022-11-04T15.10.06.059,0.000,-2.744,4.329,-1.220
1667567406098,2022-11-04T15.10.06.098,0.039,-2.957,4.360,-0.854
1667567406139,2022-11-04T15.10.06.139,0.080,-4.726,4.695,0.244
1667567406179,2022-11-04T15.10.06.179,0.120,-7.439,7.165,1.555
1667567406220,2022-11-04T15.10.06.220,0.161,-7.713,10.152,1.646
1667567406259,2022-11-04T15.10.06.259,0.200,-7.927,6.677,1.555
1667567406300,2022-11-04T15.10.06.300,0.241,-9.787,4.482,2.104
1667567406340,2022-11-04T15.10.06.340,0.281,-7.287,4.207,1.677
1667567406379,2022-11-04T15.10.06.379,0.320,-2.530,1.341,0.000
1667567406420,2022-11-04T15.10.06.420,0.361,-2.043,-1.006,-0.335
1667567406460,2022-11-04T15.10.06.460,0.401,-2.317,-0.427,0.305
1667567406501,2022-11-04T15.10.06.501,0.442,-1.829,0.549,1.098
1667567406541,2022-11-04T15.10.06.541,0.482,-0.732,0.061,1.006
1667567406582,2022-11-04T15.10.06.582,0.523,-0.640,-0.701,0.366
1667567406621,2022-11-04T15.10.06.621,0.562,-0.366,-0.274,-0.091
1667567406662,2022-11-04T15.10.06.662,0.603,0.122,-0.030,-0.030
1667567406702,2022-11-04T15.10.06.702,0.643,-0.213,-0.396,0.244
1667567406743,2022-11-04T15.10.06.743,0.684,0.762,-0.183,0.244
1667567406782,2022-11-04T15.10.06.782,0.723,1.220,0.640,0.244
1667567406823,2022-11-04T15.10.06.823,0.764,0.061,0.366,0.030
1667567406863,2022-11-04T15.10.06.863,0.804,-0.549,0.030,0.000
1667567406904,2022-11-04T15.10.06.904,0.845,-0.671,0.122,0.152
1667567406943,2022-11-04T15.10.06.943,0.884,0.274,0.396,0.091
1667567406983,2022-11-04T15.10.06.983,0.924,0.366,0.579,0.274
1667567407024,2022-11-04T15.10.07.024,0.965,0.335,0.610,0.305
1667567407064,2022-11-04T15.10.07.064,1.005,0.366,0.915,0.335
1667567407105,2022-11-04T15.10.07.105,1.046,0.122,0.945,0.396
1667567407144,2022-11-04T15.10.07.144,1.085,0.213,0.335,-0.061
1667567407185,2022-11-04T15.10.07.185,1.126,-0.518,0.183,-0.396
1667567407225,2022-11-04T15.10.07.225,1.166,-0.396,0.518,-0.183
1667567407266,2022-11-04T15.10.07.266,1.207,-0.366,0.000,0.335
1667567407305,2022-11-04T15.10.07.305,1.246,-1.921,-0.823,0.793
1667567407346,2022-11-04T15.10.07.346,1.287,-2.591,0.030,1.220
1667567407386,2022-11-04T15.10.07.386,1.327,-0.244,0.640,0.915
1667567407427,2022-11-04T15.10.07.427,1.368,0.183,-0.183,-0.610
1667567407466,2022-11-04T15.10.07.466,1.407,-0.671,0.000,-1.402
1667567407507,2022-11-04T15.10.07.507,1.448,0.427,0.183,-0.762
1667567407547,2022-11-04T15.10.07.547,1.488,0.976,-0.030,0.518
1667567407586,2022-11-04T15.10.07.586,1.527,0.518,0.335,0.793
1667567407627,2022-11-04T15.10.07.627,1.568,0.488,0.244,0.701
1667567407667,2022-11-04T15.10.07.667,1.608,1.006,0.457,0.488
1667567407708,2022-11-04T15.10.07.708,1.649,0.610,-0.305,0.183
1667567407748,2022-11-04T15.10.07.748,1.689,0.793,-1.006,-0.152
1667567407789,2022-11-04T15.10.07.789,1.730,1.159,-0.457,-0.183
1667567407828,2022-11-04T15.10.07.828,1.769,1.006,0.030,0.000
1667567407869,2022-11-04T15.10.07.869,1.810,0.671,0.030,0.244
1667567407909,2022-11-04T15.10.07.909,1.850,0.274,-0.305,0.244
1667567407950,2022-11-04T15.10.07.950,1.891,-0.457,-0.213,0.396
1667567407989,2022-11-04T15.10.07.989,1.930,-0.213,-0.061,0.457
1667567408030,2022-11-04T15.10.08.030,1.971,-0.244,-0.213,0.122
1667567408070,2022-11-04T15.10.08.070,2.011,-0.823,-0.091,-0.274
1667567408111,2022-11-04T15.10.08.111,2.052,-0.854,-0.091,-0.030
1667567408150,2022-11-04T15.10.08.150,2.091,0.061,-0.061,0.396
1667567408190,2022-11-04T15.10.08.190,2.131,0.000,-0.091,0.152
1667567408231,2022-11-04T15.10.08.231,2.172,-0.274,0.000,-0.366
1667567408271,2022-11-04T15.10.08.271,2.212,-0.671,0.244,-0.518
1667567408312,2022-11-04T15.10.08.312,2.253,-0.427,0.122,-0.213
1667567408351,2022-11-04T15.10.08.351,2.292,-0.701,-0.091,0.061
1667567408392,2022-11-04T15.10.08.392,2.333,-0.152,0.000,-0.061
