epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668440324626,2022-11-14T17.38.44.626,0.000,-0.227,-0.135,0.984
1668440324667,2022-11-14T17.38.44.667,0.041,-0.232,-0.134,0.992
1668440324707,2022-11-14T17.38.44.707,0.081,-0.230,-0.134,0.989
1668440324748,2022-11-14T17.38.44.748,0.122,-0.231,-0.131,0.989
1668440324787,2022-11-14T17.38.44.787,0.161,-0.230,-0.133,0.989
1668440324828,2022-11-14T17.38.44.828,0.202,-0.231,-0.135,0.989
1668440324868,2022-11-14T17.38.44.868,0.242,-0.230,-0.135,0.989
1668440324909,2022-11-14T17.38.44.909,0.283,-0.231,-0.131,0.989
1668440324948,2022-11-14T17.38.44.948,0.322,-0.232,-0.133,0.989
1668440324990,2022-11-14T17.38.44.990,0.364,-0.231,-0.133,0.989
1668440325029,2022-11-14T17.38.45.029,0.403,-0.231,-0.131,0.990
1668440325070,2022-11-14T17.38.45.070,0.444,-0.231,-0.136,0.991
1668440325110,2022-11-14T17.38.45.110,0.484,-0.231,-0.132,0.991
1668440325149,2022-11-14T17.38.45.149,0.523,-0.232,-0.132,0.990
1668440325190,2022-11-14T17.38.45.190,0.564,-0.230,-0.133,0.990
1668440325230,2022-11-14T17.38.45.230,0.604,-0.230,-0.135,0.990
1668440325271,2022-11-14T17.38.45.271,0.645,-0.232,-0.133,0.989
1668440325310,2022-11-14T17.38.45.310,0.684,-0.231,-0.132,0.990
1668440325351,2022-11-14T17.38.45.351,0.725,-0.231,-0.135,0.990
1668440325391,2022-11-14T17.38.45.391,0.765,-0.230,-0.133,0.990
1668440325432,2022-11-14T17.38.45.432,0.806,-0.230,-0.134,0.990
1668440325471,2022-11-14T17.38.45.471,0.845,-0.230,-0.133,0.989
1668440325512,2022-11-14T17.38.45.512,0.886,-0.230,-0.133,0.989
1668440325552,2022-11-14T17.38.45.552,0.926,-0.231,-0.133,0.990
1668440325593,2022-11-14T17.38.45.593,0.967,-0.231,-0.134,0.991
1668440325633,2022-11-14T17.38.45.633,1.007,-0.231,-0.134,0.990
1668440325674,2022-11-14T17.38.45.674,1.048,-0.231,-0.132,0.991
1668440325713,2022-11-14T17.38.45.713,1.087,-0.230,-0.135,0.989
1668440325753,2022-11-14T17.38.45.753,1.127,-0.230,-0.134,0.990
1668440325794,2022-11-14T17.38.45.794,1.168,-0.231,-0.131,0.990
