epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667146408778,2022-10-30T18.13.28.778,0.000,0.266,-0.978,-0.237
1667146408818,2022-10-30T18.13.28.818,0.040,0.258,-0.992,-0.232
1667146408857,2022-10-30T18.13.28.857,0.079,0.258,-0.973,-0.215
1667146408897,2022-10-30T18.13.28.897,0.119,0.264,-0.949,-0.183
1667146408936,2022-10-30T18.13.28.936,0.158,0.288,-0.930,-0.151
1667146408976,2022-10-30T18.13.28.976,0.198,0.300,-0.946,-0.131
1667146409015,2022-10-30T18.13.29.015,0.237,0.293,-0.951,-0.130
1667146409055,2022-10-30T18.13.29.055,0.277,0.258,-0.979,-0.126
1667146409095,2022-10-30T18.13.29.095,0.317,0.215,-1.105,-0.147
1667146409134,2022-10-30T18.13.29.134,0.356,0.212,-1.006,-0.241
1667146409174,2022-10-30T18.13.29.174,0.396,0.179,-0.524,-0.379
1667146409213,2022-10-30T18.13.29.213,0.435,0.241,-0.484,-0.429
1667146409253,2022-10-30T18.13.29.253,0.475,0.429,-0.710,-0.370
1667146409292,2022-10-30T18.13.29.292,0.514,0.622,-0.735,-0.357
1667146409332,2022-10-30T18.13.29.332,0.554,0.811,-0.609,-0.433
1667146409373,2022-10-30T18.13.29.373,0.595,0.762,-0.526,-0.598
1667146409412,2022-10-30T18.13.29.412,0.634,0.365,-0.508,-0.801
1667146409452,2022-10-30T18.13.29.452,0.674,0.084,-0.451,-0.913
1667146409492,2022-10-30T18.13.29.492,0.714,0.048,-1.059,-1.143
1667146409531,2022-10-30T18.13.29.531,0.753,0.001,-1.091,-0.948
1667146409571,2022-10-30T18.13.29.571,0.793,0.198,-0.906,-0.604
1667146409610,2022-10-30T18.13.29.610,0.832,0.371,-0.790,-0.431
1667146409650,2022-10-30T18.13.29.650,0.872,0.415,-0.696,-0.386
1667146409689,2022-10-30T18.13.29.689,0.911,0.372,-0.792,-0.426
1667146409729,2022-10-30T18.13.29.729,0.951,0.290,-0.886,-0.532
1667146409768,2022-10-30T18.13.29.768,0.990,0.257,-0.831,-0.628
1667146409808,2022-10-30T18.13.29.808,1.030,0.261,-0.724,-0.679
1667146409848,2022-10-30T18.13.29.848,1.070,0.253,-0.690,-0.691
1667146409887,2022-10-30T18.13.29.887,1.109,0.263,-0.714,-0.662
1667146409927,2022-10-30T18.13.29.927,1.149,0.279,-0.776,-0.595
1667146409966,2022-10-30T18.13.29.966,1.188,0.300,-0.824,-0.547
1667146410006,2022-10-30T18.13.30.006,1.228,0.299,-0.792,-0.550
1667146410045,2022-10-30T18.13.30.045,1.267,0.284,-0.766,-0.591
1667146410085,2022-10-30T18.13.30.085,1.307,0.284,-0.769,-0.617
1667146410124,2022-10-30T18.13.30.124,1.346,0.288,-0.746,-0.630
1667146410165,2022-10-30T18.13.30.165,1.387,0.285,-0.736,-0.647
1667146410205,2022-10-30T18.13.30.205,1.427,0.276,-0.722,-0.655
1667146410244,2022-10-30T18.13.30.244,1.466,0.263,-0.693,-0.671
1667146410284,2022-10-30T18.13.30.284,1.506,0.262,-0.714,-0.676
