epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1669054917208,2022-11-21T20:21:57.208,0.000,-0.009,-0.547,-0.837
1669054917248,2022-11-21T20:21:57.248,0.040,-0.009,-0.552,-0.843
1669054917288,2022-11-21T20:21:57.288,0.080,-0.005,-0.549,-0.843
1669054917328,2022-11-21T20:21:57.328,0.120,-0.007,-0.551,-0.844
1669054917368,2022-11-21T20:21:57.368,0.160,-0.009,-0.550,-0.843
1669054917408,2022-11-21T20:21:57.408,0.200,-0.008,-0.550,-0.842
1669054917448,2022-11-21T20:21:57.448,0.240,-0.007,-0.553,-0.842
1669054917488,2022-11-21T20:21:57.488,0.280,-0.005,-0.554,-0.842
1669054917528,2022-11-21T20:21:57.528,0.320,-0.007,-0.552,-0.842
1669054917568,2022-11-21T20:21:57.568,0.360,-0.008,-0.549,-0.840
1669054917608,2022-11-21T20:21:57.608,0.400,-0.009,-0.548,-0.841
1669054917648,2022-11-21T20:21:57.648,0.440,-0.005,-0.545,-0.844
1669054917688,2022-11-21T20:21:57.688,0.480,-0.003,-0.551,-0.841
1669054917728,2022-11-21T20:21:57.728,0.520,-0.003,-0.550,-0.842
1669054917768,2022-11-21T20:21:57.768,0.560,-0.002,-0.550,-0.843
1669054917808,2022-11-21T20:21:57.808,0.600,-0.006,-0.549,-0.842
1669054917848,2022-11-21T20:21:57.848,0.640,-0.006,-0.549,-0.843
1669054917888,2022-11-21T20:21:57.888,0.680,-0.004,-0.552,-0.841
1669054917928,2022-11-21T20:21:57.928,0.720,-0.005,-0.551,-0.843
1669054917968,2022-11-21T20:21:57.968,0.760,-0.009,-0.549,-0.841
1669054918008,2022-11-21T20:21:58.008,0.800,-0.011,-0.550,-0.840
1669054918048,2022-11-21T20:21:58.048,0.840,-0.009,-0.548,-0.842
1669054918088,2022-11-21T20:21:58.088,0.880,-0.006,-0.547,-0.844
1669054918128,2022-11-21T20:21:58.128,0.920,-0.007,-0.547,-0.845
1669054918168,2022-11-21T20:21:58.168,0.960,-0.008,-0.548,-0.844
1669054918208,2022-11-21T20:21:58.208,1.000,-0.005,-0.547,-0.840
1669054918248,2022-11-21T20:21:58.248,1.040,-0.008,-0.542,-0.844
1669054918288,2022-11-21T20:21:58.288,1.080,-0.010,-0.549,-0.845
1669054918328,2022-11-21T20:21:58.328,1.120,-0.016,-0.552,-0.840
1669054918368,2022-11-21T20:21:58.368,1.160,-0.021,-0.544,-0.842
1669054918408,2022-11-21T20:21:58.408,1.200,-0.007,-0.546,-0.846
1669054918448,2022-11-21T20:21:58.448,1.240,-0.015,-0.548,-0.844
1669054918488,2022-11-21T20:21:58.488,1.280,-0.021,-0.539,-0.846
1669054918528,2022-11-21T20:21:58.528,1.320,-0.029,-0.539,-0.847
1669054918568,2022-11-21T20:21:58.568,1.360,-0.025,-0.543,-0.847
1669054918608,2022-11-21T20:21:58.608,1.400,-0.023,-0.543,-0.849
1669054918648,2022-11-21T20:21:58.648,1.440,-0.028,-0.536,-0.849
1669054918688,2022-11-21T20:21:58.688,1.480,-0.040,-0.545,-0.846
1669054918728,2022-11-21T20:21:58.728,1.520,-0.027,-0.554,-0.844
1669054918768,2022-11-21T20:21:58.768,1.560,-0.028,-0.546,-0.845
1669054918808,2022-11-21T20:21:58.808,1.600,-0.041,-0.540,-0.844
1669054918848,2022-11-21T20:21:58.848,1.640,-0.027,-0.531,-0.855
1669054918888,2022-11-21T20:21:58.888,1.680,-0.026,-0.542,-0.850
1669054918928,2022-11-21T20:21:58.928,1.720,-0.038,-0.552,-0.843
1669054918968,2022-11-21T20:21:58.968,1.760,-0.036,-0.537,-0.848
1669054919008,2022-11-21T20:21:59.008,1.800,-0.026,-0.534,-0.853
1669054919048,2022-11-21T20:21:59.048,1.840,-0.033,-0.542,-0.850
1669054919088,2022-11-21T20:21:59.088,1.880,-0.046,-0.542,-0.847
1669054919128,2022-11-21T20:21:59.128,1.920,-0.040,-0.536,-0.849
1669054919168,2022-11-21T20:21:59.168,1.960,-0.031,-0.541,-0.851
1669054919208,2022-11-21T20:21:59.208,2.000,-0.038,-0.541,-0.851
1669054919248,2022-11-21T20:21:59.248,2.040,-0.038,-0.530,-0.853
1669054919288,2022-11-21T20:21:59.288,2.080,-0.038,-0.540,-0.850
1669054919328,2022-11-21T20:21:59.328,2.120,-0.039,-0.533,-0.853
1669054919368,2022-11-21T20:21:59.368,2.160,-0.042,-0.534,-0.849
1669054919408,2022-11-21T20:21:59.408,2.200,-0.038,-0.542,-0.849
1669054919448,2022-11-21T20:21:59.448,2.240,-0.041,-0.533,-0.854
1669054919488,2022-11-21T20:21:59.488,2.280,-0.039,-0.528,-0.854
1669054919528,2022-11-21T20:21:59.528,2.320,-0.038,-0.539,-0.846
1669054919568,2022-11-21T20:21:59.568,2.360,-0.033,-0.548,-0.845
1669054919608,2022-11-21T20:21:59.608,2.400,-0.035,-0.550,-0.846
1669054919648,2022-11-21T20:21:59.648,2.440,-0.041,-0.532,-0.850
1669054919688,2022-11-21T20:21:59.688,2.480,-0.039,-0.535,-0.849
1669054919728,2022-11-21T20:21:59.728,2.520,-0.039,-0.551,-0.843
1669054919768,2022-11-21T20:21:59.768,2.560,-0.039,-0.551,-0.843
1669054919808,2022-11-21T20:21:59.808,2.600,-0.034,-0.530,-0.853
1669054919848,2022-11-21T20:21:59.848,2.640,-0.036,-0.534,-0.852
1669054919888,2022-11-21T20:21:59.888,2.680,-0.036,-0.536,-0.851
1669054919928,2022-11-21T20:21:59.928,2.720,-0.037,-0.538,-0.849
1669054919968,2022-11-21T20:21:59.968,2.760,-0.037,-0.534,-0.850
1669054920008,2022-11-21T20:22:00.008,2.800,-0.037,-0.536,-0.849
1669054920048,2022-11-21T20:22:00.048,2.840,-0.035,-0.541,-0.849
1669054920088,2022-11-21T20:22:00.088,2.880,-0.037,-0.535,-0.851
1669054920128,2022-11-21T20:22:00.128,2.920,-0.037,-0.538,-0.850
1669054920168,2022-11-21T20:22:00.168,2.960,-0.035,-0.540,-0.848
1669054920208,2022-11-21T20:22:00.208,3.000,-0.033,-0.537,-0.849
1669054920248,2022-11-21T20:22:00.248,3.040,-0.036,-0.543,-0.846
1669054920288,2022-11-21T20:22:00.288,3.080,-0.033,-0.539,-0.849
1669054920328,2022-11-21T20:22:00.328,3.120,-0.034,-0.537,-0.849
1669054920368,2022-11-21T20:22:00.368,3.160,-0.032,-0.546,-0.845
1669054920408,2022-11-21T20:22:00.408,3.200,-0.033,-0.541,-0.848
1669054920448,2022-11-21T20:22:00.448,3.240,-0.036,-0.541,-0.847
1669054920488,2022-11-21T20:22:00.488,3.280,-0.034,-0.540,-0.848
1669054920528,2022-11-21T20:22:00.528,3.320,-0.030,-0.540,-0.848
1669054920568,2022-11-21T20:22:00.568,3.360,-0.032,-0.543,-0.846
1669054920608,2022-11-21T20:22:00.608,3.400,-0.032,-0.542,-0.847
1669054920648,2022-11-21T20:22:00.648,3.440,-0.034,-0.540,-0.850
1669054920688,2022-11-21T20:22:00.688,3.480,-0.033,-0.542,-0.848
1669054920728,2022-11-21T20:22:00.728,3.520,-0.032,-0.538,-0.849
1669054920768,2022-11-21T20:22:00.768,3.560,-0.030,-0.539,-0.851
1669054920808,2022-11-21T20:22:00.808,3.600,-0.034,-0.541,-0.847
1669054920848,2022-11-21T20:22:00.848,3.640,-0.034,-0.536,-0.848
1669054920888,2022-11-21T20:22:00.888,3.680,-0.033,-0.537,-0.849
1669054920928,2022-11-21T20:22:00.928,3.720,-0.032,-0.539,-0.850
1669054920968,2022-11-21T20:22:00.968,3.760,-0.033,-0.537,-0.850
1669054921008,2022-11-21T20:22:01.008,3.800,-0.034,-0.537,-0.850
1669054921048,2022-11-21T20:22:01.048,3.840,-0.035,-0.539,-0.850
1669054921088,2022-11-21T20:22:01.088,3.880,-0.034,-0.538,-0.850
1669054921128,2022-11-21T20:22:01.128,3.920,-0.034,-0.538,-0.849
1669054921168,2022-11-21T20:22:01.168,3.960,-0.035,-0.538,-0.849
1669054921208,2022-11-21T20:22:01.208,4.000,-0.035,-0.539,-0.849
1669054921248,2022-11-21T20:22:01.248,4.040,-0.037,-0.541,-0.848
1669054921288,2022-11-21T20:22:01.288,4.080,-0.035,-0.536,-0.851
1669054921328,2022-11-21T20:22:01.328,4.120,-0.032,-0.538,-0.850
1669054921368,2022-11-21T20:22:01.368,4.160,-0.035,-0.541,-0.848
1669054921408,2022-11-21T20:22:01.408,4.200,-0.035,-0.538,-0.849
1669054921448,2022-11-21T20:22:01.448,4.240,-0.036,-0.537,-0.849
1669054921488,2022-11-21T20:22:01.488,4.280,-0.035,-0.536,-0.850
1669054921528,2022-11-21T20:22:01.528,4.320,-0.032,-0.536,-0.853
1669054921568,2022-11-21T20:22:01.568,4.360,-0.035,-0.536,-0.850
1669054921608,2022-11-21T20:22:01.608,4.400,-0.033,-0.536,-0.852
1669054921648,2022-11-21T20:22:01.648,4.440,-0.040,-0.539,-0.848
1669054921688,2022-11-21T20:22:01.688,4.480,-0.037,-0.534,-0.851
1669054921728,2022-11-21T20:22:01.728,4.520,-0.034,-0.541,-0.850
1669054921768,2022-11-21T20:22:01.768,4.560,-0.031,-0.536,-0.853
1669054921808,2022-11-21T20:22:01.808,4.600,-0.033,-0.539,-0.850
1669054921848,2022-11-21T20:22:01.848,4.640,-0.032,-0.535,-0.851
1669054921888,2022-11-21T20:22:01.888,4.680,-0.034,-0.540,-0.849
1669054921928,2022-11-21T20:22:01.928,4.720,-0.029,-0.534,-0.853
1669054921968,2022-11-21T20:22:01.968,4.760,-0.032,-0.532,-0.852
1669054922008,2022-11-21T20:22:02.008,4.800,-0.040,-0.545,-0.847
1669054922048,2022-11-21T20:22:02.048,4.840,-0.032,-0.531,-0.853
1669054922088,2022-11-21T20:22:02.088,4.880,-0.029,-0.535,-0.851
