epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667146408699,2022-10-30T18.13.28.699,0.000,11.463,-9.207,18.537
1667146408739,2022-10-30T18.13.28.739,0.040,11.250,-7.896,17.866
1667146408778,2022-10-30T18.13.28.778,0.079,11.402,-2.530,15.000
1667146408818,2022-10-30T18.13.28.818,0.119,3.201,0.518,6.128
1667146408857,2022-10-30T18.13.28.857,0.158,0.244,4.421,-3.049
1667146408897,2022-10-30T18.13.28.897,0.198,-3.933,13.902,-6.890
1667146408936,2022-10-30T18.13.28.936,0.237,-4.390,20.823,-8.293
1667146408976,2022-10-30T18.13.28.976,0.277,-6.768,17.287,-6.829
1667146409015,2022-10-30T18.13.29.015,0.316,-17.957,11.646,-6.890
1667146409055,2022-10-30T18.13.29.055,0.356,-34.543,6.067,-12.774
1667146409095,2022-10-30T18.13.29.095,0.396,-96.890,-6.768,-20.427
1667146409134,2022-10-30T18.13.29.134,0.435,-252.530,-39.939,-14.360
1667146409174,2022-10-30T18.13.29.174,0.475,-288.598,-60.976,-14.543
1667146409213,2022-10-30T18.13.29.213,0.514,-72.470,-25.854,-57.957
1667146409253,2022-10-30T18.13.29.253,0.554,94.360,13.720,-110.152
1667146409292,2022-10-30T18.13.29.292,0.593,99.329,4.970,-111.220
1667146409333,2022-10-30T18.13.29.333,0.634,65.488,-41.982,-79.970
1667146409373,2022-10-30T18.13.29.373,0.674,57.774,-98.323,-39.695
1667146409412,2022-10-30T18.13.29.412,0.713,42.530,-130.854,14.085
1667146409452,2022-10-30T18.13.29.452,0.753,16.341,-116.890,46.768
1667146409492,2022-10-30T18.13.29.492,0.793,-7.744,-91.067,61.220
1667146409531,2022-10-30T18.13.29.531,0.832,-23.445,-31.402,56.524
1667146409571,2022-10-30T18.13.29.571,0.872,45.610,53.811,-12.134
1667146409610,2022-10-30T18.13.29.610,0.911,58.567,78.720,-37.378
1667146409650,2022-10-30T18.13.29.650,0.951,14.421,39.787,-15.427
1667146409689,2022-10-30T18.13.29.689,0.990,-14.482,-11.433,15.244
1667146409729,2022-10-30T18.13.29.729,1.030,-33.994,-33.262,21.982
1667146409768,2022-10-30T18.13.29.768,1.069,-45.335,-28.232,7.287
1667146409808,2022-10-30T18.13.29.808,1.109,-33.963,-14.299,-1.189
1667146409848,2022-10-30T18.13.29.848,1.149,-5.793,-0.366,-2.500
1667146409887,2022-10-30T18.13.29.887,1.188,9.573,12.988,3.506
1667146409927,2022-10-30T18.13.29.927,1.228,15.854,21.982,8.933
1667146409966,2022-10-30T18.13.29.966,1.267,6.067,22.409,7.957
1667146410006,2022-10-30T18.13.30.006,1.307,-16.311,11.280,7.744
1667146410045,2022-10-30T18.13.30.045,1.346,-17.774,-3.902,3.232
1667146410085,2022-10-30T18.13.30.085,1.386,-13.384,-11.128,-3.323
1667146410124,2022-10-30T18.13.30.124,1.425,-19.878,-7.317,-1.768
1667146410165,2022-10-30T18.13.30.165,1.466,-17.835,-6.006,-2.165
1667146410205,2022-10-30T18.13.30.205,1.506,-15.579,-7.378,-4.695
1667146410244,2022-10-30T18.13.30.244,1.545,-8.262,-4.939,-4.695
1667146410284,2022-10-30T18.13.30.284,1.585,11.768,-0.732,-8.659
1667146410324,2022-10-30T18.13.30.324,1.625,22.866,4.634,-10.518
1667146410363,2022-10-30T18.13.30.363,1.664,17.774,9.024,-6.890
1667146410403,2022-10-30T18.13.30.403,1.704,3.902,7.348,-2.226
1667146410442,2022-10-30T18.13.30.442,1.743,-10.305,0.976,0.518
1667146410482,2022-10-30T18.13.30.482,1.783,-15.732,-4.421,1.006
1667146410521,2022-10-30T18.13.30.521,1.822,-11.707,-5.183,-0.366
1667146410561,2022-10-30T18.13.30.561,1.862,-8.780,-1.799,-0.091
1667146410600,2022-10-30T18.13.30.600,1.901,-6.707,-0.457,-0.793
1667146410640,2022-10-30T18.13.30.640,1.941,-7.378,-0.244,0.061
1667146410680,2022-10-30T18.13.30.680,1.981,-6.402,-0.457,0.091
1667146410719,2022-10-30T18.13.30.719,2.020,-8.232,-1.220,-0.305
1667146410759,2022-10-30T18.13.30.759,2.060,-11.829,-0.823,0.366
1667146410798,2022-10-30T18.13.30.798,2.099,-7.683,-2.348,-1.433
1667146410838,2022-10-30T18.13.30.838,2.139,-9.116,-3.780,-1.982
1667146410877,2022-10-30T18.13.30.877,2.178,-11.037,-3.049,-0.579
1667146410917,2022-10-30T18.13.30.917,2.218,-4.817,-2.378,-1.159
1667146410956,2022-10-30T18.13.30.956,2.257,-2.165,-0.915,-0.488
1667146410997,2022-10-30T18.13.30.997,2.298,-3.506,-0.762,0.915
1667146411037,2022-10-30T18.13.31.037,2.338,-2.470,-1.372,0.488
1667146411077,2022-10-30T18.13.31.077,2.378,-0.854,-0.915,-0.122
1667146411116,2022-10-30T18.13.31.116,2.417,0.976,-0.030,-0.823
1667146411156,2022-10-30T18.13.31.156,2.457,2.470,-0.061,-1.463
1667146411195,2022-10-30T18.13.31.195,2.496,4.207,0.701,-1.280
1667146411235,2022-10-30T18.13.31.235,2.536,16.951,2.317,-4.238
1667146411274,2022-10-30T18.13.31.274,2.575,15.976,3.415,-2.866
1667146411314,2022-10-30T18.13.31.314,2.615,2.530,1.372,1.433
1667146411353,2022-10-30T18.13.31.353,2.654,-9.878,-4.116,3.110
1667146411393,2022-10-30T18.13.31.393,2.694,-11.524,-6.006,3.201
1667146411432,2022-10-30T18.13.31.432,2.733,-5.000,-4.268,2.287
1667146411472,2022-10-30T18.13.31.472,2.773,-2.348,-1.738,2.439
1667146411512,2022-10-30T18.13.31.512,2.813,-1.311,-0.701,2.073
1667146411551,2022-10-30T18.13.31.551,2.852,-0.305,-1.646,0.579
1667146411591,2022-10-30T18.13.31.591,2.892,-2.652,-2.348,1.067
1667146411630,2022-10-30T18.13.31.630,2.931,-2.043,-1.982,1.433
1667146411670,2022-10-30T18.13.31.670,2.971,0.701,-1.463,1.463
1667146411709,2022-10-30T18.13.31.709,3.010,-0.701,-1.555,2.287
1667146411749,2022-10-30T18.13.31.749,3.050,-0.396,-2.043,1.524
1667146411788,2022-10-30T18.13.31.788,3.089,-0.061,-1.555,0.640
1667146411829,2022-10-30T18.13.31.829,3.130,-0.091,-0.732,0.244
1667146411869,2022-10-30T18.13.31.869,3.170,-0.030,0.396,0.366
1667146411909,2022-10-30T18.13.31.909,3.210,0.884,-0.488,1.311
1667146411948,2022-10-30T18.13.31.948,3.249,1.402,-1.280,0.915
1667146411988,2022-10-30T18.13.31.988,3.289,2.104,-0.122,-0.091
1667146412027,2022-10-30T18.13.32.027,3.328,1.128,-0.518,-0.183
1667146412067,2022-10-30T18.13.32.067,3.368,-1.280,-1.067,0.549
1667146412106,2022-10-30T18.13.32.106,3.407,0.152,-0.701,0.091
1667146412146,2022-10-30T18.13.32.146,3.447,-0.854,-0.335,-0.152
1667146412185,2022-10-30T18.13.32.185,3.486,-1.098,-0.274,-0.305
1667146412225,2022-10-30T18.13.32.225,3.526,1.738,-0.091,-1.220
1667146412265,2022-10-30T18.13.32.265,3.566,-0.183,0.671,-0.549
1667146412304,2022-10-30T18.13.32.304,3.605,-0.488,1.372,-0.213
1667146412344,2022-10-30T18.13.32.344,3.645,0.061,2.012,0.305
1667146412383,2022-10-30T18.13.32.383,3.684,0.244,0.762,-0.091
1667146412423,2022-10-30T18.13.32.423,3.724,-2.073,-0.091,-0.061
1667146412462,2022-10-30T18.13.32.462,3.763,-1.006,-0.091,-0.945
1667146412502,2022-10-30T18.13.32.502,3.803,-1.037,0.122,-0.976
1667146412541,2022-10-30T18.13.32.541,3.842,-1.555,-0.305,-0.579
1667146412581,2022-10-30T18.13.32.581,3.882,-1.921,-0.122,-0.915
1667146412620,2022-10-30T18.13.32.620,3.921,-2.957,0.366,-0.244
1667146412661,2022-10-30T18.13.32.661,3.962,0.183,-0.366,-0.244
1667146412701,2022-10-30T18.13.32.701,4.002,1.098,0.823,-0.457
1667146412741,2022-10-30T18.13.32.741,4.042,-2.073,0.152,-0.061
1667146412780,2022-10-30T18.13.32.780,4.081,-2.104,-1.189,-1.098
1667146412820,2022-10-30T18.13.32.820,4.121,-1.128,-0.091,-1.280
1667146412859,2022-10-30T18.13.32.859,4.160,-0.152,0.488,-0.549
1667146412899,2022-10-30T18.13.32.899,4.200,0.549,0.610,0.030
1667146412938,2022-10-30T18.13.32.938,4.239,-1.494,1.159,0.000
1667146412978,2022-10-30T18.13.32.978,4.279,-1.585,4.360,-1.098
1667146413017,2022-10-30T18.13.33.017,4.318,0.030,1.372,-1.189
1667146413057,2022-10-30T18.13.33.057,4.358,-0.549,-1.555,-0.091
1667146413097,2022-10-30T18.13.33.097,4.398,-0.396,-1.220,0.274
1667146413136,2022-10-30T18.13.33.136,4.437,-0.640,-1.433,0.396
1667146413176,2022-10-30T18.13.33.176,4.477,-0.152,-0.518,0.274
1667146413215,2022-10-30T18.13.33.215,4.516,-0.610,-0.701,0.488
1667146413255,2022-10-30T18.13.33.255,4.556,-1.037,-0.701,0.549
1667146413294,2022-10-30T18.13.33.294,4.595,-2.561,1.280,0.671
1667146413334,2022-10-30T18.13.33.334,4.635,-1.616,1.280,0.640
1667146413373,2022-10-30T18.13.33.373,4.674,0.945,0.061,0.732
1667146413413,2022-10-30T18.13.33.413,4.714,0.854,-0.976,0.305
1667146413453,2022-10-30T18.13.33.453,4.754,-0.671,-0.396,-0.122
1667146413494,2022-10-30T18.13.33.494,4.795,-0.732,0.152,-0.762
1667146413533,2022-10-30T18.13.33.533,4.834,-0.335,-0.030,-0.396
1667146413573,2022-10-30T18.13.33.573,4.874,-0.579,-0.366,0.274
