epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668070202666,2022-11-10T10.50.02.666,0.000,-0.230,-0.223,0.971
1668070202707,2022-11-10T10.50.02.707,0.041,-0.231,-0.225,0.981
1668070202746,2022-11-10T10.50.02.746,0.080,-0.235,-0.224,0.979
1668070202787,2022-11-10T10.50.02.787,0.121,-0.235,-0.227,0.977
1668070202827,2022-11-10T10.50.02.827,0.161,-0.229,-0.222,0.980
1668070202868,2022-11-10T10.50.02.868,0.202,-0.229,-0.219,0.978
1668070202907,2022-11-10T10.50.02.907,0.241,-0.234,-0.226,0.977
1668070202948,2022-11-10T10.50.02.948,0.282,-0.232,-0.219,0.978
1668070202988,2022-11-10T10.50.02.988,0.322,-0.233,-0.221,0.978
1668070203028,2022-11-10T10.50.03.028,0.362,-0.233,-0.222,0.980
1668070203069,2022-11-10T10.50.03.069,0.403,-0.230,-0.223,0.978
1668070203108,2022-11-10T10.50.03.108,0.442,-0.229,-0.224,0.979
1668070203149,2022-11-10T10.50.03.149,0.483,-0.234,-0.223,0.979
1668070203189,2022-11-10T10.50.03.189,0.523,-0.234,-0.219,0.977
1668070203230,2022-11-10T10.50.03.230,0.564,-0.231,-0.226,0.978
1668070203269,2022-11-10T10.50.03.269,0.603,-0.227,-0.223,0.981
1668070203310,2022-11-10T10.50.03.310,0.644,-0.233,-0.222,0.978
1668070203350,2022-11-10T10.50.03.350,0.684,-0.232,-0.220,0.979
1668070203391,2022-11-10T10.50.03.391,0.725,-0.230,-0.224,0.980
1668070203430,2022-11-10T10.50.03.430,0.764,-0.232,-0.222,0.979
1668070203471,2022-11-10T10.50.03.471,0.805,-0.233,-0.220,0.978
1668070203511,2022-11-10T10.50.03.511,0.845,-0.232,-0.223,0.979
1668070203551,2022-11-10T10.50.03.551,0.885,-0.232,-0.221,0.979
1668070203592,2022-11-10T10.50.03.592,0.926,-0.230,-0.221,0.981
1668070203631,2022-11-10T10.50.03.631,0.965,-0.232,-0.229,0.979
1668070203672,2022-11-10T10.50.03.672,1.006,-0.233,-0.222,0.980
1668070203712,2022-11-10T10.50.03.712,1.046,-0.231,-0.221,0.979
1668070203753,2022-11-10T10.50.03.753,1.087,-0.233,-0.226,0.978
1668070203792,2022-11-10T10.50.03.792,1.126,-0.228,-0.238,0.979
1668070203833,2022-11-10T10.50.03.833,1.167,-0.231,-0.231,0.975
1668070203873,2022-11-10T10.50.03.873,1.207,-0.236,-0.209,0.981
1668070203914,2022-11-10T10.50.03.914,1.248,-0.238,-0.218,0.979
1668070203953,2022-11-10T10.50.03.953,1.287,-0.240,-0.215,0.979
1668070203994,2022-11-10T10.50.03.994,1.328,-0.235,-0.215,0.980
1668070204034,2022-11-10T10.50.04.034,1.368,-0.233,-0.217,0.979
1668070204073,2022-11-10T10.50.04.073,1.407,-0.230,-0.224,0.979
1668070204115,2022-11-10T10.50.04.115,1.449,-0.232,-0.221,0.980
1668070204154,2022-11-10T10.50.04.154,1.488,-0.231,-0.220,0.981
1668070204195,2022-11-10T10.50.04.195,1.529,-0.232,-0.220,0.980
1668070204235,2022-11-10T10.50.04.235,1.569,-0.232,-0.218,0.980
1668070204276,2022-11-10T10.50.04.276,1.610,-0.235,-0.220,0.979
1668070204315,2022-11-10T10.50.04.315,1.649,-0.231,-0.218,0.981
1668070204356,2022-11-10T10.50.04.356,1.690,-0.233,-0.219,0.979
1668070204396,2022-11-10T10.50.04.396,1.730,-0.230,-0.223,0.980
1668070204437,2022-11-10T10.50.04.437,1.771,-0.233,-0.220,0.980
1668070204476,2022-11-10T10.50.04.476,1.810,-0.232,-0.222,0.980
1668070204517,2022-11-10T10.50.04.517,1.851,-0.231,-0.224,0.980
1668070204557,2022-11-10T10.50.04.557,1.891,-0.232,-0.224,0.979
1668070204598,2022-11-10T10.50.04.598,1.932,-0.231,-0.224,0.979
1668070204637,2022-11-10T10.50.04.637,1.971,-0.233,-0.219,0.980
