epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668438029934,2022-11-14T17.00.29.934,0.000,-0.122,0.244,0.305
1668438029973,2022-11-14T17.00.29.973,0.039,0.061,0.091,-0.152
1668438030014,2022-11-14T17.00.30.014,0.080,-0.030,0.183,0.000
1668438030054,2022-11-14T17.00.30.054,0.120,0.000,0.213,0.122
1668438030095,2022-11-14T17.00.30.095,0.161,0.000,0.152,0.061
1668438030134,2022-11-14T17.00.30.134,0.200,-0.091,0.122,0.030
1668438030175,2022-11-14T17.00.30.175,0.241,-0.030,0.152,0.030
1668438030215,2022-11-14T17.00.30.215,0.281,-0.061,0.122,0.030
1668438030256,2022-11-14T17.00.30.256,0.322,-0.061,0.152,0.061
1668438030296,2022-11-14T17.00.30.296,0.362,-0.122,0.152,0.061
1668438030337,2022-11-14T17.00.30.337,0.403,-0.030,0.183,0.061
1668438030376,2022-11-14T17.00.30.376,0.442,-0.091,0.152,0.000
1668438030416,2022-11-14T17.00.30.416,0.482,-0.122,0.091,0.000
1668438030457,2022-11-14T17.00.30.457,0.523,-0.030,0.122,-0.061
1668438030496,2022-11-14T17.00.30.496,0.562,-0.427,0.061,-0.091
1668438030537,2022-11-14T17.00.30.537,0.603,-0.152,0.000,0.061
1668438030577,2022-11-14T17.00.30.577,0.643,0.183,0.030,0.000
1668438030618,2022-11-14T17.00.30.618,0.684,-0.061,0.122,0.000
1668438030657,2022-11-14T17.00.30.657,0.723,-0.183,0.122,0.000
1668438030698,2022-11-14T17.00.30.698,0.764,-0.152,0.061,0.091
1668438030738,2022-11-14T17.00.30.738,0.804,0.000,0.061,0.030
1668438030779,2022-11-14T17.00.30.779,0.845,-0.122,0.152,0.000
1668438030819,2022-11-14T17.00.30.819,0.885,0.000,0.183,0.122
1668438030860,2022-11-14T17.00.30.860,0.926,0.122,0.213,0.152
1668438030899,2022-11-14T17.00.30.899,0.965,0.122,0.183,0.122
1668438030940,2022-11-14T17.00.30.940,1.006,-0.061,0.152,0.061
1668438030980,2022-11-14T17.00.30.980,1.046,-0.030,0.152,0.091
1668438031019,2022-11-14T17.00.31.019,1.085,0.000,0.152,0.091
1668438031060,2022-11-14T17.00.31.060,1.126,-0.183,0.122,0.030
1668438031100,2022-11-14T17.00.31.100,1.166,-0.061,0.152,0.000
1668438031141,2022-11-14T17.00.31.141,1.207,-0.213,0.152,0.000
1668438031180,2022-11-14T17.00.31.180,1.246,-0.122,0.183,0.000
1668438031221,2022-11-14T17.00.31.221,1.287,-0.030,0.122,-0.030
1668438031261,2022-11-14T17.00.31.261,1.327,-0.213,0.122,0.000
1668438031302,2022-11-14T17.00.31.302,1.368,0.000,0.213,0.061
1668438031341,2022-11-14T17.00.31.341,1.407,-0.122,0.183,-0.091
1668438031382,2022-11-14T17.00.31.382,1.448,-0.274,0.061,0.000
1668438031422,2022-11-14T17.00.31.422,1.488,0.183,0.000,0.061
1668438031463,2022-11-14T17.00.31.463,1.529,-0.030,0.000,-0.030
1668438031503,2022-11-14T17.00.31.503,1.569,-0.152,-0.061,-0.091
1668438031544,2022-11-14T17.00.31.544,1.610,-0.274,0.061,-0.122
1668438031583,2022-11-14T17.00.31.583,1.649,-0.152,0.061,0.061
1668438031623,2022-11-14T17.00.31.623,1.689,0.061,0.091,0.061
1668438031664,2022-11-14T17.00.31.664,1.730,0.030,0.122,0.061
1668438031703,2022-11-14T17.00.31.703,1.769,0.000,0.091,0.061
