epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667737118769,2022-11-06T14.18.38.769,0.000,-0.610,0.183,-0.091
1667737118810,2022-11-06T14.18.38.810,0.041,-0.976,0.549,-0.030
1667737118851,2022-11-06T14.18.38.851,0.082,-0.915,1.128,-0.335
1667737118890,2022-11-06T14.18.38.890,0.121,-0.274,0.122,-0.030
1667737118931,2022-11-06T14.18.38.931,0.162,-0.671,0.061,0.000
1667737118972,2022-11-06T14.18.38.972,0.203,-1.006,0.915,-0.488
1667737119012,2022-11-06T14.18.39.012,0.243,-0.610,0.488,-0.152
1667737119053,2022-11-06T14.18.39.053,0.284,-0.457,0.518,0.335
1667737119094,2022-11-06T14.18.39.094,0.325,-0.945,0.579,0.152
1667737119135,2022-11-06T14.18.39.135,0.366,0.152,-0.671,0.610
1667737119174,2022-11-06T14.18.39.174,0.405,0.000,0.884,0.701
1667737119215,2022-11-06T14.18.39.215,0.446,-0.579,1.524,0.335
1667737119256,2022-11-06T14.18.39.256,0.487,-0.549,0.518,0.640
1667737119297,2022-11-06T14.18.39.297,0.528,-0.640,0.671,-0.274
1667737119337,2022-11-06T14.18.39.337,0.568,-0.579,0.732,-0.152
1667737119378,2022-11-06T14.18.39.378,0.609,-0.701,0.488,0.030
1667737119419,2022-11-06T14.18.39.419,0.650,-0.732,0.305,-0.122
1667737119460,2022-11-06T14.18.39.460,0.691,-0.488,0.518,0.000
1667737119500,2022-11-06T14.18.39.500,0.731,-0.457,0.518,-0.091
1667737119541,2022-11-06T14.18.39.541,0.772,-1.006,0.457,-0.305
1667737119582,2022-11-06T14.18.39.582,0.813,-0.549,0.457,-0.152
1667737119623,2022-11-06T14.18.39.623,0.854,-0.305,0.366,-0.152
1667737119662,2022-11-06T14.18.39.662,0.893,-0.945,0.854,-0.122
1667737119703,2022-11-06T14.18.39.703,0.934,-0.671,0.427,-0.030
1667737119744,2022-11-06T14.18.39.744,0.975,-0.976,0.976,-0.305
1667737119784,2022-11-06T14.18.39.784,1.015,-0.945,0.762,-0.427
1667737119825,2022-11-06T14.18.39.825,1.056,-0.671,0.488,0.000
1667737119866,2022-11-06T14.18.39.866,1.097,-0.976,0.762,-0.305
1667737119907,2022-11-06T14.18.39.907,1.138,-0.213,0.427,0.091
1667737119946,2022-11-06T14.18.39.946,1.177,-0.854,0.701,-0.244
1667737119987,2022-11-06T14.18.39.987,1.218,-0.671,0.640,-0.122
1667737120028,2022-11-06T14.18.40.028,1.259,-0.213,0.366,-0.305
1667737120069,2022-11-06T14.18.40.069,1.300,-0.305,0.488,0.030
1667737120109,2022-11-06T14.18.40.109,1.340,-0.549,0.427,-0.183
1667737120150,2022-11-06T14.18.40.150,1.381,-0.701,0.732,-0.122
1667737120191,2022-11-06T14.18.40.191,1.422,-0.610,0.396,0.091
1667737120232,2022-11-06T14.18.40.232,1.463,-0.579,0.457,-0.274
1667737120272,2022-11-06T14.18.40.272,1.503,-0.122,0.488,0.122
1667737120313,2022-11-06T14.18.40.313,1.544,-0.549,0.427,-0.122
1667737120354,2022-11-06T14.18.40.354,1.585,-1.006,0.732,-0.366
1667737120393,2022-11-06T14.18.40.393,1.624,-0.244,0.427,-0.244
1667737120434,2022-11-06T14.18.40.434,1.665,-0.640,0.457,-0.152
1667737120475,2022-11-06T14.18.40.475,1.706,-0.610,0.396,-0.091
1667737120516,2022-11-06T14.18.40.516,1.747,-0.823,0.671,-0.183
1667737120556,2022-11-06T14.18.40.556,1.787,-0.396,0.396,-0.061
1667737120597,2022-11-06T14.18.40.597,1.828,-0.579,0.488,-0.183
1667737120638,2022-11-06T14.18.40.638,1.869,-0.457,0.457,0.000
1667737120679,2022-11-06T14.18.40.679,1.910,-0.488,0.488,-0.061
1667737120718,2022-11-06T14.18.40.718,1.949,-0.610,0.457,-0.091
1667737120759,2022-11-06T14.18.40.759,1.990,-0.701,0.366,0.152
1667737120800,2022-11-06T14.18.40.800,2.031,-0.701,0.518,-0.213
1667737120841,2022-11-06T14.18.40.841,2.072,-0.274,0.366,-0.091
1667737120881,2022-11-06T14.18.40.881,2.112,-0.335,0.152,0.274
1667737120922,2022-11-06T14.18.40.922,2.153,-0.305,-0.610,0.091
1667737120963,2022-11-06T14.18.40.963,2.194,1.494,-0.915,-0.183
