epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667121103130,2022-10-30T11.11.43.130,0.000,1.768,-3.171,-2.988
1667121103170,2022-10-30T11.11.43.170,0.040,1.585,-3.354,-3.323
1667121103209,2022-10-30T11.11.43.209,0.079,1.189,-4.329,-3.232
1667121103249,2022-10-30T11.11.43.249,0.119,0.427,-6.159,-2.927
1667121103288,2022-10-30T11.11.43.288,0.158,0.701,-6.829,-1.829
1667121103328,2022-10-30T11.11.43.328,0.198,-0.152,-6.829,-0.183
1667121103367,2022-10-30T11.11.43.367,0.237,-0.915,-5.122,0.884
1667121103407,2022-10-30T11.11.43.407,0.277,-0.396,-3.963,0.976
1667121103446,2022-10-30T11.11.43.446,0.316,-0.213,-3.902,0.427
1667121103486,2022-10-30T11.11.43.486,0.356,-0.213,-2.652,0.000
1667121103526,2022-10-30T11.11.43.526,0.396,0.396,-0.976,-0.549
1667121103565,2022-10-30T11.11.43.565,0.435,2.835,-1.524,-3.445
1667121103605,2022-10-30T11.11.43.605,0.475,6.128,0.701,-10.396
1667121103644,2022-10-30T11.11.43.644,0.514,14.573,4.329,-20.427
1667121103684,2022-10-30T11.11.43.684,0.554,11.707,-0.976,-18.415
1667121103723,2022-10-30T11.11.43.723,0.593,0.549,-8.659,-7.927
1667121103763,2022-10-30T11.11.43.763,0.633,-3.079,-7.409,-2.348
1667121103802,2022-10-30T11.11.43.802,0.672,5.610,-1.585,-4.848
1667121103842,2022-10-30T11.11.43.842,0.712,5.579,-3.811,-0.671
1667121103883,2022-10-30T11.11.43.883,0.753,-1.250,-9.268,9.329
1667121103923,2022-10-30T11.11.43.923,0.793,-0.091,-9.512,8.963
1667121103962,2022-10-30T11.11.43.962,0.832,2.073,-6.189,6.860
1667121104002,2022-10-30T11.11.44.002,0.872,-2.957,-2.927,8.902
1667121104041,2022-10-30T11.11.44.041,0.911,-3.933,-1.768,6.159
1667121104081,2022-10-30T11.11.44.081,0.951,-1.921,-2.195,1.098
1667121104120,2022-10-30T11.11.44.120,0.990,-1.189,-4.116,-1.768
1667121104160,2022-10-30T11.11.44.160,1.030,0.335,-4.695,-3.963
1667121104199,2022-10-30T11.11.44.199,1.069,1.250,-3.659,-4.299
1667121104239,2022-10-30T11.11.44.239,1.109,0.671,-2.988,-1.189
1667121104279,2022-10-30T11.11.44.279,1.149,-0.762,-2.012,1.890
1667121104318,2022-10-30T11.11.44.318,1.188,-0.610,-0.274,1.067
1667121104358,2022-10-30T11.11.44.358,1.228,-0.091,1.402,-0.854
1667121104397,2022-10-30T11.11.44.397,1.267,0.122,1.524,-2.226
1667121104437,2022-10-30T11.11.44.437,1.307,-1.006,-1.159,-1.311
1667121104476,2022-10-30T11.11.44.476,1.346,-0.640,-1.098,-1.037
1667121104516,2022-10-30T11.11.44.516,1.386,1.006,2.195,-1.829
1667121104555,2022-10-30T11.11.44.555,1.425,-0.366,1.860,0.701
1667121104595,2022-10-30T11.11.44.595,1.465,-2.348,-1.402,3.079
1667121104634,2022-10-30T11.11.44.634,1.504,-1.067,-3.567,0.335
1667121104674,2022-10-30T11.11.44.674,1.544,2.774,-2.652,-3.323
1667121104714,2022-10-30T11.11.44.714,1.584,2.195,-1.189,-0.762
1667121104755,2022-10-30T11.11.44.755,1.625,-1.037,-0.183,2.652
1667121104794,2022-10-30T11.11.44.794,1.664,0.213,0.396,0.854
