epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668440324546,2022-11-14T17.38.44.546,0.000,-0.549,-0.152,-0.061
1668440324587,2022-11-14T17.38.44.587,0.041,-0.030,-0.091,-0.091
1668440324626,2022-11-14T17.38.44.626,0.080,0.091,0.183,0.152
1668440324667,2022-11-14T17.38.44.667,0.121,0.152,0.274,0.213
1668440324707,2022-11-14T17.38.44.707,0.161,0.152,0.305,0.305
1668440324748,2022-11-14T17.38.44.748,0.202,0.244,0.335,0.305
1668440324787,2022-11-14T17.38.44.787,0.241,-0.091,0.213,0.122
1668440324828,2022-11-14T17.38.44.828,0.282,-0.122,0.061,0.061
1668440324868,2022-11-14T17.38.44.868,0.322,0.030,0.122,0.183
1668440324909,2022-11-14T17.38.44.909,0.363,0.183,0.305,0.244
1668440324948,2022-11-14T17.38.44.948,0.402,-0.061,0.183,0.091
1668440324990,2022-11-14T17.38.44.990,0.444,-0.091,0.213,0.122
1668440325029,2022-11-14T17.38.45.029,0.483,-0.152,0.152,0.061
1668440325070,2022-11-14T17.38.45.070,0.524,-0.366,0.000,-0.122
1668440325110,2022-11-14T17.38.45.110,0.564,0.061,0.030,0.030
1668440325149,2022-11-14T17.38.45.149,0.603,0.030,0.000,-0.061
1668440325190,2022-11-14T17.38.45.190,0.644,-0.305,0.061,-0.030
1668440325230,2022-11-14T17.38.45.230,0.684,-0.213,0.183,0.091
1668440325271,2022-11-14T17.38.45.271,0.725,0.152,0.274,0.213
1668440325310,2022-11-14T17.38.45.310,0.764,0.000,0.183,0.091
1668440325351,2022-11-14T17.38.45.351,0.805,-0.274,0.030,-0.122
1668440325391,2022-11-14T17.38.45.391,0.845,-0.091,0.152,0.061
1668440325432,2022-11-14T17.38.45.432,0.886,-0.122,0.152,0.091
1668440325471,2022-11-14T17.38.45.471,0.925,-0.091,0.152,0.091
1668440325512,2022-11-14T17.38.45.512,0.966,-0.152,0.122,0.000
1668440325552,2022-11-14T17.38.45.552,1.006,-0.244,0.122,0.000
1668440325593,2022-11-14T17.38.45.593,1.047,-0.091,0.213,0.152
1668440325633,2022-11-14T17.38.45.633,1.087,0.000,0.244,0.152
1668440325674,2022-11-14T17.38.45.674,1.128,-0.061,0.183,0.061
1668440325713,2022-11-14T17.38.45.713,1.167,-0.213,0.122,-0.030
1668440325753,2022-11-14T17.38.45.753,1.207,-0.030,0.183,0.091
1668440325794,2022-11-14T17.38.45.794,1.248,0.000,0.213,0.122
1668440325833,2022-11-14T17.38.45.833,1.287,-0.122,0.061,0.000
1668440325874,2022-11-14T17.38.45.874,1.328,-0.122,0.061,0.061
1668440325914,2022-11-14T17.38.45.914,1.368,-0.183,0.061,0.030
1668440325955,2022-11-14T17.38.45.955,1.409,-0.183,0.091,0.030
1668440325994,2022-11-14T17.38.45.994,1.448,0.061,0.091,0.183
1668440326035,2022-11-14T17.38.46.035,1.489,0.061,-0.030,0.122
1668440326075,2022-11-14T17.38.46.075,1.529,-0.061,0.091,0.122
1668440326116,2022-11-14T17.38.46.116,1.570,-0.244,0.152,0.000
1668440326156,2022-11-14T17.38.46.156,1.610,-0.274,0.030,-0.061
1668440326197,2022-11-14T17.38.46.197,1.651,-0.091,0.091,0.000
