epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667567406139,2022-11-04T15.10.06.139,0.000,0.134,-0.048,0.996
1667567406179,2022-11-04T15.10.06.179,0.040,0.135,-0.053,1.018
1667567406220,2022-11-04T15.10.06.220,0.081,0.113,-0.062,0.992
1667567406259,2022-11-04T15.10.06.259,0.120,0.112,-0.062,1.003
1667567406300,2022-11-04T15.10.06.300,0.161,0.115,-0.077,1.010
1667567406340,2022-11-04T15.10.06.340,0.201,0.102,-0.089,0.993
1667567406379,2022-11-04T15.10.06.379,0.240,0.099,-0.080,0.995
1667567406420,2022-11-04T15.10.06.420,0.281,0.113,-0.084,1.013
1667567406460,2022-11-04T15.10.06.460,0.321,0.114,-0.088,1.012
1667567406501,2022-11-04T15.10.06.501,0.362,0.107,-0.089,1.004
1667567406541,2022-11-04T15.10.06.541,0.402,0.103,-0.082,1.001
1667567406582,2022-11-04T15.10.06.582,0.443,0.111,-0.083,1.009
1667567406621,2022-11-04T15.10.06.621,0.482,0.112,-0.090,1.009
1667567406662,2022-11-04T15.10.06.662,0.523,0.106,-0.085,1.005
1667567406702,2022-11-04T15.10.06.702,0.563,0.111,-0.085,1.007
1667567406743,2022-11-04T15.10.06.743,0.604,0.113,-0.087,1.009
1667567406782,2022-11-04T15.10.06.782,0.643,0.108,-0.081,1.007
1667567406823,2022-11-04T15.10.06.823,0.684,0.109,-0.084,1.007
1667567406863,2022-11-04T15.10.06.863,0.724,0.112,-0.085,1.008
1667567406904,2022-11-04T15.10.06.904,0.765,0.113,-0.085,1.008
1667567406943,2022-11-04T15.10.06.943,0.804,0.109,-0.084,1.006
1667567406983,2022-11-04T15.10.06.983,0.844,0.110,-0.085,1.006
1667567407024,2022-11-04T15.10.07.024,0.885,0.111,-0.085,1.009
1667567407064,2022-11-04T15.10.07.064,0.925,0.107,-0.083,1.007
1667567407105,2022-11-04T15.10.07.105,0.966,0.109,-0.083,1.004
1667567407144,2022-11-04T15.10.07.144,1.005,0.115,-0.077,1.009
1667567407185,2022-11-04T15.10.07.185,1.046,0.104,-0.084,1.009
1667567407225,2022-11-04T15.10.07.225,1.086,0.101,-0.087,1.005
1667567407266,2022-11-04T15.10.07.266,1.127,0.110,-0.081,1.003
1667567407305,2022-11-04T15.10.07.305,1.166,0.120,-0.078,1.013
1667567407346,2022-11-04T15.10.07.346,1.207,0.104,-0.099,1.010
1667567407386,2022-11-04T15.10.07.386,1.247,0.099,-0.087,1.000
1667567407427,2022-11-04T15.10.07.427,1.288,0.115,-0.076,1.012
1667567407466,2022-11-04T15.10.07.466,1.327,0.109,-0.095,1.008
1667567407507,2022-11-04T15.10.07.507,1.368,0.106,-0.094,1.005
1667567407547,2022-11-04T15.10.07.547,1.408,0.113,-0.081,1.010
1667567407586,2022-11-04T15.10.07.586,1.447,0.108,-0.085,1.004
1667567407627,2022-11-04T15.10.07.627,1.488,0.110,-0.089,1.010
1667567407667,2022-11-04T15.10.07.667,1.528,0.105,-0.081,1.006
1667567407708,2022-11-04T15.10.07.708,1.569,0.106,-0.082,1.003
1667567407748,2022-11-04T15.10.07.748,1.609,0.111,-0.083,1.009
1667567407789,2022-11-04T15.10.07.789,1.650,0.113,-0.083,1.010
1667567407828,2022-11-04T15.10.07.828,1.689,0.111,-0.082,1.007
1667567407869,2022-11-04T15.10.07.869,1.730,0.106,-0.080,1.006
1667567407909,2022-11-04T15.10.07.909,1.770,0.109,-0.078,1.006
1667567407950,2022-11-04T15.10.07.950,1.811,0.114,-0.082,1.009
1667567407989,2022-11-04T15.10.07.989,1.850,0.110,-0.083,1.004
1667567408030,2022-11-04T15.10.08.030,1.891,0.111,-0.077,1.009
1667567408070,2022-11-04T15.10.08.070,1.931,0.115,-0.082,1.010
1667567408109,2022-11-04T15.10.08.109,1.970,0.109,-0.089,1.006
1667567408150,2022-11-04T15.10.08.150,2.011,0.108,-0.080,1.005
1667567408190,2022-11-04T15.10.08.190,2.051,0.115,-0.079,1.008
1667567408231,2022-11-04T15.10.08.231,2.092,0.115,-0.080,1.010
1667567408271,2022-11-04T15.10.08.271,2.132,0.110,-0.086,1.006
1667567408312,2022-11-04T15.10.08.312,2.173,0.109,-0.081,1.005
