epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668456034820,2022-11-14T22.00.34.820,0.000,0.391,-0.558,-0.703
1668456034860,2022-11-14T22.00.34.860,0.040,0.365,-0.613,-0.776
1668456034899,2022-11-14T22.00.34.899,0.079,0.228,-0.585,-0.847
1668456034939,2022-11-14T22.00.34.939,0.119,0.159,-0.579,-0.805
1668456034978,2022-11-14T22.00.34.978,0.158,0.198,-0.536,-0.807
1668456035018,2022-11-14T22.00.35.018,0.198,0.352,-0.476,-0.893
1668456035058,2022-11-14T22.00.35.058,0.238,0.380,-0.348,-0.850
1668456035097,2022-11-14T22.00.35.097,0.277,0.386,-0.473,-0.831
1668456035137,2022-11-14T22.00.35.137,0.317,0.334,-0.483,-0.799
1668456035178,2022-11-14T22.00.35.178,0.358,0.370,-0.452,-0.850
1668456035217,2022-11-14T22.00.35.217,0.397,0.333,-0.514,-0.815
1668456035257,2022-11-14T22.00.35.257,0.437,0.290,-0.500,-0.847
1668456035296,2022-11-14T22.00.35.296,0.476,0.254,-0.362,-0.899
1668456035336,2022-11-14T22.00.35.336,0.516,0.313,-0.326,-0.910
1668456035375,2022-11-14T22.00.35.375,0.555,0.339,-0.486,-0.843
1668456035415,2022-11-14T22.00.35.415,0.595,0.325,-0.560,-0.820
1668456035455,2022-11-14T22.00.35.455,0.635,0.312,-0.432,-0.884
1668456035494,2022-11-14T22.00.35.494,0.674,0.324,-0.454,-0.881
1668456035534,2022-11-14T22.00.35.534,0.714,0.302,-0.496,-0.859
1668456035573,2022-11-14T22.00.35.573,0.753,0.292,-0.458,-0.881
1668456035613,2022-11-14T22.00.35.613,0.793,0.305,-0.411,-0.954
1668456035652,2022-11-14T22.00.35.652,0.832,0.382,-0.227,-0.884
1668456035692,2022-11-14T22.00.35.692,0.872,0.445,-0.096,-0.837
1668456035731,2022-11-14T22.00.35.731,0.911,0.484,0.073,-0.806
1668456035771,2022-11-14T22.00.35.771,0.951,0.540,0.169,-0.797
1668456035811,2022-11-14T22.00.35.811,0.991,0.502,0.023,-0.853
1668456035850,2022-11-14T22.00.35.850,1.030,0.542,0.117,-0.897
1668456035890,2022-11-14T22.00.35.890,1.070,0.484,0.017,-0.828
1668456035929,2022-11-14T22.00.35.929,1.109,0.399,-0.101,-0.823
1668456035969,2022-11-14T22.00.35.969,1.149,0.406,-0.089,-0.899
1668456036008,2022-11-14T22.00.36.008,1.188,0.341,-0.083,-0.992
1668456036049,2022-11-14T22.00.36.049,1.229,0.333,-0.118,-1.098
1668456036089,2022-11-14T22.00.36.089,1.269,0.368,-0.025,-0.916
1668456036128,2022-11-14T22.00.36.128,1.308,0.314,-0.076,-0.892
1668456036168,2022-11-14T22.00.36.168,1.348,0.223,-0.034,-1.017
1668456036207,2022-11-14T22.00.36.207,1.387,0.181,0.051,-0.989
1668456036247,2022-11-14T22.00.36.247,1.427,0.212,-0.036,-0.997
1668456036287,2022-11-14T22.00.36.287,1.467,0.151,-0.101,-1.024
1668456036326,2022-11-14T22.00.36.326,1.506,0.132,-0.071,-1.020
1668456036366,2022-11-14T22.00.36.366,1.546,0.131,-0.060,-1.014
1668456036405,2022-11-14T22.00.36.405,1.585,0.108,0.056,-1.012
1668456036445,2022-11-14T22.00.36.445,1.625,0.125,0.158,-1.004
1668456036484,2022-11-14T22.00.36.484,1.664,0.102,0.136,-0.967
1668456036524,2022-11-14T22.00.36.524,1.704,0.127,0.110,-1.012
1668456036563,2022-11-14T22.00.36.563,1.743,0.143,0.226,-0.979
1668456036603,2022-11-14T22.00.36.603,1.783,0.135,0.256,-0.985
1668456036643,2022-11-14T22.00.36.643,1.823,0.158,0.298,-0.924
1668456036682,2022-11-14T22.00.36.682,1.862,0.146,0.337,-0.939
1668456036722,2022-11-14T22.00.36.722,1.902,0.155,0.360,-0.931
1668456036761,2022-11-14T22.00.36.761,1.941,0.223,0.488,-0.689
1668456036801,2022-11-14T22.00.36.801,1.981,0.245,0.538,-0.355
1668456036840,2022-11-14T22.00.36.840,2.020,0.051,1.087,-0.104
1668456036881,2022-11-14T22.00.36.881,2.061,0.040,1.023,0.104
1668456036921,2022-11-14T22.00.36.921,2.101,0.055,0.987,0.248
1668456036960,2022-11-14T22.00.36.960,2.140,0.018,1.198,0.216
1668456037000,2022-11-14T22.00.37.000,2.180,0.087,0.917,0.178
1668456037040,2022-11-14T22.00.37.040,2.220,0.048,1.110,0.153
1668456037079,2022-11-14T22.00.37.079,2.259,-0.083,0.927,0.075
1668456037119,2022-11-14T22.00.37.119,2.299,0.001,0.917,0.259
1668456037158,2022-11-14T22.00.37.158,2.338,0.007,0.929,0.473
1668456037198,2022-11-14T22.00.37.198,2.378,-0.025,0.913,0.488
1668456037237,2022-11-14T22.00.37.237,2.417,-0.026,0.920,0.383
1668456037277,2022-11-14T22.00.37.277,2.457,-0.026,0.932,0.340
1668456037316,2022-11-14T22.00.37.316,2.496,-0.061,0.994,0.371
1668456037356,2022-11-14T22.00.37.356,2.536,-0.042,0.974,0.288
1668456037395,2022-11-14T22.00.37.395,2.575,0.105,0.833,0.120
1668456037435,2022-11-14T22.00.37.435,2.615,0.074,1.003,0.199
1668456037475,2022-11-14T22.00.37.475,2.655,0.039,1.027,0.234
1668456037514,2022-11-14T22.00.37.514,2.694,0.115,0.879,0.021
1668456037554,2022-11-14T22.00.37.554,2.734,0.130,1.016,-0.003
1668456037593,2022-11-14T22.00.37.593,2.773,0.148,0.963,0.024
1668456037633,2022-11-14T22.00.37.633,2.813,0.248,0.844,-0.158
1668456037674,2022-11-14T22.00.37.674,2.854,0.216,0.925,-0.110
1668456037713,2022-11-14T22.00.37.713,2.893,0.210,0.954,-0.031
1668456037753,2022-11-14T22.00.37.753,2.933,0.170,0.976,0.014
1668456037792,2022-11-14T22.00.37.792,2.972,0.186,0.979,0.003
1668456037832,2022-11-14T22.00.37.832,3.012,0.214,0.961,-0.085
1668456037872,2022-11-14T22.00.37.872,3.052,0.267,0.975,-0.190
1668456037911,2022-11-14T22.00.37.911,3.091,0.331,0.886,-0.253
1668456037951,2022-11-14T22.00.37.951,3.131,0.283,0.829,-0.215
1668456037990,2022-11-14T22.00.37.990,3.170,0.248,0.865,-0.105
1668456038030,2022-11-14T22.00.38.030,3.210,0.238,0.969,0.006
1668456038069,2022-11-14T22.00.38.069,3.249,0.227,0.953,0.052
1668456038109,2022-11-14T22.00.38.109,3.289,0.187,0.964,0.037
1668456038148,2022-11-14T22.00.38.148,3.328,0.149,0.989,0.046
1668456038188,2022-11-14T22.00.38.188,3.368,0.138,0.984,0.075
1668456038228,2022-11-14T22.00.38.228,3.408,0.169,0.964,0.054
1668456038267,2022-11-14T22.00.38.267,3.447,0.188,0.951,0.022
1668456038307,2022-11-14T22.00.38.307,3.487,0.175,0.960,0.036
1668456038346,2022-11-14T22.00.38.346,3.526,0.180,0.962,0.054
1668456038386,2022-11-14T22.00.38.386,3.566,0.162,0.966,0.059
1668456038425,2022-11-14T22.00.38.425,3.605,0.163,0.962,0.060
1668456038466,2022-11-14T22.00.38.466,3.646,0.170,0.961,0.063
1668456038506,2022-11-14T22.00.38.506,3.686,0.168,0.961,0.056
1668456038545,2022-11-14T22.00.38.545,3.725,0.148,0.969,0.045
1668456038585,2022-11-14T22.00.38.585,3.765,0.143,0.978,0.043
1668456038624,2022-11-14T22.00.38.624,3.804,0.141,0.983,0.044
1668456038664,2022-11-14T22.00.38.664,3.844,0.127,0.958,0.077
1668456038704,2022-11-14T22.00.38.704,3.884,0.094,0.945,0.109
1668456038743,2022-11-14T22.00.38.743,3.923,0.087,0.958,0.146
1668456038783,2022-11-14T22.00.38.783,3.963,0.083,0.957,0.147
1668456038822,2022-11-14T22.00.38.822,4.002,0.080,0.951,0.180
1668456038862,2022-11-14T22.00.38.862,4.042,0.218,1.022,0.039
1668456038901,2022-11-14T22.00.38.901,4.081,0.152,0.910,0.050
1668456038941,2022-11-14T22.00.38.941,4.121,0.201,0.993,0.051
1668456038980,2022-11-14T22.00.38.980,4.160,0.222,0.956,0.023
1668456039020,2022-11-14T22.00.39.020,4.200,0.245,0.948,0.029
1668456039060,2022-11-14T22.00.39.060,4.240,0.198,0.946,0.078
1668456039099,2022-11-14T22.00.39.099,4.279,0.172,1.010,0.088
1668456039139,2022-11-14T22.00.39.139,4.319,0.162,1.046,0.059
1668456039178,2022-11-14T22.00.39.178,4.358,0.231,1.017,-0.092
1668456039218,2022-11-14T22.00.39.218,4.398,0.220,1.029,-0.126
1668456039259,2022-11-14T22.00.39.259,4.439,0.216,0.901,-0.177
1668456039298,2022-11-14T22.00.39.298,4.478,0.123,0.958,-0.333
1668456039338,2022-11-14T22.00.39.338,4.518,0.263,0.907,-0.440
1668456039377,2022-11-14T22.00.39.377,4.557,0.374,0.599,-0.533
1668456039417,2022-11-14T22.00.39.417,4.597,0.310,0.481,-0.529
1668456039457,2022-11-14T22.00.39.457,4.637,0.435,0.132,-0.703
1668456039496,2022-11-14T22.00.39.496,4.676,0.366,0.032,-0.951
1668456039536,2022-11-14T22.00.39.536,4.716,0.314,0.408,-1.076
1668456039575,2022-11-14T22.00.39.575,4.755,0.219,0.370,-0.931
1668456039615,2022-11-14T22.00.39.615,4.795,0.105,0.166,-0.911
1668456039654,2022-11-14T22.00.39.654,4.834,-0.029,0.109,-1.062
1668456039694,2022-11-14T22.00.39.694,4.874,-0.043,0.106,-1.115
1668456039733,2022-11-14T22.00.39.733,4.913,0.073,0.190,-0.943
1668456039773,2022-11-14T22.00.39.773,4.953,0.036,0.272,-0.980
1668456039812,2022-11-14T22.00.39.812,4.992,0.025,0.220,-0.984
1668456039852,2022-11-14T22.00.39.852,5.032,0.027,0.192,-0.994
1668456039892,2022-11-14T22.00.39.892,5.072,0.025,0.219,-0.987
1668456039931,2022-11-14T22.00.39.931,5.111,0.017,0.222,-0.988
