epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1669011745517,2022-11-21T08:22:25.517,0.000,0.091,-0.518,-0.610
1669011745557,2022-11-21T08:22:25.557,0.040,0.305,-0.396,-0.366
1669011745597,2022-11-21T08:22:25.597,0.080,-0.366,-0.366,-0.152
1669011745637,2022-11-21T08:22:25.637,0.120,-0.488,-0.457,-0.152
1669011745677,2022-11-21T08:22:25.677,0.160,0.122,-0.305,-0.152
1669011745717,2022-11-21T08:22:25.717,0.200,0.488,-0.396,0.122
1669011745757,2022-11-21T08:22:25.757,0.240,0.000,-0.579,0.579
1669011745797,2022-11-21T08:22:25.797,0.280,0.000,-0.671,0.762
1669011745837,2022-11-21T08:22:25.837,0.320,0.152,-0.549,0.549
1669011745877,2022-11-21T08:22:25.877,0.360,0.549,-0.152,0.122
1669011745917,2022-11-21T08:22:25.917,0.400,0.488,-0.030,-0.244
1669011745957,2022-11-21T08:22:25.957,0.440,0.427,0.030,-0.274
1669011745997,2022-11-21T08:22:25.997,0.480,0.244,-0.213,-0.152
1669011746037,2022-11-21T08:22:26.037,0.520,0.183,-0.335,0.030
1669011746077,2022-11-21T08:22:26.077,0.560,0.091,-0.549,0.213
1669011746117,2022-11-21T08:22:26.117,0.600,0.122,-0.366,0.244
1669011746157,2022-11-21T08:22:26.157,0.640,0.091,-0.244,0.091
1669011746197,2022-11-21T08:22:26.197,0.680,0.091,-0.335,0.213
1669011746237,2022-11-21T08:22:26.237,0.720,-0.183,-0.427,0.244
1669011746277,2022-11-21T08:22:26.277,0.760,-0.152,-0.335,0.213
1669011746317,2022-11-21T08:22:26.317,0.800,-0.152,-0.274,0.213
1669011746357,2022-11-21T08:22:26.357,0.840,0.152,-0.274,0.183
1669011746397,2022-11-21T08:22:26.397,0.880,0.000,-0.274,0.091
1669011746437,2022-11-21T08:22:26.437,0.920,0.000,-0.274,0.061
1669011746477,2022-11-21T08:22:26.477,0.960,0.183,-0.030,-0.213
1669011746517,2022-11-21T08:22:26.517,1.000,0.061,-0.152,-0.183
1669011746557,2022-11-21T08:22:26.557,1.040,0.061,-0.274,0.091
1669011746597,2022-11-21T08:22:26.597,1.080,0.152,-0.091,0.183
1669011746637,2022-11-21T08:22:26.637,1.120,0.183,-0.213,0.091
1669011746677,2022-11-21T08:22:26.677,1.160,0.183,-0.213,0.152
1669011746717,2022-11-21T08:22:26.717,1.200,0.152,-0.366,0.244
1669011746757,2022-11-21T08:22:26.757,1.240,0.183,-0.244,0.122
