epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1669053043659,2022-11-21T19:50:43.659,0.000,-0.078,-0.454,-0.893
1669053043699,2022-11-21T19:50:43.699,0.040,-0.072,-0.461,-0.902
1669053043739,2022-11-21T19:50:43.739,0.080,-0.082,-0.469,-0.894
1669053043779,2022-11-21T19:50:43.779,0.120,-0.075,-0.467,-0.898
1669053043819,2022-11-21T19:50:43.819,0.160,-0.079,-0.463,-0.899
1669053043859,2022-11-21T19:50:43.859,0.200,-0.088,-0.458,-0.896
1669053043899,2022-11-21T19:50:43.899,0.240,-0.085,-0.458,-0.898
1669053043939,2022-11-21T19:50:43.939,0.280,-0.085,-0.455,-0.896
1669053043979,2022-11-21T19:50:43.979,0.320,-0.086,-0.458,-0.896
1669053044019,2022-11-21T19:50:44.019,0.360,-0.081,-0.458,-0.898
1669053044059,2022-11-21T19:50:44.059,0.400,-0.083,-0.459,-0.896
1669053044099,2022-11-21T19:50:44.099,0.440,-0.082,-0.459,-0.897
1669053044139,2022-11-21T19:50:44.139,0.480,-0.086,-0.459,-0.896
1669053044179,2022-11-21T19:50:44.179,0.520,-0.087,-0.461,-0.894
1669053044219,2022-11-21T19:50:44.219,0.560,-0.083,-0.465,-0.895
1669053044259,2022-11-21T19:50:44.259,0.600,-0.077,-0.467,-0.897
1669053044299,2022-11-21T19:50:44.299,0.640,-0.083,-0.459,-0.897
1669053044339,2022-11-21T19:50:44.339,0.680,-0.088,-0.455,-0.896
1669053044379,2022-11-21T19:50:44.379,0.720,-0.088,-0.457,-0.896
1669053044419,2022-11-21T19:50:44.419,0.760,-0.081,-0.458,-0.898
1669053044459,2022-11-21T19:50:44.459,0.800,-0.082,-0.460,-0.899
1669053044499,2022-11-21T19:50:44.499,0.840,-0.081,-0.459,-0.898
1669053044539,2022-11-21T19:50:44.539,0.880,-0.085,-0.459,-0.896
1669053044579,2022-11-21T19:50:44.579,0.920,-0.082,-0.461,-0.897
1669053044619,2022-11-21T19:50:44.619,0.960,-0.081,-0.456,-0.899
1669053044659,2022-11-21T19:50:44.659,1.000,-0.082,-0.460,-0.897
1669053044699,2022-11-21T19:50:44.699,1.040,-0.079,-0.459,-0.899
1669053044739,2022-11-21T19:50:44.739,1.080,-0.085,-0.455,-0.897
1669053044779,2022-11-21T19:50:44.779,1.120,-0.084,-0.458,-0.896
1669053044819,2022-11-21T19:50:44.819,1.160,-0.081,-0.464,-0.897
1669053044859,2022-11-21T19:50:44.859,1.200,-0.080,-0.460,-0.899
1669053044899,2022-11-21T19:50:44.899,1.240,-0.081,-0.454,-0.900
1669053044939,2022-11-21T19:50:44.939,1.280,-0.083,-0.458,-0.898
1669053044979,2022-11-21T19:50:44.979,1.320,-0.081,-0.461,-0.896
1669053045019,2022-11-21T19:50:45.019,1.360,-0.081,-0.460,-0.898
1669053045059,2022-11-21T19:50:45.059,1.400,-0.083,-0.459,-0.897
1669053045099,2022-11-21T19:50:45.099,1.440,-0.083,-0.457,-0.898
1669053045139,2022-11-21T19:50:45.139,1.480,-0.080,-0.458,-0.898
1669053045179,2022-11-21T19:50:45.179,1.520,-0.083,-0.458,-0.896
1669053045219,2022-11-21T19:50:45.219,1.560,-0.082,-0.459,-0.897
1669053045259,2022-11-21T19:50:45.259,1.600,-0.082,-0.461,-0.898
1669053045299,2022-11-21T19:50:45.299,1.640,-0.081,-0.458,-0.898
1669053045339,2022-11-21T19:50:45.339,1.680,-0.081,-0.457,-0.900
1669053045379,2022-11-21T19:50:45.379,1.720,-0.084,-0.457,-0.899
1669053045419,2022-11-21T19:50:45.419,1.760,-0.084,-0.459,-0.897
1669053045459,2022-11-21T19:50:45.459,1.800,-0.081,-0.458,-0.898
1669053045499,2022-11-21T19:50:45.499,1.840,-0.082,-0.459,-0.897
1669053045539,2022-11-21T19:50:45.539,1.880,-0.081,-0.458,-0.898
1669053045579,2022-11-21T19:50:45.579,1.920,-0.083,-0.458,-0.898
1669053045619,2022-11-21T19:50:45.619,1.960,-0.083,-0.457,-0.897
1669053045659,2022-11-21T19:50:45.659,2.000,-0.081,-0.460,-0.898
1669053045699,2022-11-21T19:50:45.699,2.040,-0.080,-0.458,-0.897
1669053045739,2022-11-21T19:50:45.739,2.080,-0.082,-0.458,-0.898
1669053045779,2022-11-21T19:50:45.779,2.120,-0.080,-0.459,-0.897
1669053045819,2022-11-21T19:50:45.819,2.160,-0.082,-0.458,-0.897
1669053045859,2022-11-21T19:50:45.859,2.200,-0.084,-0.457,-0.897
1669053045899,2022-11-21T19:50:45.899,2.240,-0.084,-0.458,-0.898
1669053045939,2022-11-21T19:50:45.939,2.280,-0.082,-0.458,-0.897
1669053045979,2022-11-21T19:50:45.979,2.320,-0.081,-0.458,-0.897
1669053046019,2022-11-21T19:50:46.019,2.360,-0.080,-0.458,-0.898
1669053046059,2022-11-21T19:50:46.059,2.400,-0.081,-0.457,-0.897
1669053046099,2022-11-21T19:50:46.099,2.440,-0.082,-0.458,-0.897
1669053046139,2022-11-21T19:50:46.139,2.480,-0.082,-0.457,-0.898
1669053046179,2022-11-21T19:50:46.179,2.520,-0.080,-0.458,-0.898
1669053046219,2022-11-21T19:50:46.219,2.560,-0.082,-0.457,-0.898
1669053046259,2022-11-21T19:50:46.259,2.600,-0.082,-0.456,-0.897
1669053046299,2022-11-21T19:50:46.299,2.640,-0.081,-0.457,-0.897
1669053046339,2022-11-21T19:50:46.339,2.680,-0.081,-0.457,-0.898
1669053046379,2022-11-21T19:50:46.379,2.720,-0.080,-0.457,-0.898
1669053046419,2022-11-21T19:50:46.419,2.760,-0.081,-0.457,-0.898
1669053046459,2022-11-21T19:50:46.459,2.800,-0.083,-0.456,-0.898
1669053046499,2022-11-21T19:50:46.499,2.840,-0.083,-0.457,-0.898
1669053046539,2022-11-21T19:50:46.539,2.880,-0.080,-0.457,-0.899
1669053046579,2022-11-21T19:50:46.579,2.920,-0.080,-0.457,-0.898
