epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667857863703,2022-11-07T23:51:03.703,0.000,-0.182,-0.153,-0.992
1667857863744,2022-11-07T23:51:03.744,0.041,-0.183,-0.152,-0.998
1667857863784,2022-11-07T23:51:03.784,0.081,-0.177,-0.154,-0.993
1667857863825,2022-11-07T23:51:03.825,0.122,-0.174,-0.155,-0.993
1667857863866,2022-11-07T23:51:03.866,0.163,-0.178,-0.155,-0.995
1667857863907,2022-11-07T23:51:03.907,0.204,-0.185,-0.153,-1.000
1667857863946,2022-11-07T23:51:03.946,0.243,-0.183,-0.150,-0.994
1667857863987,2022-11-07T23:51:03.987,0.284,-0.167,-0.156,-0.992
1667857864028,2022-11-07T23:51:04.028,0.325,-0.157,-0.160,-1.000
1667857864069,2022-11-07T23:51:04.069,0.366,-0.168,-0.162,-1.004
1667857864109,2022-11-07T23:51:04.109,0.406,-0.173,-0.154,-0.996
1667857864150,2022-11-07T23:51:04.150,0.447,-0.174,-0.158,-1.001
1667857864191,2022-11-07T23:51:04.191,0.488,-0.173,-0.159,-0.994
1667857864232,2022-11-07T23:51:04.232,0.529,-0.177,-0.159,-0.996
1667857864271,2022-11-07T23:51:04.271,0.568,-0.176,-0.157,-0.999
1667857864312,2022-11-07T23:51:04.312,0.609,-0.178,-0.159,-0.997
1667857864353,2022-11-07T23:51:04.353,0.650,-0.172,-0.152,-0.996
1667857864393,2022-11-07T23:51:04.393,0.690,-0.171,-0.156,-0.994
1667857864434,2022-11-07T23:51:04.434,0.731,-0.172,-0.160,-0.995
1667857864475,2022-11-07T23:51:04.475,0.772,-0.172,-0.147,-0.996
1667857864516,2022-11-07T23:51:04.516,0.813,-0.177,-0.151,-0.997
1667857864556,2022-11-07T23:51:04.556,0.853,-0.174,-0.155,-0.994
1667857864597,2022-11-07T23:51:04.597,0.894,-0.171,-0.154,-0.993
1667857864638,2022-11-07T23:51:04.638,0.935,-0.173,-0.157,-1.000
1667857864679,2022-11-07T23:51:04.679,0.976,-0.180,-0.153,-1.000
1667857864718,2022-11-07T23:51:04.718,1.015,-0.179,-0.151,-0.993
