epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668456034741,2022-11-14T22.00.34.741,0.000,-17.866,11.585,3.567
1668456034781,2022-11-14T22.00.34.781,0.040,-17.439,11.768,3.872
1668456034820,2022-11-14T22.00.34.820,0.079,-10.823,12.012,2.683
1668456034860,2022-11-14T22.00.34.860,0.119,-17.348,-1.860,-8.201
1668456034899,2022-11-14T22.00.34.899,0.158,-14.268,-17.805,-14.451
1668456034939,2022-11-14T22.00.34.939,0.198,-6.921,-24.207,-17.012
1668456034978,2022-11-14T22.00.34.978,0.237,-11.280,-19.970,-21.555
1668456035018,2022-11-14T22.00.35.018,0.277,-18.933,-4.970,-10.366
1668456035058,2022-11-14T22.00.35.058,0.317,-13.933,2.835,-6.159
1668456035097,2022-11-14T22.00.35.097,0.356,0.793,-4.299,-13.841
1668456035137,2022-11-14T22.00.35.137,0.396,1.921,-5.701,-12.683
1668456035178,2022-11-14T22.00.35.178,0.437,5.793,-1.890,-10.457
1668456035217,2022-11-14T22.00.35.217,0.476,9.573,-6.799,-14.695
1668456035257,2022-11-14T22.00.35.257,0.516,5.366,-7.591,-17.409
1668456035296,2022-11-14T22.00.35.296,0.555,-3.476,-7.317,-14.756
1668456035336,2022-11-14T22.00.35.336,0.595,1.067,-3.018,-11.311
1668456035375,2022-11-14T22.00.35.375,0.634,15.366,-2.104,-6.189
1668456035415,2022-11-14T22.00.35.415,0.674,8.232,2.348,4.299
1668456035455,2022-11-14T22.00.35.455,0.714,-7.104,2.073,5.274
1668456035494,2022-11-14T22.00.35.494,0.753,-2.530,-1.006,-8.537
1668456035534,2022-11-14T22.00.35.534,0.793,-22.866,8.598,-14.177
1668456035573,2022-11-14T22.00.35.573,0.832,-68.628,12.591,-31.433
1668456035613,2022-11-14T22.00.35.613,0.872,-119.970,21.067,-62.165
1668456035652,2022-11-14T22.00.35.652,0.911,-162.134,38.262,-71.799
1668456035692,2022-11-14T22.00.35.692,0.951,-160.640,46.402,-55.091
