epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668339579643,2022-11-13T13:39:39.643,0.000,0.854,0.732,0.061
1668339579683,2022-11-13T13:39:39.683,0.040,0.701,0.488,-0.030
1668339579724,2022-11-13T13:39:39.724,0.081,0.335,0.061,-0.122
1668339579765,2022-11-13T13:39:39.765,0.122,-1.402,0.671,-0.091
1668339579806,2022-11-13T13:39:39.806,0.163,-1.860,0.213,-0.091
1668339579846,2022-11-13T13:39:39.846,0.203,-1.250,0.244,-0.244
1668339579887,2022-11-13T13:39:39.887,0.244,-1.799,0.915,-0.091
1668339579928,2022-11-13T13:39:39.928,0.285,-0.915,0.183,0.091
1668339579969,2022-11-13T13:39:39.969,0.326,-0.030,-0.122,0.122
1668339580008,2022-11-13T13:39:40.008,0.365,0.640,0.152,0.091
1668339580049,2022-11-13T13:39:40.049,0.406,0.122,0.579,0.030
1668339580090,2022-11-13T13:39:40.090,0.447,-0.732,0.488,0.030
1668339580130,2022-11-13T13:39:40.130,0.487,0.274,0.091,-0.122
1668339580171,2022-11-13T13:39:40.171,0.528,0.671,-0.061,-0.152
1668339580212,2022-11-13T13:39:40.212,0.569,0.244,-0.305,-0.213
1668339580253,2022-11-13T13:39:40.253,0.610,0.244,-0.091,-0.396
1668339580292,2022-11-13T13:39:40.292,0.649,-1.372,1.098,-0.152
1668339580333,2022-11-13T13:39:40.333,0.690,-2.774,1.616,0.122
1668339580374,2022-11-13T13:39:40.374,0.731,-2.134,0.884,0.000
1668339580415,2022-11-13T13:39:40.415,0.772,-0.549,0.274,-0.122
1668339580455,2022-11-13T13:39:40.455,0.812,-0.244,-0.396,0.000
1668339580496,2022-11-13T13:39:40.496,0.853,-0.976,-0.457,0.213
1668339580537,2022-11-13T13:39:40.537,0.894,-2.500,0.366,0.305
1668339580576,2022-11-13T13:39:40.576,0.933,-1.890,0.945,-0.061
1668339580618,2022-11-13T13:39:40.618,0.975,-1.189,0.762,-0.274
1668339580659,2022-11-13T13:39:40.659,1.016,-0.732,0.945,-0.091
1668339580700,2022-11-13T13:39:40.700,1.057,0.366,0.244,0.061
1668339580739,2022-11-13T13:39:40.739,1.096,0.610,0.152,0.335
1668339580780,2022-11-13T13:39:40.780,1.137,0.000,0.335,0.488
1668339580821,2022-11-13T13:39:40.821,1.178,0.640,-0.274,0.244
1668339580862,2022-11-13T13:39:40.862,1.219,1.433,0.000,-0.152
1668339580902,2022-11-13T13:39:40.902,1.259,1.128,0.305,-0.335
1668339580943,2022-11-13T13:39:40.943,1.300,0.915,-0.244,-0.427
